TINAMIFORMES: Tinamidae

Little Tinamou	Crypturellus soui	
 
ANSERIFORMES: Anhimidae

Horned Screamer	Anhima cornuta	Extirpated
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	
Snow Goose	Anser caerulescens	Rare/Accidental
Comb Duck	Sarkidiornis sylvicola	Rare/Accidental
Muscovy Duck	Cairina moschata	Rare/Accidental
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	Rare/Accidental
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	Rare/Accidental
White-cheeked Pintail	Anas bahamensis	
Northern Pintail	Anas acuta	Rare/Accidental
Green-winged Teal	Anas carolinensis	Rare/Accidental
Southern Pochard	Netta erythrophthalma	Rare/Accidental
Ring-necked Duck	Aythya collaris	Rare/Accidental
Lesser Scaup	Aythya affinis	Rare/Accidental
Masked Duck	Nomonyx dominicus	
 
GALLIFORMES: Cracidae

Rufous-vented Chachalaca	Ortalis ruficauda	
Trinidad Piping Guan	Pipile pipile	Endemic Critically endangered
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
 
CAPRIMULGIFORMES: Caprimulgidae

Nacunda Nighthawk	Chordeiles nacunda	
Lesser Nighthawk	Chordeiles acutipennis	
Short-tailed Nighthawk	Lurocalis semitorquatus	
Pauraque	Nyctidromus albicollis	
White-tailed Nightjar	Hydropsalis cayennensis	
Rufous Nightjar	Antrostomus rufus	
 
STEATORNITHIFORMES: Steatornithidae

Oilbird	Steatornis caripensis	
 
NYCTIBIIFORMES: Nyctibiidae

Common Potoo	Nyctibius griseus	
 
APODIFORMES: Apodidae

Chestnut-collared Swift	Streptoprocne rutila	
White-collared Swift	Streptoprocne zonaris	
Grey-rumped Swift	Chaetura cinereiventris	
Band-rumped Swift	Chaetura spinicaudus	
Chapman's Swift	Chaetura chapmani	
Short-tailed Swift	Chaetura brachyura	
Neotropical Palm Swift	Tachornis squamata	
Lesser Swallow-tailed Swift	Panyptila cayennensis	
 
APODIFORMES: Trochilidae

White-necked Jacobin	Florisuga mellivora	
Rufous-breasted Hermit	Glaucis hirsutus	
Little Hermit	Phaethornis longuemareus	
Green Hermit	Phaethornis guy	
Brown Violetear	Colibri delphinae	
White-tailed Goldenthroat	Polytmus guainumbi	
Ruby-topaz Hummingbird	Chrysolampis mosquitus	
Black-throated Mango	Anthracothorax nigricollis	
Green-throated Mango	Anthracothorax viridigula	
Tufted Coquette	Lophornis ornatus	
Long-billed Starthroat	Heliomaster longirostris	
Amethyst Woodstar	Calliphlox amethystina	Rare/Accidental
Rufous-shafted Woodstar	Chaetocercus jourdanii	Rare/Accidental
Blue-tailed Emerald	Chlorostilbon mellisugus	
White-tailed Sabrewing	Campylopterus ensipennis	Near-threatened
Copper-rumped Hummingbird	Saucerottia tobaci	
White-chested Emerald	Chrysuronia brevirostris	
Glittering-throated Emerald	Chionomesa fimbriata	Rare/Accidental
Blue-chinned Sapphire	Chlorestes notata	
 
CUCULIFORMES: Cuculidae

Greater Ani	Crotophaga major	
Smooth-billed Ani	Crotophaga ani	
Striped Cuckoo	Tapera naevia	
Little Cuckoo	Coccycua minuta	
Dwarf Cuckoo	Coccycua pumila	Rare/Accidental
Squirrel Cuckoo	Piaya cayana	
Dark-billed Cuckoo	Coccyzus melacoryphus	Rare/Accidental
Yellow-billed Cuckoo	Coccyzus americanus	
Mangrove Cuckoo	Coccyzus minor	
Black-billed Cuckoo	Coccyzus erythropthalmus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Scaly-naped Pigeon	Patagioenas squamosa	Rare/Accidental
Scaled Pigeon	Patagioenas speciosa	
Band-tailed Pigeon	Patagioenas fasciata	
Pale-vented Pigeon	Patagioenas cayennensis	
Eurasian Collared Dove	Streptopelia decaocto	Rare/Accidental
Scaled Dove	Columbina squammata	Rare/Accidental
Common Ground Dove	Columbina passerina	
Plain-breasted Ground Dove	Columbina minuta	
Ruddy Ground Dove	Columbina talpacoti	
Blue Ground Dove	Claravis pretiosa	
Ruddy Quail-Dove	Geotrygon montana	
White-tipped Dove	Leptotila verreauxi	
Grey-fronted Dove	Leptotila rufaxilla	
Lined Quail-Dove	Zentrygon linearis	
Eared Dove	Zenaida auriculata	
 
GRUIFORMES: Heliornithidae

Sungrebe	Heliornis fulica	Rare/Accidental
 
GRUIFORMES: Rallidae

Ash-throated Crake	Mustelirallus albicollis	Extirpated
Paint-billed Crake	Neocrex erythrops	Rare/Accidental
Spotted Rail	Pardirallus maculatus	
Rufous-necked Wood Rail	Aramides axillaris	
Grey-cowled Wood Rail	Aramides cajaneus	
Clapper Rail	Rallus crepitans	
Mangrove Rail	Rallus longirostris	
Sora	Porzana carolina	
Common Gallinule	Gallinula galeata	
American Coot	Fulica americana	Rare/Accidental
Purple Gallinule	Porphyrio martinica	
Azure Gallinule	Porphyrio flavirostris	
Yellow-breasted Crake	Laterallus flaviventer	
Grey-breasted Crake	Laterallus exilis	
 
GRUIFORMES: Aramidae

Limpkin	Aramus guarauna	
 
PODICIPEDIFORMES: Podicipedidae

Least Grebe	Tachybaptus dominicus	
Pied-billed Grebe	Podilymbus podiceps	
 
PHOENICOPTERIFORMES: Phoenicopteridae

American Flamingo	Phoenicopterus ruber	
 
CHARADRIIFORMES: Burhinidae

Double-striped Thick-knee	Burhinus bistriatus	Rare/Accidental
 
CHARADRIIFORMES: Haematopodidae

American Oystercatcher	Haematopus palliatus	Rare/Accidental
 
CHARADRIIFORMES: Recurvirostridae

Black-necked Stilt	Himantopus mexicanus	
American Avocet	Recurvirostra americana	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Southern Lapwing	Vanellus chilensis	
American Golden Plover	Pluvialis dominica	
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	Rare/Accidental
Semipalmated Plover	Charadrius semipalmatus	
Wilson's Plover	Charadrius wilsonia	
Killdeer	Charadrius vociferus	Rare/Accidental
Snowy Plover	Charadrius nivosus	Rare/Accidental Near-threatened
Collared Plover	Charadrius collaris	
Pied Plover	Hoploxypterus cayanus	Rare/Accidental
 
CHARADRIIFORMES: Jacanidae

Wattled Jacana	Jacana jacana	
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	
Eurasian Whimbrel	Numenius phaeopus	Rare/Accidental
Hudsonian Whimbrel	Numenius hudsonicus	
Eskimo Curlew	Numenius borealis	Extirpated Critically endangered (possibly extinct)
Long-billed Curlew	Numenius americanus	Rare/Accidental
Black-tailed Godwit	Limosa limosa	Rare/Accidental Near-threatened
Hudsonian Godwit	Limosa haemastica	
Marbled Godwit	Limosa fedoa	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Near-threatened
Ruff	Calidris pugnax	Rare/Accidental
Stilt Sandpiper	Calidris himantopus	
Curlew Sandpiper	Calidris ferruginea	Rare/Accidental Near-threatened
Sanderling	Calidris alba	
Baird's Sandpiper	Calidris bairdii	Rare/Accidental
Least Sandpiper	Calidris minutilla	
White-rumped Sandpiper	Calidris fuscicollis	
Buff-breasted Sandpiper	Calidris subruficollis	Near-threatened
Pectoral Sandpiper	Calidris melanotos	
Semipalmated Sandpiper	Calidris pusilla	Near-threatened
Western Sandpiper	Calidris mauri	
Short-billed Dowitcher	Limnodromus griseus	
Wilson's Snipe	Gallinago delicata	
Pantanal Snipe	Gallinago paraguaiae	
Terek Sandpiper	Xenus cinereus	Rare/Accidental
Wilson's Phalarope	Phalaropus tricolor	Rare/Accidental
Spotted Sandpiper	Actitis macularius	
Solitary Sandpiper	Tringa solitaria	
Lesser Yellowlegs	Tringa flavipes	
Willet	Tringa semipalmata	
Wood Sandpiper	Tringa glareola	Rare/Accidental
Spotted Redshank	Tringa erythropus	Rare/Accidental
Common Greenshank	Tringa nebularia	Rare/Accidental
Greater Yellowlegs	Tringa melanoleuca	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
White Tern	Gygis alba	Rare/Accidental
Black Skimmer	Rynchops niger	
Black-legged Kittiwake	Rissa tridactyla	Rare/Accidental Vulnerable
Sabine's Gull	Xema sabini	Rare/Accidental
Black-headed Gull	Chroicocephalus ridibundus	Rare/Accidental
Laughing Gull	Leucophaeus atricilla	
Franklin's Gull	Leucophaeus pipixcan	
Audouin's Gull	Ichthyaetus audouinii	Rare/Accidental Vulnerable
Ring-billed Gull	Larus delawarensis	Rare/Accidental
Great Black-backed Gull	Larus marinus	Rare/Accidental
Kelp Gull	Larus dominicanus	Rare/Accidental
American Herring Gull	Larus smithsonianus	Rare/Accidental
Lesser Black-backed Gull	Larus fuscus	Rare/Accidental
Gull-billed Tern	Gelochelidon nilotica	
Caspian Tern	Hydroprogne caspia	Rare/Accidental
Royal Tern	Thalasseus maximus	
Cabot's Tern	Thalasseus acuflavidus	
Least Tern	Sternula antillarum	
Yellow-billed Tern	Sternula superciliaris	
Bridled Tern	Onychoprion anaethetus	
Sooty Tern	Onychoprion fuscatus	
Roseate Tern	Sterna dougallii	
Common Tern	Sterna hirundo	
Arctic Tern	Sterna paradisaea	Rare/Accidental
Black Tern	Chlidonias niger	
Large-billed Tern	Phaetusa simplex	
 
CHARADRIIFORMES: Stercorariidae

South Polar Skua	Stercorarius maccormicki	Rare/Accidental
Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	Rare/Accidental
 
PROCELLARIIFORMES: Hydrobatidae

Leach's Storm Petrel	Hydrobates leucorhous	Vulnerable
 
PROCELLARIIFORMES: Procellariidae

Cory's Shearwater	Calonectris borealis	Rare/Accidental
Cape Verde Shearwater	Calonectris edwardsii	Rare/Accidental Near-threatened
Sooty Shearwater	Ardenna grisea	Rare/Accidental Near-threatened
Great Shearwater	Ardenna gravis	Rare/Accidental
Manx Shearwater	Puffinus puffinus	Rare/Accidental
Audubon's Shearwater	Puffinus lherminieri	
Bulwer's Petrel	Bulweria bulwerii	Rare/Accidental
 
CICONIIFORMES: Ciconiidae

Wood Stork	Mycteria americana	Rare/Accidental
Maguari Stork	Ciconia maguari	Rare/Accidental
Jabiru	Jabiru mycteria	Rare/Accidental
 
SULIFORMES: Fregatidae

Magnificent Frigatebird	Fregata magnificens	
 
SULIFORMES: Sulidae

Northern Gannet	Morus bassanus	Rare/Accidental
Masked Booby	Sula dactylatra	
Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
 
SULIFORMES: Anhingidae

Anhinga	Anhinga anhinga	
 
SULIFORMES: Phalacrocoracidae

Neotropic Cormorant	Nannopterum brasilianum	
 
PELECANIFORMES: Threskiornithidae

Buff-necked Ibis	Theristicus caudatus	Rare/Accidental
American White Ibis	Eudocimus albus	Rare/Accidental
Scarlet Ibis	Eudocimus ruber	
Glossy Ibis	Plegadis falcinellus	
Eurasian Spoonbill	Platalea leucorodia	Rare/Accidental
Roseate Spoonbill	Platalea ajaja	Rare/Accidental
 
PELECANIFORMES: Ardeidae

Rufescent Tiger Heron	Tigrisoma lineatum	
Fasciated Tiger Heron	Tigrisoma fasciatum	Rare/Accidental
Agami Heron	Agamia agami	Rare/Accidental Vulnerable
Boat-billed Heron	Cochlearius cochlearius	
Pinnated Bittern	Botaurus pinnatus	
Stripe-backed Bittern	Ixobrychus involucris	
Least Bittern	Ixobrychus exilis	
Black-crowned Night Heron	Nycticorax nycticorax	
Yellow-crowned Night Heron	Nyctanassa violacea	
Green Heron	Butorides virescens	
Striated Heron	Butorides striata	
Squacco Heron	Ardeola ralloides	Rare/Accidental
Western Cattle Egret	Bubulcus ibis	
Grey Heron	Ardea cinerea	Rare/Accidental
Great Blue Heron	Ardea herodias	
Cocoi Heron	Ardea cocoi	
Purple Heron	Ardea purpurea	Rare/Accidental
Great Egret	Ardea alba	
Capped Heron	Pilherodius pileatus	Rare/Accidental
Whistling Heron	Syrigma sibilatrix	Rare/Accidental
Reddish Egret	Egretta rufescens	Rare/Accidental Near-threatened
Tricolored Heron	Egretta tricolor	
Little Blue Heron	Egretta caerulea	
Snowy Egret	Egretta thula	
Little Egret	Egretta garzetta	
Western Reef Heron	Egretta gularis	Rare/Accidental
 
PELECANIFORMES: Pelecanidae

Brown Pelican	Pelecanus occidentalis	
 
ACCIPITRIFORMES: Cathartidae

King Vulture	Sarcoramphus papa	Rare/Accidental
Black Vulture	Coragyps atratus	
Turkey Vulture	Cathartes aura	
 
ACCIPITRIFORMES: Pandionidae

Western Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

White-tailed Kite	Elanus leucurus	Rare/Accidental
Pearl Kite	Gampsonyx swainsonii	
Grey-headed Kite	Leptodon cayanensis	
Hook-billed Kite	Chondrohierax uncinatus	Rare/Accidental
Swallow-tailed Kite	Elanoides forficatus	
Black Hawk-Eagle	Spizaetus tyrannus	
Ornate Hawk-Eagle	Spizaetus ornatus	Near-threatened
Double-toothed Kite	Harpagus bidentatus	
Long-winged Harrier	Circus buffoni	
Black Kite	Milvus migrans	Rare/Accidental
Plumbeous Kite	Ictinia plumbea	
Black-collared Hawk	Busarellus nigricollis	
Snail Kite	Rostrhamus sociabilis	
Slender-billed Kite	Helicolestes hamatus	Rare/Accidental
Crane Hawk	Geranospiza caerulescens	
Common Black Hawk	Buteogallus anthracinus	
Rufous Crab Hawk	Buteogallus aequinoctialis	Near-threatened
Savanna Hawk	Buteogallus meridionalis	
Great Black Hawk	Buteogallus urubitinga	
Roadside Hawk	Rupornis magnirostris	Rare/Accidental
White-tailed Hawk	Geranoaetus albicaudatus	
White Hawk	Pseudastur albicollis	
Grey-lined Hawk	Buteo nitidus	
Broad-winged Hawk	Buteo platypterus	
Short-tailed Hawk	Buteo brachyurus	
Swainson's Hawk	Buteo swainsoni	Rare/Accidental
Zone-tailed Hawk	Buteo albonotatus	
 
STRIGIFORMES: Tytonidae

