ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	Rare/Accidental
Black-bellied Whistling Duck	Dendrocygna autumnalis	Rare/Accidental
West Indian Whistling Duck	Dendrocygna arborea	Rare/Accidental Near-threatened
Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Snow Goose	Anser caerulescens	Rare/Accidental
Wood Duck	Aix sponsa	Rare/Accidental
Garganey	Spatula querquedula	Rare/Accidental
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	Rare/Accidental
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	Rare/Accidental
Mallard	Anas platyrhynchos	Rare/Accidental
American Black Duck	Anas rubripes	Rare/Accidental
White-cheeked Pintail	Anas bahamensis	Rare/Accidental
Northern Pintail	Anas acuta	Rare/Accidental
Eurasian Teal	Anas crecca	Rare/Accidental
Green-winged Teal	Anas carolinensis	Rare/Accidental
Ring-necked Duck	Aythya collaris	
Tufted Duck	Aythya fuligula	Rare/Accidental
Lesser Scaup	Aythya affinis	
Hooded Merganser	Lophodytes cucullatus	Rare/Accidental
Masked Duck	Nomonyx dominicus	Rare/Accidental
Ruddy Duck	Oxyura jamaicensis	
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
Red-legged Partridge	Alectoris rufa	Extirpated Near-threatened
 
CAPRIMULGIFORMES: Caprimulgidae

Common Nighthawk	Chordeiles minor	Rare/Accidental
Antillean Nighthawk	Chordeiles gundlachii	Rare/Accidental
Chuck-will's-widow	Antrostomus carolinensis	Rare/Accidental Near-threatened
 
APODIFORMES: Apodidae

American Black Swift	Cypseloides niger	Vulnerable
White-collared Swift	Streptoprocne zonaris	Rare/Accidental
Lesser Antillean Swift	Chaetura martinica	Endemic (country/region)
Chimney Swift	Chaetura pelagica	Rare/Accidental Vulnerable
Short-tailed Swift	Chaetura brachyura	Rare/Accidental
Alpine Swift	Tachymarptis melba	Rare/Accidental
 
APODIFORMES: Trochilidae

Green-throated Carib	Eulampis holosericeus	Endemic (country/region)
Purple-throated Carib	Eulampis jugularis	Endemic (country/region)
Antillean Crested Hummingbird	Orthorhyncus cristatus	Endemic (country/region)
 
CUCULIFORMES: Cuculidae

Smooth-billed Ani	Crotophaga ani	
Yellow-billed Cuckoo	Coccyzus americanus	
Mangrove Cuckoo	Coccyzus minor	
Black-billed Cuckoo	Coccyzus erythropthalmus	Rare/Accidental
Common Cuckoo	Cuculus canorus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
White-crowned Pigeon	Patagioenas leucocephala	Rare/Accidental Near-threatened
Scaly-naped Pigeon	Patagioenas squamosa	Rare/Accidental
Eurasian Collared Dove	Streptopelia decaocto	Introduced species
Common Ground Dove	Columbina passerina	
Ruddy Quail-Dove	Geotrygon montana	
Bridled Quail-Dove	Geotrygon mystacea	
Mourning Dove	Zenaida macroura	Rare/Accidental
Eared Dove	Zenaida auriculata	Rare/Accidental
Zenaida Dove	Zenaida aurita	
White-winged Dove	Zenaida asiatica	
 
GRUIFORMES: Rallidae

Clapper Rail	Rallus crepitans	
Corn Crake	Crex crex	Rare/Accidental
Sora	Porzana carolina	
Spotted Crake	Porzana porzana	Rare/Accidental
Common Gallinule	Gallinula galeata	
American Coot	Fulica americana	
Purple Gallinule	Porphyrio martinica	Rare/Accidental
Azure Gallinule	Porphyrio flavirostris	Rare/Accidental
 
GRUIFORMES: Aramidae

Limpkin	Aramus guarauna	Rare/Accidental
 
PODICIPEDIFORMES: Podicipedidae

Pied-billed Grebe	Podilymbus podiceps	
 
PHOENICOPTERIFORMES: Phoenicopteridae

American Flamingo	Phoenicopterus ruber	Rare/Accidental
 
CHARADRIIFORMES: Haematopodidae

American Oystercatcher	Haematopus palliatus	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	Rare/Accidental
Black-necked Stilt	Himantopus mexicanus	
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
American Golden Plover	Pluvialis dominica	
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	Rare/Accidental
Semipalmated Plover	Charadrius semipalmatus	
Wilson's Plover	Charadrius wilsonia	
Killdeer	Charadrius vociferus	Rare/Accidental
Piping Plover	Charadrius melodus	Rare/Accidental Near-threatened
Snowy Plover	Charadrius nivosus	Rare/Accidental Near-threatened
Collared Plover	Charadrius collaris	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	
Eurasian Whimbrel	Numenius phaeopus	Rare/Accidental
Hudsonian Whimbrel	Numenius hudsonicus	
Eskimo Curlew	Numenius borealis	Rare/Accidental Critically endangered (possibly extinct)
Long-billed Curlew	Numenius americanus	Rare/Accidental
Hudsonian Godwit	Limosa haemastica	Rare/Accidental
Marbled Godwit	Limosa fedoa	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Near-threatened
Ruff	Calidris pugnax	Rare/Accidental
Stilt Sandpiper	Calidris himantopus	
Curlew Sandpiper	Calidris ferruginea	Rare/Accidental Near-threatened
Sanderling	Calidris alba	
Dunlin	Calidris alpina	Rare/Accidental
Baird's Sandpiper	Calidris bairdii	Rare/Accidental
Least Sandpiper	Calidris minutilla	
White-rumped Sandpiper	Calidris fuscicollis	
Buff-breasted Sandpiper	Calidris subruficollis	Rare/Accidental Near-threatened
Pectoral Sandpiper	Calidris melanotos	
Semipalmated Sandpiper	Calidris pusilla	Near-threatened
Western Sandpiper	Calidris mauri	
Long-billed Dowitcher	Limnodromus scolopaceus	Rare/Accidental
Short-billed Dowitcher	Limnodromus griseus	
Wilson's Snipe	Gallinago delicata	
Wilson's Phalarope	Phalaropus tricolor	Rare/Accidental
Red-necked Phalarope	Phalaropus lobatus	Rare/Accidental
Red Phalarope	Phalaropus fulicarius	Rare/Accidental
Spotted Sandpiper	Actitis macularius	
Green Sandpiper	Tringa ochropus	Rare/Accidental
Solitary Sandpiper	Tringa solitaria	
Lesser Yellowlegs	Tringa flavipes	
Willet	Tringa semipalmata	
Common Redshank	Tringa totanus	Rare/Accidental
Wood Sandpiper	Tringa glareola	Rare/Accidental
Spotted Redshank	Tringa erythropus	Rare/Accidental
Greater Yellowlegs	Tringa melanoleuca	
 
CHARADRIIFORMES: Glareolidae

Collared Pratincole	Glareola pratincola	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black-legged Kittiwake	Rissa tridactyla	Rare/Accidental Vulnerable
Sabine's Gull	Xema sabini	Rare/Accidental
Bonaparte's Gull	Chroicocephalus philadelphia	Rare/Accidental
Black-headed Gull	Chroicocephalus ridibundus	Rare/Accidental
Laughing Gull	Leucophaeus atricilla	
Franklin's Gull	Leucophaeus pipixcan	Rare/Accidental
Ring-billed Gull	Larus delawarensis	Rare/Accidental
Great Black-backed Gull	Larus marinus	Rare/Accidental
Iceland Gull	Larus glaucoides	Rare/Accidental
American Herring Gull	Larus smithsonianus	Rare/Accidental
Lesser Black-backed Gull	Larus fuscus	
Gull-billed Tern	Gelochelidon nilotica	Rare/Accidental
Caspian Tern	Hydroprogne caspia	Rare/Accidental
Royal Tern	Thalasseus maximus	
Cabot's Tern	Thalasseus acuflavidus	
