
 
ANSERIFORMES: Anatidae

West Indian Whistling Duck	Dendrocygna arborea	Rare/Accidental Near-threatened
Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Masked Duck	Nomonyx dominicus	Rare/Accidental
Ruddy Duck	Oxyura jamaicensis	
Ring-necked Duck	Aythya collaris	Rare/Accidental
Lesser Scaup	Aythya affinis	Rare/Accidental
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	Rare/Accidental
American Wigeon	Mareca americana	
White-cheeked Pintail	Anas bahamensis	
Northern Pintail	Anas acuta	Rare/Accidental
Green-winged Teal	Anas crecca	Rare/Accidental
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	Introduced species
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
 
PHOENICOPTERIFORMES: Phoenicopteridae

American Flamingo	Phoenicopterus ruber	
 
PODICIPEDIFORMES: Podicipedidae

Least Grebe	Tachybaptus dominicus	Rare/Accidental
Pied-billed Grebe	Podilymbus podiceps	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Smooth-billed Ani	Crotophaga ani	
Yellow-billed Cuckoo	Coccyzus americanus	Rare/Accidental
Mangrove Cuckoo	Coccyzus minor	
 
COLUMBIFORMES: Columbidae

Common Ground Dove	Columbina passerina	
Ruddy Quail-Dove	Geotrygon montana	Rare/Accidental
Bridled Quail-Dove	Geotrygon mystacea	
White-winged Dove	Zenaida asiatica	
Mourning Dove	Zenaida macroura	Rare/Accidental
Zenaida Dove	Zenaida aurita	
Scaly-naped Pigeon	Patagioenas squamosa	
White-crowned Pigeon	Patagioenas leucocephala	Near-threatened
Eurasian Collared Dove	Streptopelia decaocto	Introduced species
Rock Dove	Columba livia	Introduced species
 
GRUIFORMES: Rallidae

Clapper Rail	Rallus crepitans	
Sora	Porzana carolina	Rare/Accidental
Spotted Crake	Porzana porzana	Rare/Accidental
Common Gallinule	Gallinula galeata	
American Coot	Fulica americana	
Purple Gallinule	Porphyrio martinica	Rare/Accidental
 
CHARADRIIFORMES: Recurvirostridae

Black-necked Stilt	Himantopus mexicanus	
 
CHARADRIIFORMES: Haematopodidae

American Oystercatcher	Haematopus palliatus	
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
American Golden Plover	Pluvialis dominica	Rare/Accidental
Killdeer	Charadrius vociferus	Near-threatened
Semipalmated Plover	Charadrius semipalmatus	
Piping Plover	Charadrius melodus	Rare/Accidental Near-threatened
Wilson's Plover	Anarhynchus wilsonia	
Snowy Plover	Anarhynchus nivosus	Near-threatened
 
