
 
ANSERIFORMES: Anatidae

West Indian Whistling Duck	Dendrocygna arborea	Rare/Accidental Near-threatened
Fulvous Whistling Duck	Dendrocygna bicolor	
Blue-winged Teal	Spatula discors	Rare/Accidental
Northern Shoveler	Spatula clypeata	
American Wigeon	Mareca americana	Rare/Accidental
Northern Pintail	Anas acuta	Rare/Accidental
Green-winged Teal	Anas carolinensis	Rare/Accidental
 
CAPRIMULGIFORMES: Caprimulgidae

Antillean Nighthawk	Chordeiles gundlachii	Rare/Accidental
 
APODIFORMES: Apodidae

American Black Swift	Cypseloides niger	Rare/Accidental Vulnerable
 
APODIFORMES: Trochilidae

Green-throated Carib	Eulampis holosericeus	
Purple-throated Carib	Eulampis jugularis	
Antillean Crested Hummingbird	Orthorhyncus cristatus	
 
CUCULIFORMES: Cuculidae

Smooth-billed Ani	Crotophaga ani	
Yellow-billed Cuckoo	Coccyzus americanus	Rare/Accidental
Mangrove Cuckoo	Coccyzus minor	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
White-crowned Pigeon	Patagioenas leucocephala	Near-threatened
Scaly-naped Pigeon	Patagioenas squamosa	
Eurasian Collared Dove	Streptopelia decaocto	Introduced species
Common Ground Dove	Columbina passerina	
Bridled Quail-Dove	Geotrygon mystacea	
Zenaida Dove	Zenaida aurita	
White-winged Dove	Zenaida asiatica	Rare/Accidental
 
GRUIFORMES: Rallidae

Sora	Porzana carolina	Rare/Accidental
Common Gallinule	Gallinula galeata	
American Coot	Fulica americana	Rare/Accidental
Purple Gallinule	Porphyrio martinica	Rare/Accidental
 
PODICIPEDIFORMES: Podicipedidae

Least Grebe	Tachybaptus dominicus	
Pied-billed Grebe	Podilymbus podiceps	Rare/Accidental
 
CHARADRIIFORMES: Haematopodidae

American Oystercatcher	Haematopus palliatus	Rare/Accidental
 
CHARADRIIFORMES: Recurvirostridae

Black-necked Stilt	Himantopus mexicanus	
 
CHARADRIIFORMES: Charadriidae

American Golden Plover	Pluvialis dominica	Rare/Accidental
Grey Plover	Pluvialis squatarola	Rare/Accidental
Semipalmated Plover	Charadrius semipalmatus	Rare/Accidental
Wilson's Plover	Charadrius wilsonia	Rare/Accidental
Killdeer	Charadrius vociferus	Rare/Accidental
Snowy Plover	Charadrius nivosus	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	Rare/Accidental
Hudsonian Whimbrel	Numenius hudsonicus	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	Rare/Accidental
Red Knot	Calidris canutus	Rare/Accidental Near-threatened
Ruff	Calidris pugnax	Rare/Accidental
Sanderling	Calidris alba	Rare/Accidental
Least Sandpiper	Calidris minutilla	
White-rumped Sandpiper	Calidris fuscicollis	Rare/Accidental
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Semipalmated Sandpiper	Calidris pusilla	Near-threatened
Western Sandpiper	Calidris mauri	
Short-billed Dowitcher	Limnodromus griseus	Rare/Accidental
Wilson's Snipe	Gallinago delicata	
Spotted Sandpiper	Actitis macularius	
Solitary Sandpiper	Tringa solitaria	Rare/Accidental
Lesser Yellowlegs	Tringa flavipes	Rare/Accidental
Willet	Tringa semipalmata	Rare/Accidental
Greater Yellowlegs	Tringa melanoleuca	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	Rare/Accidental
Laughing Gull	Leucophaeus atricilla	
Royal Tern	Thalasseus maximus	
Cabot's Tern	Thalasseus acuflavidus	
Least Tern	Sternula antillarum	Rare/Accidental
Bridled Tern	Onychoprion anaethetus	Rare/Accidental
Common Tern	Sterna hirundo	Rare/Accidental
Forster's Tern	Sterna forsteri	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Procellariidae

Audubon's Shearwater	Puffinus lherminieri	Rare/Accidental
 
SULIFORMES: Fregatidae

Magnificent Frigatebird	Fregata magnificens	
 
SULIFORMES: Sulidae

Masked Booby	Sula dactylatra	
Red-footed Booby	Sula sula	Rare/Accidental
Brown Booby	Sula leucogaster	
 
PELECANIFORMES: Threskiornithidae

Glossy Ibis	Plegadis falcinellus	Rare/Accidental
 
PELECANIFORMES: Ardeidae

American Bittern	Botaurus lentiginosus	Rare/Accidental
Black-crowned Night Heron	Nycticorax nycticorax	Rare/Accidental
Yellow-crowned Night Heron	Nyctanassa violacea	
Green Heron	Butorides virescens	
Western Cattle Egret	Bubulcus ibis	
Grey Heron	Ardea cinerea	Rare/Accidental
Great Blue Heron	Ardea herodias	Rare/Accidental
Great Egret	Ardea alba	
Reddish Egret	Egretta rufescens	Rare/Accidental Near-threatened
Tricolored Heron	Egretta tricolor	Rare/Accidental
Little Blue Heron	Egretta caerulea	Rare/Accidental
Snowy Egret	Egretta thula	
 
PELECANIFORMES: Pelecanidae

Brown Pelican	Pelecanus occidentalis	
 
ACCIPITRIFORMES: Pandionidae

Western Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

Northern Harrier	Circus hudsonius	
Red-tailed Hawk	Buteo jamaicensis	Rare/Accidental
 
CORACIIFORMES: Alcedinidae

Ringed Kingfisher	Megaceryle torquata	Rare/Accidental
Belted Kingfisher	Megaceryle alcyon	
 
FALCONIFORMES: Falconidae

American Kestrel	Falco sparverius	
Merlin	Falco columbarius	
Peregrine Falcon	Falco peregrinus	
 
PASSERIFORMES: Tyrannidae

Caribbean Elaenia	Elaenia martinica	Rare/Accidental
Lesser Antillean Pewee	Contopus latirostris	
Grey Kingbird	Tyrannus dominicensis	
