
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	Rare/Accidental
Black-bellied Whistling Duck	Dendrocygna autumnalis	
West Indian Whistling Duck	Dendrocygna arborea	Endemic Near-threatened
Fulvous Whistling Duck	Dendrocygna bicolor	
Masked Duck	Nomonyx dominicus	
Ruddy Duck	Oxyura jamaicensis	
Tundra Swan	Cygnus columbianus	Rare/Accidental
Brant Goose	Branta bernicla	Rare/Accidental
Canada Goose	Branta canadensis	
Ross's Goose	Anser rossii	Rare/Accidental
Snow Goose	Anser caerulescens	
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Muscovy Duck	Cairina moschata	Introduced species
Wood Duck	Aix sponsa	
Orinoco Goose	Neochen jubata	Rare/Accidental Near-threatened
Egyptian Goose	Alopochen aegyptiaca	Introduced species
Common Shelduck	Tadorna tadorna	Rare/Accidental
Long-tailed Duck	Clangula hyemalis	Rare/Accidental Vulnerable
Common Eider	Somateria mollissima	Rare/Accidental Near-threatened
Black Scoter	Melanitta americana	Rare/Accidental Near-threatened
Surf Scoter	Melanitta perspicillata	Rare/Accidental
White-winged Scoter	Melanitta deglandi	Rare/Accidental
Bufflehead	Bucephala albeola	
Hooded Merganser	Lophodytes cucullatus	
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Common Merganser	Mergus merganser	Rare/Accidental
Ferruginous Duck	Aythya nyroca	Rare/Accidental Near-threatened
Common Pochard	Aythya ferina	Rare/Accidental Vulnerable
Canvasback	Aythya valisineria	Rare/Accidental
Ring-necked Duck	Aythya collaris	
Redhead	Aythya americana	
Tufted Duck	Aythya fuligula	Rare/Accidental
Lesser Scaup	Aythya affinis	
Greater Scaup	Aythya marila	Rare/Accidental
Garganey	Spatula querquedula	Rare/Accidental
Blue-winged Teal	Spatula discors	
Cinnamon Teal	Spatula cyanoptera	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	
American Black Duck	Anas rubripes	Rare/Accidental
Mottled Duck	Anas fulvigula	Rare/Accidental
White-cheeked Pintail	Anas bahamensis	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
 
GALLIFORMES: Cracidae

Rufous-vented Chachalaca	Ortalis ruficauda	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	Introduced species
 
GALLIFORMES: Odontophoridae

Northern Bobwhite	Colinus virginianus	Near-threatened
Crested Bobwhite	Colinus cristatus	Extirpated
California Quail	Callipepla californica	Extirpated
 
GALLIFORMES: Phasianidae

Common Pheasant	Phasianus colchicus	Extirpated
Indian Peafowl	Pavo cristatus	Introduced species
Red Junglefowl	Gallus gallus	Introduced species
Red-legged Partridge	Alectoris rufa	Extirpated Near-threatened
 
PHOENICOPTERIFORMES: Phoenicopteridae

American Flamingo	Phoenicopterus ruber	
 
PODICIPEDIFORMES: Podicipedidae

Least Grebe	Tachybaptus dominicus	
Pied-billed Grebe	Podilymbus podiceps	
Horned Grebe	Podiceps auritus	Vulnerable
Red-necked Grebe	Podiceps grisegena	Rare/Accidental
Black-necked Grebe	Podiceps nigricollis	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Greater Ani	Crotophaga major	Rare/Accidental
Smooth-billed Ani	Crotophaga ani	
Dark-billed Cuckoo	Coccyzus melacoryphus	Rare/Accidental
Yellow-billed Cuckoo	Coccyzus americanus	
Pearly-breasted Cuckoo	Coccyzus euleri	Rare/Accidental
Mangrove Cuckoo	Coccyzus minor	
Black-billed Cuckoo	Coccyzus erythropthalmus	
Chestnut-bellied Cuckoo	Coccyzus pluvialis	Endemic
Bay-breasted Cuckoo	Coccyzus rufigularis	Endemic Endangered
Jamaican Lizard Cuckoo	Coccyzus vetula	Endemic
Puerto Rican Lizard Cuckoo	Coccyzus vieilloti	Endemic
Great Lizard Cuckoo	Coccyzus merlini	Endemic
Hispaniolan Lizard Cuckoo	Coccyzus longirostris	Endemic
Common Cuckoo	Cuculus canorus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Common Ground Dove	Columbina passerina	
Blue-headed Quail-Dove	Starnoenas cyanocephala	Endemic Endangered
Crested Quail-Dove	Geotrygon versicolor	Endemic Near-threatened
Ruddy Quail-Dove	Geotrygon montana	
Grey-fronted Quail-Dove	Geotrygon caniceps	Endemic Vulnerable
White-fronted Quail-Dove	Geotrygon leucometopia	Endemic Endangered
Key West Quail-Dove	Geotrygon chrysia	Endemic
Bridled Quail-Dove	Geotrygon mystacea	Endemic
Caribbean Dove	Leptotila jamaicensis	
Grey-headed Dove	Leptotila plumbeiceps	
Grenada Dove	Leptotila wellsi	Endemic Critically endangered
White-winged Dove	Zenaida asiatica	
Mourning Dove	Zenaida macroura	
Zenaida Dove	Zenaida aurita	
Eared Dove	Zenaida auriculata	
Passenger Pigeon	Ectopistes migratorius	Rare/Accidental Extinct
Scaly-naped Pigeon	Patagioenas squamosa	
Bare-eyed Pigeon	Patagioenas corensis	Introduced species
White-crowned Pigeon	Patagioenas leucocephala	Near-threatened
Plain Pigeon	Patagioenas inornata	Endemic Near-threatened
Ring-tailed Pigeon	Patagioenas caribaea	Endemic Vulnerable
Spotted Dove	Spilopelia chinensis	Extirpated
Eurasian Collared Dove	Streptopelia decaocto	Introduced species
African Collared Dove	Streptopelia roseogrisea	Introduced species
Rock Dove	Columba livia	Introduced species
Pied Imperial Pigeon	Ducula bicolor	Introduced species
 
GRUIFORMES: Aramidae

Limpkin	Aramus guarauna	
 
GRUIFORMES: Gruidae

Sandhill Crane	Antigone canadensis	
 
GRUIFORMES: Rallidae

Spotted Rail	Pardirallus maculatus	
Zapata Rail	Mustelirallus cerverai	Endemic Critically endangered
Uniform Crake	Amaurolimnas concolor	Extirpated
King Rail	Rallus elegans	Near-threatened
Clapper Rail	Rallus crepitans	
Virginia Rail	Rallus limicola	Rare/Accidental
Corn Crake	Crex crex	Rare/Accidental
Sora	Porzana carolina	
Spotted Crake	Porzana porzana	Rare/Accidental
Common Gallinule	Gallinula galeata	
American Coot	Fulica americana	
Purple Gallinule	Porphyrio martinica	
Azure Gallinule	Porphyrio flavirostris	Rare/Accidental
Purple Swamphen	Porphyrio porphyrio	Rare/Accidental
