
 
ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	Rare/Accidental
West Indian Whistling Duck	Dendrocygna arborea	Rare/Accidental Near-threatened
Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Masked Duck	Nomonyx dominicus	
Ruddy Duck	Oxyura jamaicensis	Rare/Accidental
Muscovy Duck	Cairina moschata	Introduced species
Common Shelduck	Tadorna tadorna	Rare/Accidental
Hooded Merganser	Lophodytes cucullatus	Rare/Accidental
Ring-necked Duck	Aythya collaris	Rare/Accidental
Lesser Scaup	Aythya affinis	
Garganey	Spatula querquedula	Rare/Accidental
Blue-winged Teal	Spatula discors	
Cinnamon Teal	Spatula cyanoptera	Rare/Accidental
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	
White-cheeked Pintail	Anas bahamensis	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	Rare/Accidental
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
 
PHOENICOPTERIFORMES: Phoenicopteridae

American Flamingo	Phoenicopterus ruber	Rare/Accidental
 
PODICIPEDIFORMES: Podicipedidae

Pied-billed Grebe	Podilymbus podiceps	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Smooth-billed Ani	Crotophaga ani	Rare/Accidental
Yellow-billed Cuckoo	Coccyzus americanus	Rare/Accidental
Mangrove Cuckoo	Coccyzus minor	
 
COLUMBIFORMES: Columbidae

Common Ground Dove	Columbina passerina	
Ruddy Quail-Dove	Geotrygon montana	Rare/Accidental
Bridled Quail-Dove	Geotrygon mystacea	Rare/Accidental
White-winged Dove	Zenaida asiatica	Rare/Accidental
Zenaida Dove	Zenaida aurita	
Eared Dove	Zenaida auriculata	
Scaly-naped Pigeon	Patagioenas squamosa	
White-crowned Pigeon	Patagioenas leucocephala	Rare/Accidental Near-threatened
Eurasian Collared Dove	Streptopelia decaocto	Introduced species
Rock Dove	Columba livia	Introduced species
 
GRUIFORMES: Rallidae

Clapper Rail	Rallus crepitans	Rare/Accidental
Sora	Porzana carolina	
Common Gallinule	Gallinula galeata	
American Coot	Fulica americana	Rare/Accidental
Purple Gallinule	Porphyrio martinica	Rare/Accidental
 
CHARADRIIFORMES: Recurvirostridae

Black-necked Stilt	Himantopus mexicanus	
 
CHARADRIIFORMES: Haematopodidae

American Oystercatcher	Haematopus palliatus	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
American Golden Plover	Pluvialis dominica	
Killdeer	Charadrius vociferus	Near-threatened
Semipalmated Plover	Charadrius semipalmatus	
Piping Plover	Charadrius melodus	Rare/Accidental Near-threatened
Little Ringed Plover	Thinornis dubius	Rare/Accidental
Northern Lapwing	Vanellus vanellus	Rare/Accidental Near-threatened
Wilson's Plover	Anarhynchus wilsonia	Rare/Accidental
Collared Plover	Anarhynchus collaris	Rare/Accidental
Snowy Plover	Anarhynchus nivosus	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	Rare/Accidental
Eskimo Curlew	Numenius borealis	Rare/Accidental Critically endangered (possibly extinct)
Hudsonian Whimbrel	Numenius hudsonicus	
Long-billed Curlew	Numenius americanus	Rare/Accidental
Marbled Godwit	Limosa fedoa	Rare/Accidental Vulnerable
Hudsonian Godwit	Limosa haemastica	Rare/Accidental Vulnerable
Long-billed Dowitcher	Limnodromus scolopaceus	Rare/Accidental Near-threatened
Short-billed Dowitcher	Limnodromus griseus	Vulnerable
Wilson's Snipe	Gallinago delicata	
Spotted Sandpiper	Actitis macularius	
Wilson's Phalarope	Phalaropus tricolor	Rare/Accidental
Solitary Sandpiper	Tringa solitaria	
Lesser Yellowlegs	Tringa flavipes	Vulnerable
Willet	Tringa semipalmata	
Greater Yellowlegs	Tringa melanoleuca	Near-threatened
Ruddy Turnstone	Arenaria interpres	Near-threatened
Red Knot	Calidris canutus	Rare/Accidental Near-threatened
Ruff	Calidris pugnax	Rare/Accidental
Curlew Sandpiper	Calidris ferruginea	Rare/Accidental Vulnerable
Stilt Sandpiper	Calidris himantopus	Near-threatened
Buff-breasted Sandpiper	Calidris subruficollis	Rare/Accidental Vulnerable
Sanderling	Calidris alba	
Dunlin	Calidris alpina	Rare/Accidental Near-threatened
Baird's Sandpiper	Calidris bairdii	Rare/Accidental
Pectoral Sandpiper	Calidris melanotos	
Semipalmated Sandpiper	Calidris pusilla	Near-threatened
Western Sandpiper	Calidris mauri	
Least Sandpiper	Calidris minutilla	Near-threatened
White-rumped Sandpiper	Calidris fuscicollis	Vulnerable
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
Great Skua	Stercorarius skua	Rare/Accidental
South Polar Skua	Stercorarius maccormicki	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Sooty Tern	Onychoprion fuscatus	
Bridled Tern	Onychoprion anaethetus	
Least Tern	Sternula antillarum	
Caspian Tern	Hydroprogne caspia	Rare/Accidental
Gull-billed Tern	Gelochelidon nilotica	Rare/Accidental
Black Tern	Chlidonias niger	Rare/Accidental
Sandwich Tern	Thalasseus sandvicensis	Rare/Accidental
Royal Tern	Thalasseus maximus	
Common Tern	Sterna hirundo	Rare/Accidental
Roseate Tern	Sterna dougallii	
Bonaparte's Gull	Chroicocephalus philadelphia	Rare/Accidental
