
 
ANSERIFORMES: Anatidae

Canada Goose	Branta canadensis	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Long-tailed Duck	Clangula hyemalis	Rare/Accidental Vulnerable
Harlequin Duck	Histrionicus histrionicus	Rare/Accidental
Canvasback	Aythya valisineria	Rare/Accidental
Ring-necked Duck	Aythya collaris	Rare/Accidental
Lesser Scaup	Aythya affinis	Rare/Accidental
Garganey	Spatula querquedula	Rare/Accidental
Blue-winged Teal	Spatula discors	Rare/Accidental
Cinnamon Teal	Spatula cyanoptera	Rare/Accidental
Northern Shoveler	Spatula clypeata	Rare/Accidental
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	Rare/Accidental
Northern Pintail	Anas acuta	Rare/Accidental
Green-winged Teal	Anas crecca	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Dark-billed Cuckoo	Coccyzus melacoryphus	Rare/Accidental
Yellow-billed Cuckoo	Coccyzus americanus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Mourning Dove	Zenaida macroura	Rare/Accidental
 
GRUIFORMES: Rallidae

Sora	Porzana carolina	Rare/Accidental
Common Gallinule	Gallinula galeata	Rare/Accidental
American Coot	Fulica americana	
Purple Gallinule	Porphyrio martinica	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Rare/Accidental Vulnerable
Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
Killdeer	Charadrius vociferus	Near-threatened
Semipalmated Plover	Charadrius semipalmatus	
 
CHARADRIIFORMES: Scolopacidae

Hudsonian Whimbrel	Numenius hudsonicus	
Bar-tailed Godwit	Limosa lapponica	Rare/Accidental Near-threatened
Marbled Godwit	Limosa fedoa	Vulnerable
Long-billed Dowitcher	Limnodromus scolopaceus	Rare/Accidental Near-threatened
Short-billed Dowitcher	Limnodromus griseus	Rare/Accidental Vulnerable
American Woodcock	Scolopax minor	Rare/Accidental
Spotted Sandpiper	Actitis macularius	
Wilson's Phalarope	Phalaropus tricolor	Rare/Accidental
Red Phalarope	Phalaropus fulicarius	
Solitary Sandpiper	Tringa solitaria	Rare/Accidental
Wandering Tattler	Tringa incana	Rare/Accidental
Lesser Yellowlegs	Tringa flavipes	Rare/Accidental Vulnerable
Willet	Tringa semipalmata	Rare/Accidental
Greater Yellowlegs	Tringa melanoleuca	Rare/Accidental Near-threatened
Ruddy Turnstone	Arenaria interpres	Rare/Accidental Near-threatened
Ruff	Calidris pugnax	Rare/Accidental
Sanderling	Calidris alba	
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Western Sandpiper	Calidris mauri	
Least Sandpiper	Calidris minutilla	Near-threatened
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	
Long-tailed Jaeger	Stercorarius longicaudus	
Pomarine Jaeger	Stercorarius pomarinus	
Great Skua	Stercorarius skua	Rare/Accidental
South Polar Skua	Stercorarius maccormicki	
 
CHARADRIIFORMES: Alcidae

Crested Auklet	Aethia cristatella	Rare/Accidental
Pigeon Guillemot	Cepphus columba	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Atlantic White Tern	Gygis alba	
Blue-billed White Tern	Gygis candida	
Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Sooty Tern	Onychoprion fuscatus	
Spectacled Tern	Onychoprion lunatus	Rare/Accidental
Black Tern	Chlidonias niger	Rare/Accidental
Arctic Tern	Sterna paradisaea	
Little Gull	Hydrocoloeus minutus	Rare/Accidental
Black-headed Gull	Chroicocephalus ridibundus	Rare/Accidental
Laughing Gull	Leucophaeus atricilla	Rare/Accidental
Franklin's Gull	Leucophaeus pipixcan	Rare/Accidental
Black-tailed Gull	Larus crassirostris	Rare/Accidental
Kelp Gull	Larus dominicanus	Rare/Accidental
Great Black-backed Gull	Larus marinus	Rare/Accidental
Glaucous Gull	Larus hyperboreus	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	
Red-tailed Tropicbird	Phaethon rubricauda	
White-tailed Tropicbird	Phaethon lepturus	Rare/Accidental
 
GAVIIFORMES: Gaviidae

Yellow-billed Loon	Gavia adamsii	Rare/Accidental Near-threatened
 
PROCELLARIIFORMES: Hydrobatidae

Band-rumped Storm Petrel	Hydrobates castro	
Markham's Storm Petrel	Hydrobates markhami	Near-threatened
Wedge-rumped Storm Petrel	Hydrobates tethys	
Leach's Storm Petrel	Hydrobates leucorhous	Vulnerable
 
PROCELLARIIFORMES: Procellariidae

Tahiti Petrel	Pseudobulweria rostrata	Near-threatened
Wedge-tailed Shearwater	Ardenna pacifica	
Buller's Shearwater	Ardenna bulleri	Vulnerable
Sooty Shearwater	Ardenna grisea	Near-threatened
Great Shearwater	Ardenna gravis	Rare/Accidental
Pink-footed Shearwater	Ardenna creatopus	Vulnerable
Christmas Shearwater	Puffinus nativitatis	
Manx Shearwater	Puffinus puffinus	Rare/Accidental
Tropical Shearwater	Puffinus bailloni	
Newell's Shearwater	Puffinus newelli	Critically endangered
Stejneger's Petrel	Pterodroma longirostris	Rare/Accidental Vulnerable
Cook's Petrel	Pterodroma cookii	Vulnerable
Gould's Petrel	Pterodroma leucoptera	Vulnerable
Black-winged Petrel	Pterodroma nigripennis	
Juan Fernandez Petrel	Pterodroma externa	Vulnerable
Galapagos Petrel	Pterodroma phaeopygia	Critically endangered
White-necked Petrel	Pterodroma cervicalis	Vulnerable
Murphy's Petrel	Pterodroma ultima	
Kermadec Petrel	Pterodroma neglecta	
 
SULIFORMES: Fregatidae

Magnificent Frigatebird	Fregata magnificens	Rare/Accidental
Great Frigatebird	Fregata minor	
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	
Cocos Booby	Sula brewsteri	
Nazca Booby	Sula granti	
Masked Booby	Sula dactylatra	
 
PELECANIFORMES: Threskiornithidae

American White Ibis	Eudocimus albus	Rare/Accidental
White-faced Ibis	Plegadis chihi	Rare/Accidental
 
PELECANIFORMES: Ardeidae

Least Bittern	Botaurus exilis	Rare/Accidental
American Bittern	Botaurus lentiginosus	Rare/Accidental
Snowy Egret	Egretta thula	Rare/Accidental
Yellow-crowned Night Heron	Nyctanassa violacea	Rare/Accidental
Black-crowned Night Heron	Nycticorax nycticorax	Rare/Accidental
Little Heron	Butorides atricapilla	Rare/Accidental
Great Egret	Ardea alba	Rare/Accidental
Western Cattle Egret	Ardea ibis	Rare/Accidental
Eastern Cattle Egret	Ardea coromanda	Rare/Accidental
Great Blue Heron	Ardea herodias	Rare/Accidental
 
CAPRIMULGIFORMES: Caprimulgidae

Common Nighthawk	Chordeiles minor	Rare/Accidental
 
ACCIPITRIFORMES: Pandionidae

Osprey	Pandion haliaetus	Rare/Accidental
 
CORACIIFORMES: Alcedinidae

Belted Kingfisher	Megaceryle alcyon	
 
FALCONIFORMES: Falconidae

Prairie Falcon	Falco mexicanus	Rare/Accidental
Peregrine Falcon	Falco peregrinus	
 
PASSERIFORMES: Tyrannidae

Eastern Kingbird	Tyrannus tyrannus	
Eastern Wood Pewee	Contopus virens	Rare/Accidental
 
PASSERIFORMES: Hirundinidae

Sand Martin	Riparia riparia	Rare/Accidental
Tree Swallow	Tachycineta bicolor	Rare/Accidental
Purple Martin	Progne subis	Rare/Accidental
Barn Swallow	Hirundo rustica	Rare/Accidental
American Cliff Swallow	Petrochelidon pyrrhonota	Rare/Accidental
 
PASSERIFORMES: Phylloscopidae

Arctic Warbler	Phylloscopus borealis	Rare/Accidental
 
PASSERIFORMES: Mimidae

Brown Thrasher	Toxostoma rufum	Rare/Accidental
 
PASSERIFORMES: Sturnidae

Common Starling	Sturnus vulgaris	Introduced species
 
PASSERIFORMES: Turdidae

Grey-cheeked Thrush	Catharus minimus	Rare/Accidental
 
PASSERIFORMES: Muscicapidae

Northern Wheatear	Oenanthe oenanthe	Rare/Accidental
 
PASSERIFORMES: Passeridae

House Sparrow	Passer domesticus	Rare/Accidental
 
PASSERIFORMES: Motacillidae

White Wagtail	Motacilla alba	Rare/Accidental
Red-throated Pipit	Anthus cervinus	Rare/Accidental
 
PASSERIFORMES: Calcariidae

Lapland Longspur	Calcarius lapponicus	Rare/Accidental
 
PASSERIFORMES: Passerellidae

LeConte's Sparrow	Ammospiza leconteii	Rare/Accidental
 
PASSERIFORMES: Icteridae

Bobolink	Dolichonyx oryzivorus	Rare/Accidental
Rusty Blackbird	Euphagus carolinus	Rare/Accidental Vulnerable
 
PASSERIFORMES: Parulidae

Ovenbird	Seiurus aurocapilla	Rare/Accidental
Northern Waterthrush	Parkesia noveboracensis	Rare/Accidental
Worm-eating Warbler	Helmitheros vermivorum	Rare/Accidental
Prothonotary Warbler	Protonotaria citrea	Rare/Accidental
Golden-winged Warbler	Vermivora chrysoptera	Rare/Accidental Near-threatened
Tennessee Warbler	Leiothlypis peregrina	Rare/Accidental
Connecticut Warbler	Oporornis agilis	Rare/Accidental
Common Yellowthroat	Geothlypis trichas	Rare/Accidental
American Redstart	Setophaga ruticilla	Rare/Accidental
Magnolia Warbler	Setophaga magnolia	Rare/Accidental
Blackpoll Warbler	Setophaga striata	Rare/Accidental Near-threatened
Bay-breasted Warbler	Setophaga castanea	Rare/Accidental
American Yellow Warbler	Setophaga aestiva	Rare/Accidental
Palm Warbler	Setophaga palmarum	Rare/Accidental
Yellow-throated Warbler	Setophaga dominica	Rare/Accidental
Prairie Warbler	Setophaga discolor	Rare/Accidental
Black-throated Green Warbler	Setophaga virens	Rare/Accidental
Canada Warbler	Cardellina canadensis	Rare/Accidental
 
PASSERIFORMES: Cardinalidae

Dickcissel	Spiza americana	Rare/Accidental
Summer Tanager	Piranga rubra	Rare/Accidental
Scarlet Tanager	Piranga olivacea	Rare/Accidental
