
 
ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	Rare/Accidental
Brant Goose	Branta bernicla	
Canada Goose	Branta canadensis	
Barnacle Goose	Branta leucopsis	Rare/Accidental
Cackling Goose	Branta hutchinsii	Rare/Accidental
Ross's Goose	Anser rossii	Rare/Accidental
Snow Goose	Anser caerulescens	
Pink-footed Goose	Anser brachyrhynchus	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Tundra Swan	Cygnus columbianus	Rare/Accidental
Wood Duck	Aix sponsa	
Garganey	Spatula querquedula	Rare/Accidental
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	
American Black Duck	Anas rubripes	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	Rare/Accidental
Green-winged Teal	Anas carolinensis	
Canvasback	Aythya valisineria	Rare/Accidental
Redhead	Aythya americana	
Ring-necked Duck	Aythya collaris	
Tufted Duck	Aythya fuligula	Rare/Accidental
Greater Scaup	Aythya marila	
Lesser Scaup	Aythya affinis	
King Eider	Somateria spectabilis	
Common Eider	Somateria mollissima	Near-threatened
Harlequin Duck	Histrionicus histrionicus	
Labrador Duck	Camptorhynchus labradorius	Rare/Accidental Extinct
Surf Scoter	Melanitta perspicillata	
White-winged Scoter	Melanitta deglandi	
Black Scoter	Melanitta americana	Near-threatened
Long-tailed Duck	Clangula hyemalis	Vulnerable
Bufflehead	Bucephala albeola	
Common Goldeneye	Bucephala clangula	
Barrow's Goldeneye	Bucephala islandica	
Hooded Merganser	Lophodytes cucullatus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
Ruddy Duck	Oxyura jamaicensis	
 
GALLIFORMES: Phasianidae

Ruffed Grouse	Bonasa umbellus	
Spruce Grouse	Canachites canadensis	
Grey Partridge	Perdix perdix	Introduced species
Common Pheasant	Phasianus colchicus	Introduced species
 
CAPRIMULGIFORMES: Caprimulgidae

Common Nighthawk	Chordeiles minor	
Chuck-will's-widow	Antrostomus carolinensis	Rare/Accidental Near-threatened
Eastern Whip-poor-will	Antrostomus vociferus	Near-threatened
 
APODIFORMES: Apodidae

Chimney Swift	Chaetura pelagica	Vulnerable
 
APODIFORMES: Trochilidae

Black-chinned Hummingbird	Archilochus alexandri	Rare/Accidental
Ruby-throated Hummingbird	Archilochus colubris	
Rufous Hummingbird	Selasphorus rufus	Rare/Accidental Near-threatened
 
CUCULIFORMES: Cuculidae

Yellow-billed Cuckoo	Coccyzus americanus	
Black-billed Cuckoo	Coccyzus erythropthalmus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
