
 
ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	Rare/Accidental
Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Brant Goose	Branta bernicla	
Canada Goose	Branta canadensis	
Barnacle Goose	Branta leucopsis	Rare/Accidental
Cackling Goose	Branta hutchinsii	
Ross's Goose	Anser rossii	
Snow Goose	Anser caerulescens	
Pink-footed Goose	Anser brachyrhynchus	Rare/Accidental
Tundra Bean Goose	Anser serrirostris	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	
Mute Swan	Cygnus olor	Introduced species
Trumpeter Swan	Cygnus buccinator	
Tundra Swan	Cygnus columbianus	
Wood Duck	Aix sponsa	
Garganey	Spatula querquedula	Rare/Accidental
Cinnamon Teal	Spatula cyanoptera	Rare/Accidental
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	
Mottled Duck	Anas fulvigula	Rare/Accidental
American Black Duck	Anas rubripes	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	Rare/Accidental
Green-winged Teal	Anas carolinensis	
Canvasback	Aythya valisineria	
Redhead	Aythya americana	
Ring-necked Duck	Aythya collaris	
Tufted Duck	Aythya fuligula	Rare/Accidental
Greater Scaup	Aythya marila	
Lesser Scaup	Aythya affinis	
King Eider	Somateria spectabilis	
Common Eider	Somateria mollissima	Near-threatened
Harlequin Duck	Histrionicus histrionicus	
Surf Scoter	Melanitta perspicillata	
White-winged Scoter	Melanitta deglandi	
Black Scoter	Melanitta americana	Near-threatened
Long-tailed Duck	Clangula hyemalis	Vulnerable
Bufflehead	Bucephala albeola	
Common Goldeneye	Bucephala clangula	
Barrow's Goldeneye	Bucephala islandica	
Smew	Mergellus albellus	Rare/Accidental
Hooded Merganser	Lophodytes cucullatus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
Ruddy Duck	Oxyura jamaicensis	
 
GALLIFORMES: Odontophoridae

Northern Bobwhite	Colinus virginianus	Near-threatened
 
GALLIFORMES: Phasianidae

Wild Turkey	Meleagris gallopavo	
Ruffed Grouse	Bonasa umbellus	
Sharp-tailed Grouse	Tympanuchus phasianellus	
Greater Prairie Chicken	Tympanuchus cupido	Rare/Accidental Near-threatened
Willow Ptarmigan	Lagopus lagopus	
Rock Ptarmigan	Lagopus muta	Rare/Accidental
Spruce Grouse	Canachites canadensis	
Grey Partridge	Perdix perdix	Introduced species
Common Pheasant	Phasianus colchicus	Introduced species
 
CAPRIMULGIFORMES: Caprimulgidae

Lesser Nighthawk	Chordeiles acutipennis	Rare/Accidental
Common Nighthawk	Chordeiles minor	
Common Poorwill	Phalaenoptilus nuttallii	Rare/Accidental
Chuck-will's-widow	Antrostomus carolinensis	Rare/Accidental Near-threatened
Eastern Whip-poor-will	Antrostomus vociferus	Near-threatened
 
APODIFORMES: Apodidae

American Black Swift	Cypseloides niger	Rare/Accidental Vulnerable
White-collared Swift	Streptoprocne zonaris	Rare/Accidental
Chimney Swift	Chaetura pelagica	Vulnerable
 
APODIFORMES: Trochilidae

Mexican Violetear	Colibri thalassinus	Rare/Accidental
Black-chinned Hummingbird	Archilochus alexandri	Rare/Accidental
Ruby-throated Hummingbird	Archilochus colubris	
Anna's Hummingbird	Calypte anna	Rare/Accidental
Calliope Hummingbird	Selasphorus calliope	Rare/Accidental
Rufous Hummingbird	Selasphorus rufus	Rare/Accidental Near-threatened
Broad-billed Hummingbird	Cynanthus latirostris	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Groove-billed Ani	Crotophaga sulcirostris	Rare/Accidental
Yellow-billed Cuckoo	Coccyzus americanus	
Black-billed Cuckoo	Coccyzus erythropthalmus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
White-crowned Pigeon	Patagioenas leucocephala	Rare/Accidental Near-threatened
Band-tailed Pigeon	Patagioenas fasciata	Rare/Accidental
Eurasian Collared Dove	Streptopelia decaocto	Rare/Accidental
Inca Dove	Columbina inca	Rare/Accidental
Common Ground Dove	Columbina passerina	Rare/Accidental
Passenger Pigeon	Ectopistes migratorius	Rare/Accidental Extinct
Mourning Dove	Zenaida macroura	
White-winged Dove	Zenaida asiatica	Rare/Accidental
 
GRUIFORMES: Rallidae

King Rail	Rallus elegans	Rare/Accidental Near-threatened
Virginia Rail	Rallus limicola	
Sora	Porzana carolina	
Common Gallinule	Gallinula galeata	
American Coot	Fulica americana	
Purple Gallinule	Porphyrio martinica	Rare/Accidental
Yellow Rail	Coturnicops noveboracensis	
Black Rail	Laterallus jamaicensis	Rare/Accidental
 
GRUIFORMES: Gruidae

Sandhill Crane	Antigone canadensis	
Whooping Crane	Grus americana	Rare/Accidental Endangered
 
PODICIPEDIFORMES: Podicipedidae

Pied-billed Grebe	Podilymbus podiceps	
Red-necked Grebe	Podiceps grisegena	
Horned Grebe	Podiceps auritus	Vulnerable
