
 
ANSERIFORMES: Anatidae

Brant Goose	Branta bernicla	
Canada Goose	Branta canadensis	
Cackling Goose	Branta hutchinsii	
Emperor Goose	Anser canagicus	
Ross's Goose	Anser rossii	
Snow Goose	Anser caerulescens	
Greater White-fronted Goose	Anser albifrons	
Mute Swan	Cygnus olor	Introduced species
Trumpeter Swan	Cygnus buccinator	
Tundra Swan	Cygnus columbianus	
Wood Duck	Aix sponsa	
Baikal Teal	Sibirionetta formosa	Rare/Accidental
Garganey	Spatula querquedula	Rare/Accidental
Cinnamon Teal	Spatula cyanoptera	
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	
American Black Duck	Anas rubripes	Extirpated
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	Rare/Accidental
Green-winged Teal	Anas carolinensis	
Canvasback	Aythya valisineria	
Redhead	Aythya americana	
Ring-necked Duck	Aythya collaris	
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Lesser Scaup	Aythya affinis	
King Eider	Somateria spectabilis	
Common Eider	Somateria mollissima	Rare/Accidental
Harlequin Duck	Histrionicus histrionicus	
Surf Scoter	Melanitta perspicillata	
White-winged Scoter	Melanitta deglandi	
Black Scoter	Melanitta americana	
Long-tailed Duck	Clangula hyemalis	
Bufflehead	Bucephala albeola	
Common Goldeneye	Bucephala clangula	
Barrow's Goldeneye	Bucephala islandica	
Smew	Mergellus albellus	Rare/Accidental
Hooded Merganser	Lophodytes cucullatus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
Ruddy Duck	Oxyura jamaicensis	
 
GALLIFORMES: Odontophoridae

California Quail	Callipepla californica	Extirpated
 
GALLIFORMES: Phasianidae

Ruffed Grouse	Bonasa umbellus	
Spruce Grouse	Falcipennis canadensis	
Sooty Grouse	Dendragapus fuliginosus	
White-tailed Ptarmigan	Lagopus leucura	Rare/Accidental
Rock Ptarmigan	Lagopus muta	
Grey Partridge	Perdix perdix	Extirpated
Common Pheasant	Phasianus colchicus	Introduced species
 
CAPRIMULGIFORMES: Caprimulgidae

Lesser Nighthawk	Chordeiles acutipennis	Rare/Accidental
Common Nighthawk	Chordeiles minor	
Common Poorwill	Phalaenoptilus nuttallii	Rare/Accidental
 
APODIFORMES: Apodidae

American Black Swift	Cypseloides niger	
Vaux's Swift	Chaetura vauxi	
White-throated Swift	Aeronautes saxatalis	Rare/Accidental
 
APODIFORMES: Trochilidae

Black-chinned Hummingbird	Archilochus alexandri	Rare/Accidental
Ruby-throated Hummingbird	Archilochus colubris	Rare/Accidental
Anna's Hummingbird	Calypte anna	
Costa's Hummingbird	Calypte costae	Rare/Accidental
Calliope Hummingbird	Selasphorus calliope	
Rufous Hummingbird	Selasphorus rufus	
 
CUCULIFORMES: Cuculidae

Yellow-billed Cuckoo	Coccyzus americanus	Extirpated
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Band-tailed Pigeon	Patagioenas fasciata	
Oriental Turtle Dove	Streptopelia orientalis	Rare/Accidental
