
 
ANSERIFORMES: Anatidae

Brant Goose	Branta bernicla	
Canada Goose	Branta canadensis	Rare/Accidental
Greylag Goose	Anser anser	Rare/Accidental
Pink-footed Goose	Anser brachyrhynchus	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Mute Swan	Cygnus olor	Rare/Accidental
Whooper Swan	Cygnus cygnus	Rare/Accidental
Common Shelduck	Tadorna tadorna	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
 
GALLIFORMES: Phasianidae

Common Pheasant	Phasianus colchicus	Introduced species
 
APODIFORMES: Apodidae

Common Swift	Apus apus	
 
CUCULIFORMES: Cuculidae

Common Cuckoo	Cuculus canorus	
 
COLUMBIFORMES: Columbidae

Stock Dove	Columba oenas	
Common Wood Pigeon	Columba palumbus	
Eurasian Collared Dove	Streptopelia decaocto	
 
GRUIFORMES: Rallidae

Eurasian Coot	Fulica atra	
 
GRUIFORMES: Gruidae

Common Crane	Grus grus	Rare/Accidental
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	
Horned Grebe	Podiceps auritus	Vulnerable
Black-necked Grebe	Podiceps nigricollis	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
 
CHARADRIIFORMES: Recurvirostridae

Pied Avocet	Recurvirostra avosetta	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	Near-threatened
European Golden Plover	Pluvialis apricaria	
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	Rare/Accidental
Little Ringed Plover	Charadrius dubius	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Rare/Accidental Near-threatened
Ruff	Calidris pugnax	
Curlew Sandpiper	Calidris ferruginea	Rare/Accidental Near-threatened
Sanderling	Calidris alba	
Dunlin	Calidris alpina	
Little Stint	Calidris minuta	
Buff-breasted Sandpiper	Calidris subruficollis	Rare/Accidental Near-threatened
Eurasian Woodcock	Scolopax rusticola	
Common Snipe	Gallinago gallinago	
Red Phalarope	Phalaropus fulicarius	
Common Sandpiper	Actitis hypoleucos	
Green Sandpiper	Tringa ochropus	
Common Redshank	Tringa totanus	
Wood Sandpiper	Tringa glareola	Rare/Accidental
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Laridae

Black-legged Kittiwake	Rissa tridactyla	Vulnerable
Black-headed Gull	Chroicocephalus ridibundus	
Great Black-backed Gull	Larus marinus	
Iceland Gull	Larus glaucoides	Rare/Accidental
European Herring Gull	Larus argentatus	
Yellow-legged Gull	Larus michahellis	
Lesser Black-backed Gull	Larus fuscus	
Common Tern	Sterna hirundo	
 
GAVIIFORMES: Gaviidae

Common Loon	Gavia immer	
 
PROCELLARIIFORMES: Procellariidae

Northern Fulmar	Fulmarus glacialis	
 
SULIFORMES: Sulidae

Northern Gannet	Morus bassanus	
 
SULIFORMES: Phalacrocoracidae

Great Cormorant	Phalacrocorax carbo	
European Shag	Gulosus aristotelis	
 
PELECANIFORMES: Ardeidae

Grey Heron	Ardea cinerea	
Little Egret	Egretta garzetta	
 
ACCIPITRIFORMES: Pandionidae

Osprey	Pandion haliaetus	Rare/Accidental
 
ACCIPITRIFORMES: Accipitridae

Eurasian Sparrowhawk	Accipiter nisus	
Western Marsh Harrier	Circus aeruginosus	Rare/Accidental
Common Buzzard	Buteo buteo	Rare/Accidental
 
STRIGIFORMES: Tytonidae

Western Barn Owl	Tyto alba	
 
BUCEROTIFORMES: Upupidae

Eurasian Hoopoe	Upupa epops	
 
FALCONIFORMES: Falconidae

Common Kestrel	Falco tinnunculus	
Peregrine Falcon	Falco peregrinus	
 
PASSERIFORMES: Corvidae

Carrion Crow	Corvus corone	
Northern Raven	Corvus corax	Rare/Accidental
 
PASSERIFORMES: Paridae

Eurasian Blue Tit	Cyanistes caeruleus	
Great Tit	Parus major	
 
PASSERIFORMES: Alaudidae

Eurasian Skylark	Alauda arvensis	
 
PASSERIFORMES: Hirundinidae

Sand Martin	Riparia riparia	
Barn Swallow	Hirundo rustica	
 
PASSERIFORMES: Phylloscopidae

Willow Warbler	Phylloscopus trochilus	
Common Chiffchaff	Phylloscopus collybita	
 
PASSERIFORMES: Acrocephalidae

Common Reed Warbler	Acrocephalus scirpaceus	
 
PASSERIFORMES: Locustellidae

Common Grasshopper Warbler	Locustella naevia	
 
PASSERIFORMES: Sylviidae

Eurasian Blackcap	Sylvia atricapilla	
Common Whitethroat	Curruca communis	
 
PASSERIFORMES: Troglodytidae

Eurasian Wren	Troglodytes troglodytes	
 
PASSERIFORMES: Sturnidae

Rosy Starling	Pastor roseus	Rare/Accidental
Common Starling	Sturnus vulgaris	
 
PASSERIFORMES: Turdidae

Song Thrush	Turdus philomelos	
Common Blackbird	Turdus merula	
 
PASSERIFORMES: Muscicapidae

Spotted Flycatcher	Muscicapa striata	
European Robin	Erithacus rubecula	
European Pied Flycatcher	Ficedula hypoleuca	
Whinchat	Saxicola rubetra	
European Stonechat	Saxicola rubicola	
Northern Wheatear	Oenanthe oenanthe	
 
PASSERIFORMES: Passeridae

House Sparrow	Passer domesticus	
 
PASSERIFORMES: Prunellidae

Dunnock	Prunella modularis	
 
PASSERIFORMES: Motacillidae

Western Yellow Wagtail	Motacilla flava	
White Wagtail	Motacilla alba	
Meadow Pipit	Anthus pratensis	
Water Pipit	Anthus spinoletta	Rare/Accidental
European Rock Pipit	Anthus petrosus	
 
PASSERIFORMES: Fringillidae

Common Chaffinch	Fringilla coelebs	
European Greenfinch	Chloris chloris	
Common Linnet	Linaria cannabina	
European Goldfinch	Carduelis carduelis	
European Serin	Serinus serinus	
