TINAMIFORMES: Tinamidae

Great Tinamou	Tinamus major	
Little Tinamou	Crypturellus soui	
Thicket Tinamou	Crypturellus cinnamomeus	
Slaty-breasted Tinamou	Crypturellus boucardi	
 
ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	
Brant Goose	Branta bernicla	
Canada Goose	Branta canadensis	
Cackling Goose	Branta hutchinsii	
Ross's Goose	Anser rossii	
Snow Goose	Anser caerulescens	
Greater White-fronted Goose	Anser albifrons	
Trumpeter Swan	Cygnus buccinator	Rare/Accidental
Tundra Swan	Cygnus columbianus	
Muscovy Duck	Cairina moschata	
Wood Duck	Aix sponsa	
Garganey	Spatula querquedula	Rare/Accidental
Cinnamon Teal	Spatula cyanoptera	
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	
Mottled Duck	Anas fulvigula	
Mexican Duck	Anas diazi	Endemic
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Green-winged Teal	Anas carolinensis	
Canvasback	Aythya valisineria	
Redhead	Aythya americana	
Ring-necked Duck	Aythya collaris	
Greater Scaup	Aythya marila	
Lesser Scaup	Aythya affinis	
Harlequin Duck	Histrionicus histrionicus	Rare/Accidental
Surf Scoter	Melanitta perspicillata	
White-winged Scoter	Melanitta deglandi	
Black Scoter	Melanitta americana	
Long-tailed Duck	Clangula hyemalis	Rare/Accidental
Bufflehead	Bucephala albeola	
Common Goldeneye	Bucephala clangula	
Barrow's Goldeneye	Bucephala islandica	Rare/Accidental
Hooded Merganser	Lophodytes cucullatus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
Masked Duck	Nomonyx dominicus	
Ruddy Duck	Oxyura jamaicensis	
 
GALLIFORMES: Cracidae

Plain Chachalaca	Ortalis vetula	
Rufous-bellied Chachalaca	Ortalis wagleri	Endemic
West Mexican Chachalaca	Ortalis poliocephala	Endemic
White-bellied Chachalaca	Ortalis leucogastra	
Crested Guan	Penelope purpurascens	
Highland Guan	Penelopina nigra	
Horned Guan	Oreophasis derbianus	
Great Curassow	Crax rubra	
 
GALLIFORMES: Odontophoridae

Buffy-crowned Wood Partridge	Dendrortyx leucophrys	
Long-tailed Wood Partridge	Dendrortyx macroura	Endemic
Bearded Wood Partridge	Dendrortyx barbatus	Endemic
Mountain Quail	Oreortyx pictus	
Scaled Quail	Callipepla squamata	
Elegant Quail	Callipepla douglasii	Endemic
California Quail	Callipepla californica	
Gambel's Quail	Callipepla gambelii	
Banded Quail	Philortyx fasciatus	Endemic
Northern Bobwhite	Colinus virginianus	
Yucatan Bobwhite	Colinus nigrogularis	
Spotted Wood Quail	Odontophorus guttatus	
Singing Quail	Dactylortyx thoracicus	
Montezuma Quail	Cyrtonyx montezumae	
Ocellated Quail	Cyrtonyx ocellatus	
 
GALLIFORMES: Phasianidae

Wild Turkey	Meleagris gallopavo	
Ocellated Turkey	Meleagris ocellata	
Common Pheasant	Phasianus colchicus	Introduced species
 
CAPRIMULGIFORMES: Caprimulgidae

Lesser Nighthawk	Chordeiles acutipennis	
Common Nighthawk	Chordeiles minor	
Short-tailed Nighthawk	Lurocalis semitorquatus	
Pauraque	Nyctidromus albicollis	
Spot-tailed Nightjar	Hydropsalis maculicaudus	
Eared Poorwill	Nyctiphrynus mcleodii	Endemic
Yucatan Poorwill	Nyctiphrynus yucatanicus	
Common Poorwill	Phalaenoptilus nuttallii	
Chuck-will's-widow	Antrostomus carolinensis	
Tawny-collared Nightjar	Antrostomus salvini	Endemic
Yucatan Nightjar	Antrostomus badius	
Buff-collared Nightjar	Antrostomus ridgwayi	
Eastern Whip-poor-will	Antrostomus vociferus	
Mexican Whip-poor-will	Antrostomus arizonae	
 
NYCTIBIIFORMES: Nyctibiidae

Great Potoo	Nyctibius grandis	
Northern Potoo	Nyctibius jamaicensis	
 
APODIFORMES: Apodidae

White-fronted Swift	Cypseloides storeri	Endemic
American Black Swift	Cypseloides niger	
Chestnut-collared Swift	Streptoprocne rutila	
White-collared Swift	Streptoprocne zonaris	
White-naped Swift	Streptoprocne semicollaris	Endemic
Chimney Swift	Chaetura pelagica	
Vaux's Swift	Chaetura vauxi	
White-throated Swift	Aeronautes saxatalis	
Great Swallow-tailed Swift	Panyptila sanctihieronymi	
Lesser Swallow-tailed Swift	Panyptila cayennensis	
 
APODIFORMES: Trochilidae

White-necked Jacobin	Florisuga mellivora	
Stripe-throated Hermit	Phaethornis striigularis	
Mexican Hermit	Phaethornis mexicanus	
Long-billed Hermit	Phaethornis longirostris	
