GALLIFORMES: Odontophoridae

California Quail,Callipepla californica,
 
ANSERIFORMES: Anatidae

Brant Goose,Branta bernicla,Rare
Cackling Goose,Branta hutchinsii,
Greater White-fronted Goose,Anser albifrons,Rare
Cinnamon Teal,Spatula cyanoptera,Rare
Blue-winged Teal,Spatula discors,Rare
Northern Shoveler,Spatula clypeata,Rare
Mallard,Anas platyrhynchos,Rare
Northern Pintail,Anas acuta,Rare
Ring-necked Duck,Aythya collaris,Rare
Lesser Scaup,Aythya affinis,Rare
Red-breasted Merganser,Mergus serrator,Rare
 
APODIFORMES: Apodidae

Vaux's Swift,Chaetura vauxi,Rare
White-throated Swift,Aeronautes saxatalis,Extirpated
 
APODIFORMES: Trochilidae

Anna's Hummingbird,Calypte anna,
 
COLUMBIFORMES: Columbidae

Rock Dove,Columba livia,Introduced species
Eurasian Collared Dove,Streptopelia decaocto,Introduced species
Mourning Dove,Zenaida macroura,
White-winged Dove,Zenaida asiatica,Rare
 
PODICIPEDIFORMES: Podicipedidae

Pied-billed Grebe,Podilymbus podiceps,Rare
Black-necked Grebe,Podiceps nigricollis,
Western Grebe,Aechmophorus occidentalis,
Clark's Grebe,Aechmophorus clarkii,
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover,Pluvialis fulva,Rare
Semipalmated Plover,Charadrius semipalmatus,
Killdeer,Charadrius vociferus,
 
CHARADRIIFORMES: Scolopacidae

Long-billed Curlew,Numenius americanus,Rare
Ruddy Turnstone,Arenaria interpres,
Black Turnstone,Arenaria melanocephala,
Sanderling,Calidris alba,
Pectoral Sandpiper,Calidris melanotos,
Western Sandpiper,Calidris mauri,
Short-billed Dowitcher,Limnodromus griseus,
Wilson's Snipe,Gallinago delicata,
Red Phalarope,Phalaropus fulicarius,
Spotted Sandpiper,Actitis macularius,
Wandering Tattler,Tringa incana,
Willet,Tringa semipalmata,
Greater Yellowlegs,Tringa melanoleuca,
 
CHARADRIIFORMES: Laridae

Black-legged Kittiwake,Rissa tridactyla,Rare
Sabine's Gull,Xema sabini,
Bonaparte's Gull,Chroicocephalus philadelphia,Rare
Laughing Gull,Leucophaeus atricilla,Rare
Franklin's Gull,Leucophaeus pipixcan,Rare
Heermann's Gull,Larus heermanni,Near-threatened
Ring-billed Gull,Larus delawarensis,
California Gull,Larus californicus,
Glaucous-winged Gull,Larus glaucescens,
Western Gull,Larus occidentalis,
Yellow-footed Gull,Larus livens,Endemic
Iceland Gull,Larus glaucoides,
American Herring Gull,Larus smithsonianus,
Royal Tern,Thalasseus maximus,
Least Tern,Sternula antillarum,
Arctic Tern,Sterna paradisaea,
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger,Stercorarius pomarinus,
Parasitic Jaeger,Stercorarius parasiticus,
Long-tailed Jaeger,Stercorarius longicaudus,
 
CHARADRIIFORMES: Alcidae

Guadalupe Murrelet,Synthliboramphus hypoleucus,Endangered
Scripps's Murrelet,Synthliboramphus scrippsi,Rare
