GALLIFORMES: Cracidae

Plain Chachalaca	Ortalis vetula	
Crested Guan	Penelope purpurascens	
Great Curassow	Crax rubra	Rare/Accidental Vulnerable
 
ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	
Snow Goose	Anser caerulescens	
Cinnamon Teal	Spatula cyanoptera	Rare/Accidental
Blue-winged Teal	Spatula discors	Rare/Accidental
Northern Shoveler	Spatula clypeata	
American Wigeon	Mareca americana	Rare/Accidental
Northern Pintail	Anas acuta	
Green-winged Teal	Anas carolinensis	Rare/Accidental
Redhead	Aythya americana	
Ring-necked Duck	Aythya collaris	
Lesser Scaup	Aythya affinis	
Hooded Merganser	Lophodytes cucullatus	Rare/Accidental
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Masked Duck	Nomonyx dominicus	Rare/Accidental
 
CAPRIMULGIFORMES: Nyctibiidae

Northern Potoo	Nyctibius jamaicensis	
 
CAPRIMULGIFORMES: Caprimulgidae

Lesser Nighthawk	Chordeiles acutipennis	
Common Nighthawk	Chordeiles minor	
Pauraque	Nyctidromus albicollis	
Yucatan Poorwill	Nyctiphrynus yucatanicus	
Chuck-will's-widow	Antrostomus carolinensis	Near-threatened
Yucatan Nightjar	Antrostomus badius	
 
APODIFORMES: Apodidae

Vaux's Swift	Chaetura vauxi	
Chimney Swift	Chaetura pelagica	Vulnerable
 
APODIFORMES: Trochilidae

Green-breasted Mango	Anthracothorax prevostii	
Ruby-throated Hummingbird	Archilochus colubris	
Cozumel Emerald	Cynanthus forficatus	Endemic
Cinnamon Hummingbird	Amazilia rutila	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Smooth-billed Ani	Crotophaga ani	
Groove-billed Ani	Crotophaga sulcirostris	
Squirrel Cuckoo	Piaya cayana	
Yellow-billed Cuckoo	Coccyzus americanus	Rare/Accidental
Mangrove Cuckoo	Coccyzus minor	Rare/Accidental
Black-billed Cuckoo	Coccyzus erythropthalmus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
White-crowned Pigeon	Patagioenas leucocephala	Near-threatened
Red-billed Pigeon	Patagioenas flavirostris	
Eurasian Collared Dove	Streptopelia decaocto	Rare/Accidental
African Collared Dove	Streptopelia roseogrisea	Rare/Accidental
Common Ground Dove	Columbina passerina	
Ruddy Ground Dove	Columbina talpacoti	
Blue Ground Dove	Claravis pretiosa	Rare/Accidental
White-tipped Dove	Leptotila verreauxi	
Caribbean Dove	Leptotila jamaicensis	
Mourning Dove	Zenaida macroura	
Zenaida Dove	Zenaida aurita	
White-winged Dove	Zenaida asiatica	Rare/Accidental
 
GRUIFORMES: Rallidae

Spotted Rail	Pardirallus maculatus	
Rufous-necked Wood Rail	Aramides axillaris	
Russet-naped Wood Rail	Aramides albiventris	
Clapper Rail	Rallus crepitans	
Virginia Rail	Rallus limicola	Rare/Accidental
Sora	Porzana carolina	
Common Gallinule	Gallinula galeata	
American Coot	Fulica americana	
Purple Gallinule	Porphyrio martinica	
Yellow-breasted Crake	Laterallus flaviventer	Rare/Accidental
Ruddy Crake	Laterallus ruber	
 
PODICIPEDIFORMES: Podicipedidae

Least Grebe	Tachybaptus dominicus	
Pied-billed Grebe	Podilymbus podiceps	
 
PHOENICOPTERIFORMES: Phoenicopteridae

American Flamingo	Phoenicopterus ruber	
 
CHARADRIIFORMES: Haematopodidae

American Oystercatcher	Haematopus palliatus	
 
CHARADRIIFORMES: Recurvirostridae

Black-necked Stilt	Himantopus mexicanus	Rare/Accidental
American Avocet	Recurvirostra americana	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

