ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	Rare/Accidental
Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Brant Goose	Branta bernicla	
Canada Goose	Branta canadensis	
Cackling Goose	Branta hutchinsii	
Emperor Goose	Anser canagicus	Rare/Accidental Near-threatened
Ross's Goose	Anser rossii	
Snow Goose	Anser caerulescens	
Tundra Bean Goose	Anser serrirostris	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	
Trumpeter Swan	Cygnus buccinator	Rare/Accidental
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	Rare/Accidental
Egyptian Goose	Alopochen aegyptiaca	Introduced species
Wood Duck	Aix sponsa	
Mandarin Duck	Aix galericulata	Introduced species
Baikal Teal	Sibirionetta formosa	Rare/Accidental
Garganey	Spatula querquedula	Rare/Accidental
Cinnamon Teal	Spatula cyanoptera	
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	Rare/Accidental Near-threatened
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	
American Black Duck	Anas rubripes	Rare/Accidental
Mexican Duck	Anas diazi	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Green-winged Teal	Anas carolinensis	
Canvasback	Aythya valisineria	
Redhead	Aythya americana	
Common Pochard	Aythya ferina	Rare/Accidental Vulnerable
Ring-necked Duck	Aythya collaris	
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Lesser Scaup	Aythya affinis	
Steller's Eider	Polysticta stelleri	Rare/Accidental Vulnerable
King Eider	Somateria spectabilis	Rare/Accidental
Common Eider	Somateria mollissima	Rare/Accidental Near-threatened
Harlequin Duck	Histrionicus histrionicus	
Surf Scoter	Melanitta perspicillata	
White-winged Scoter	Melanitta deglandi	
Stejneger's Scoter	Melanitta stejnegeri	Rare/Accidental
Common Scoter	Melanitta nigra	Rare/Accidental
Black Scoter	Melanitta americana	Near-threatened
Long-tailed Duck	Clangula hyemalis	Vulnerable
Bufflehead	Bucephala albeola	
Common Goldeneye	Bucephala clangula	
Barrow's Goldeneye	Bucephala islandica	
Smew	Mergellus albellus	Rare/Accidental
Hooded Merganser	Lophodytes cucullatus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
Ruddy Duck	Oxyura jamaicensis	
 
GALLIFORMES: Odontophoridae

Mountain Quail	Oreortyx pictus	
California Quail	Callipepla californica	
Gambel's Quail	Callipepla gambelii	
 
GALLIFORMES: Phasianidae

Wild Turkey	Meleagris gallopavo	Introduced species
Ruffed Grouse	Bonasa umbellus	
Sage Grouse	Centrocercus urophasianus	Near-threatened
Sooty Grouse	Dendragapus fuliginosus	
Sharp-tailed Grouse	Tympanuchus phasianellus	Extirpated
White-tailed Ptarmigan	Lagopus leucura	Introduced species
Grey Partridge	Perdix perdix	Introduced species
Common Pheasant	Phasianus colchicus	Introduced species
Indian Peafowl	Pavo cristatus	Introduced species
Chukar Partridge	Alectoris chukar	Introduced species
 
CAPRIMULGIFORMES: Caprimulgidae

Lesser Nighthawk	Chordeiles acutipennis	
Common Nighthawk	Chordeiles minor	
Common Poorwill	Phalaenoptilus nuttallii	
Chuck-will's-widow	Antrostomus carolinensis	Rare/Accidental Near-threatened
Buff-collared Nightjar	Antrostomus ridgwayi	Rare/Accidental
Eastern Whip-poor-will	Antrostomus vociferus	Rare/Accidental Near-threatened
Mexican Whip-poor-will	Antrostomus arizonae	
 
APODIFORMES: Apodidae

American Black Swift	Cypseloides niger	Vulnerable
White-collared Swift	Streptoprocne zonaris	Rare/Accidental
Chimney Swift	Chaetura pelagica	Vulnerable
Vaux's Swift	Chaetura vauxi	
White-throated Swift	Aeronautes saxatalis	
Common Swift	Apus apus	Rare/Accidental
 
APODIFORMES: Trochilidae

Mexican Violetear	Colibri thalassinus	Rare/Accidental
Rivoli's Hummingbird	Eugenes fulgens	Rare/Accidental
Blue-throated Mountaingem	Lampornis clemenciae	Rare/Accidental
Black-chinned Hummingbird	Archilochus alexandri	
Ruby-throated Hummingbird	Archilochus colubris	Rare/Accidental
Anna's Hummingbird	Calypte anna	
Costa's Hummingbird	Calypte costae	
Calliope Hummingbird	Selasphorus calliope	
Rufous Hummingbird	Selasphorus rufus	Near-threatened
Allen's Hummingbird	Selasphorus sasin	
Broad-tailed Hummingbird	Selasphorus platycercus	
Broad-billed Hummingbird	Cynanthus latirostris	Rare/Accidental
Xantus's Hummingbird	Basilinna xantusii	Rare/Accidental
Violet-crowned Hummingbird	Leucolia violiceps	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Groove-billed Ani	Crotophaga sulcirostris	Rare/Accidental
Greater Roadrunner	Geococcyx californianus	
Yellow-billed Cuckoo	Coccyzus americanus	
Black-billed Cuckoo	Coccyzus erythropthalmus	Rare/Accidental
Common Cuckoo	Cuculus canorus	Rare/Accidental
 
