GALLIFORMES: Odontophoridae

California Quail	Callipepla californica	珠颈斑鹑	外来物种
 
GALLIFORMES: Phasianidae

Wild Turkey	Meleagris gallopavo	火鸡	
Chukar Partridge	Alectoris chukar	石鸡	消失
Common Pheasant	Phasianus colchicus	环颈雉	消失
Indian Peafowl	Pavo cristatus	蓝孔雀	消失
 
ANSERIFORMES: Anatidae

Brant Goose	Branta bernicla	黑雁	
Canada Goose	Branta canadensis	加拿大黑雁	
Cackling Goose	Branta hutchinsii	短嘴黑雁	
Ross's Goose	Anser rossii	细嘴雁	Rare
Snow Goose	Anser caerulescens	雪雁	
Greater White-fronted Goose	Anser albifrons	白额雁	Rare
Wood Duck	Aix sponsa	林鸳鸯	Rare
Cinnamon Teal	Spatula cyanoptera	桂红鸭	
Blue-winged Teal	Spatula discors	蓝翅鸭	
Northern Shoveler	Spatula clypeata	琵嘴鸭	Rare
Gadwall	Mareca strepera	赤膀鸭	
American Wigeon	Mareca americana	绿眉鸭	
Mallard	Anas platyrhynchos	绿头鸭	
Northern Pintail	Anas acuta	针尾鸭	
Green-winged Teal	Anas carolinensis	美洲绿翅鸭	
Ring-necked Duck	Aythya collaris	环颈潜鸭	Rare
Greater Scaup	Aythya marila	斑背潜鸭	Rare
Harlequin Duck	Histrionicus histrionicus	丑鸭	Rare
Surf Scoter	Melanitta perspicillata	斑头海番鸭	
White-winged Scoter	Melanitta deglandi	斑脸海番鸭	
Black Scoter	Melanitta americana	黑海番鸭	Rare
Long-tailed Duck	Clangula hyemalis	长尾鸭	Rare
Bufflehead	Bucephala albeola	白枕鹊鸭	Rare
Common Goldeneye	Bucephala clangula	鹊鸭	Rare
Hooded Merganser	Lophodytes cucullatus	棕胁秋沙鸭	Rare
Red-breasted Merganser	Mergus serrator	红胸秋沙鸭	
Ruddy Duck	Oxyura jamaicensis	棕硬尾鸭	
 
CAPRIMULGIFORMES: Caprimulgidae

Lesser Nighthawk	Chordeiles acutipennis	小灰眉夜鹰	
Common Poorwill	Phalaenoptilus nuttallii	北美小夜鹰	
 
APODIFORMES: Apodidae

American Black Swift	Cypseloides niger	黑雨燕	Rare
Vaux's Swift	Chaetura vauxi	沃氏雨燕	
White-throated Swift	Aeronautes saxatalis	白喉雨燕	
 
APODIFORMES: Trochilidae

Black-chinned Hummingbird	Archilochus alexandri	黑颏北蜂鸟	
Anna's Hummingbird	Calypte anna	安氏蜂鸟	
Costa's Hummingbird	Calypte costae	科氏蜂鸟	
