ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	
Brant Goose	Branta bernicla	Rare/Accidental
Canada Goose	Branta canadensis	
Barnacle Goose	Branta leucopsis	Rare/Accidental
Cackling Goose	Branta hutchinsii	
Ross's Goose	Anser rossii	
Snow Goose	Anser caerulescens	
Greater White-fronted Goose	Anser albifrons	
Mute Swan	Cygnus olor	Introduced species
Trumpeter Swan	Cygnus buccinator	Rare/Accidental
Tundra Swan	Cygnus columbianus	
Muscovy Duck	Cairina moschata	
Wood Duck	Aix sponsa	
Mandarin Duck	Aix galericulata	Introduced species
Garganey	Spatula querquedula	Rare/Accidental
Cinnamon Teal	Spatula cyanoptera	
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	
Mottled Duck	Anas fulvigula	
American Black Duck	Anas rubripes	Rare/Accidental
Mexican Duck	Anas diazi	
White-cheeked Pintail	Anas bahamensis	Rare/Accidental
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	Rare/Accidental
Green-winged Teal	Anas carolinensis	
Canvasback	Aythya valisineria	
Redhead	Aythya americana	
Ring-necked Duck	Aythya collaris	
Greater Scaup	Aythya marila	
Lesser Scaup	Aythya affinis	
King Eider	Somateria spectabilis	Rare/Accidental
Common Eider	Somateria mollissima	Rare/Accidental
Harlequin Duck	Histrionicus histrionicus	Rare/Accidental
Surf Scoter	Melanitta perspicillata	
White-winged Scoter	Melanitta deglandi	
Stejneger's Scoter	Melanitta stejnegeri	Rare/Accidental
Black Scoter	Melanitta americana	
Long-tailed Duck	Clangula hyemalis	
Bufflehead	Bucephala albeola	
Common Goldeneye	Bucephala clangula	
Barrow's Goldeneye	Bucephala islandica	Rare/Accidental
Hooded Merganser	Lophodytes cucullatus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
Masked Duck	Nomonyx dominicus	Rare/Accidental
Ruddy Duck	Oxyura jamaicensis	
 
GALLIFORMES: Cracidae

Plain Chachalaca	Ortalis vetula	
 
GALLIFORMES: Odontophoridae

Scaled Quail	Callipepla squamata	
Gambel's Quail	Callipepla gambelii	
Northern Bobwhite	Colinus virginianus	
Montezuma Quail	Cyrtonyx montezumae	
 
GALLIFORMES: Phasianidae

Wild Turkey	Meleagris gallopavo	
Lesser Prairie Chicken	Tympanuchus pallidicinctus	
Greater Prairie Chicken	Tympanuchus cupido	
Common Pheasant	Phasianus colchicus	Introduced species
Green Pheasant	Phasianus versicolor	Introduced species
 
CAPRIMULGIFORMES: Caprimulgidae

Lesser Nighthawk	Chordeiles acutipennis	
Common Nighthawk	Chordeiles minor	
Pauraque	Nyctidromus albicollis	
Common Poorwill	Phalaenoptilus nuttallii	
Chuck-will's-widow	Antrostomus carolinensis	
Eastern Whip-poor-will	Antrostomus vociferus	
Mexican Whip-poor-will	Antrostomus arizonae	
 
APODIFORMES: Apodidae

American Black Swift	Cypseloides niger	Rare/Accidental
White-collared Swift	Streptoprocne zonaris	Rare/Accidental
Chimney Swift	Chaetura pelagica	
White-throated Swift	Aeronautes saxatalis	
 
APODIFORMES: Trochilidae

Mexican Violetear	Colibri thalassinus	Rare/Accidental
Green-breasted Mango	Anthracothorax prevostii	Rare/Accidental
Rivoli's Hummingbird	Eugenes fulgens	
Blue-throated Mountaingem	Lampornis clemenciae	
