ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	
Canada Goose	Branta canadensis	
Cackling Goose	Branta hutchinsii	
Ross's Goose	Anser rossii	
Snow Goose	Anser caerulescens	
Greater White-fronted Goose	Anser albifrons	
Mute Swan	Cygnus olor	Introduced species
Tundra Swan	Cygnus columbianus	
Wood Duck	Aix sponsa	
Cinnamon Teal	Spatula cyanoptera	
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	Rare/Accidental
American Wigeon	Mareca americana	
Mallard	Anas platyrhynchos	
Mottled Duck	Anas fulvigula	
American Black Duck	Anas rubripes	Rare/Accidental
Northern Pintail	Anas acuta	
Green-winged Teal	Anas carolinensis	
Canvasback	Aythya valisineria	
Redhead	Aythya americana	
Ring-necked Duck	Aythya collaris	
Greater Scaup	Aythya marila	
Lesser Scaup	Aythya affinis	
Surf Scoter	Melanitta perspicillata	
White-winged Scoter	Melanitta deglandi	
Black Scoter	Melanitta americana	
Long-tailed Duck	Clangula hyemalis	
Bufflehead	Bucephala albeola	
Common Goldeneye	Bucephala clangula	
Hooded Merganser	Lophodytes cucullatus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
Ruddy Duck	Oxyura jamaicensis	
 
GALLIFORMES: Odontophoridae

Northern Bobwhite	Colinus virginianus	
 
GALLIFORMES: Phasianidae

Wild Turkey	Meleagris gallopavo	
Greater Prairie Chicken	Tympanuchus cupido	Rare/Accidental
 
CAPRIMULGIFORMES: Caprimulgidae

Common Nighthawk	Chordeiles minor	
Common Poorwill	Phalaenoptilus nuttallii	
Chuck-will's-widow	Antrostomus carolinensis	
Eastern Whip-poor-will	Antrostomus vociferus	
 
APODIFORMES: Apodidae

Chimney Swift	Chaetura pelagica	
 
APODIFORMES: Trochilidae

Black-chinned Hummingbird	Archilochus alexandri	
Ruby-throated Hummingbird	Archilochus colubris	
Rufous Hummingbird	Selasphorus rufus	
Broad-billed Hummingbird	Cynanthus latirostris	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Groove-billed Ani	Crotophaga sulcirostris	
Greater Roadrunner	Geococcyx californianus	
Yellow-billed Cuckoo	Coccyzus americanus	
Black-billed Cuckoo	Coccyzus erythropthalmus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Eurasian Collared Dove	Streptopelia decaocto	Introduced species
Inca Dove	Columbina inca	
Passenger Pigeon	Ectopistes migratorius	Rare/Accidental
Mourning Dove	Zenaida macroura	
White-winged Dove	Zenaida asiatica	
 
GRUIFORMES: Rallidae

King Rail	Rallus elegans	
Virginia Rail	Rallus limicola	
Sora	Porzana carolina	
Common Gallinule	Gallinula galeata	
American Coot	Fulica americana	
Purple Gallinule	Porphyrio martinica	
 
GRUIFORMES: Gruidae

Sandhill Crane	Antigone canadensis	
Whooping Crane	Grus americana	
 
PODICIPEDIFORMES: Podicipedidae

Pied-billed Grebe	Podilymbus podiceps	
Red-necked Grebe	Podiceps grisegena	Rare/Accidental
Horned Grebe	Podiceps auritus	
Black-necked Grebe	Podiceps nigricollis	
Western Grebe	Aechmophorus occidentalis	
Clark's Grebe	Aechmophorus clarkii	
 
CHARADRIIFORMES: Recurvirostridae

Black-necked Stilt	Himantopus mexicanus	
American Avocet	Recurvirostra americana	
 
CHARADRIIFORMES: Charadriidae

American Golden Plover	Pluvialis dominica	
