
 
ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	
West Indian Whistling Duck	Dendrocygna arborea	Rare/Accidental
Fulvous Whistling Duck	Dendrocygna bicolor	
Brant Goose	Branta bernicla	Rare/Accidental
Nene	Branta sandvicensis	Introduced species
Canada Goose	Branta canadensis	
Barnacle Goose	Branta leucopsis	Rare/Accidental
Cackling Goose	Branta hutchinsii	
Emperor Goose	Anser canagicus	
Ross's Goose	Anser rossii	
Snow Goose	Anser caerulescens	
Greylag Goose	Anser anser	Rare/Accidental
Taiga Bean Goose	Anser fabalis	Rare/Accidental
Pink-footed Goose	Anser brachyrhynchus	
Tundra Bean Goose	Anser serrirostris	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	
Mute Swan	Cygnus olor	Introduced species
Trumpeter Swan	Cygnus buccinator	
Tundra Swan	Cygnus columbianus	
Whooper Swan	Cygnus cygnus	Rare/Accidental
Egyptian Goose	Alopochen aegyptiaca	Introduced species
Muscovy Duck	Cairina moschata	Rare/Accidental
Wood Duck	Aix sponsa	
Mandarin Duck	Aix galericulata	Introduced species
Baikal Teal	Sibirionetta formosa	Rare/Accidental
Garganey	Spatula querquedula	Rare/Accidental
Cinnamon Teal	Spatula cyanoptera	
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Falcated Duck	Mareca falcata	Rare/Accidental
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	
Eastern Spot-billed Duck	Anas zonorhyncha	Rare/Accidental
Mallard	Anas platyrhynchos	
Mottled Duck	Anas fulvigula	
American Black Duck	Anas rubripes	
Mexican Duck	Anas diazi	
White-cheeked Pintail	Anas bahamensis	Rare/Accidental
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	Rare/Accidental
Green-winged Teal	Anas carolinensis	
Canvasback	Aythya valisineria	
Redhead	Aythya americana	
Common Pochard	Aythya ferina	Rare/Accidental
Ring-necked Duck	Aythya collaris	
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	
Lesser Scaup	Aythya affinis	
Steller's Eider	Polysticta stelleri	Rare/Accidental
Labrador Duck	Camptorhynchus labradorius	Rare/Accidental
King Eider	Somateria spectabilis	
Common Eider	Somateria mollissima	
Harlequin Duck	Histrionicus histrionicus	
Surf Scoter	Melanitta perspicillata	
White-winged Scoter	Melanitta deglandi	
Stejneger's Scoter	Melanitta stejnegeri	Rare/Accidental
Common Scoter	Melanitta nigra	Rare/Accidental
Black Scoter	Melanitta americana	
Long-tailed Duck	Clangula hyemalis	
Bufflehead	Bucephala albeola	
Common Goldeneye	Bucephala clangula	
Barrow's Goldeneye	Bucephala islandica	
Smew	Mergellus albellus	Rare/Accidental
Hooded Merganser	Lophodytes cucullatus	
Common Merganser	Mergus merganser	
Red-breasted Merganser	Mergus serrator	
Masked Duck	Nomonyx dominicus	
Ruddy Duck	Oxyura jamaicensis	
 
GALLIFORMES: Cracidae

Plain Chachalaca	Ortalis vetula	
 
GALLIFORMES: Odontophoridae

Mountain Quail	Oreortyx pictus	
Scaled Quail	Callipepla squamata	
Elegant Quail	Callipepla douglasii	Introduced species
California Quail	Callipepla californica	
Gambel's Quail	Callipepla gambelii	
Northern Bobwhite	Colinus virginianus	
Montezuma Quail	Cyrtonyx montezumae	
 
GALLIFORMES: Phasianidae

Wild Turkey	Meleagris gallopavo	
Ruffed Grouse	Bonasa umbellus	
Sage Grouse	Centrocercus urophasianus	
Gunnison Grouse	Centrocercus minimus	Endemic
Dusky Grouse	Dendragapus obscurus	
Sooty Grouse	Dendragapus fuliginosus	
Sharp-tailed Grouse	Tympanuchus phasianellus	
Greater Prairie Chicken	Tympanuchus cupido	
Lesser Prairie Chicken	Tympanuchus pallidicinctus	Endemic
White-tailed Ptarmigan	Lagopus leucura	
Willow Ptarmigan	Lagopus lagopus	Rare/Accidental
Rock Ptarmigan	Lagopus muta	
Spruce Grouse	Canachites canadensis	
Grey Partridge	Perdix perdix	Introduced species
Common Pheasant	Phasianus colchicus	Introduced species
Green Pheasant	Phasianus versicolor	Extirpated
Indian Peafowl	Pavo cristatus	Introduced species
Himalayan Snowcock	Tetraogallus himalayensis	Introduced species
Chukar Partridge	Alectoris chukar	Introduced species
 
CAPRIMULGIFORMES: Caprimulgidae

Lesser Nighthawk	Chordeiles acutipennis	
Common Nighthawk	Chordeiles minor	
Antillean Nighthawk	Chordeiles gundlachii	
Pauraque	Nyctidromus albicollis	
Common Poorwill	Phalaenoptilus nuttallii	
Chuck-will's-widow	Antrostomus carolinensis	
Buff-collared Nightjar	Antrostomus ridgwayi	
Eastern Whip-poor-will	Antrostomus vociferus	
Mexican Whip-poor-will	Antrostomus arizonae	
 
APODIFORMES: Apodidae

American Black Swift	Cypseloides niger	
White-collared Swift	Streptoprocne zonaris	Rare/Accidental
Chimney Swift	Chaetura pelagica	
Vaux's Swift	Chaetura vauxi	
White-throated Swift	Aeronautes saxatalis	
Antillean Palm Swift	Tachornis phoenicobia	Rare/Accidental
Common Swift	Apus apus	Rare/Accidental
 
APODIFORMES: Trochilidae

Mexican Violetear	Colibri thalassinus	Rare/Accidental
Green-breasted Mango	Anthracothorax prevostii	Rare/Accidental
Rivoli's Hummingbird	Eugenes fulgens	
Plain-capped Starthroat	Heliomaster constantii	Rare/Accidental
Blue-throated Mountaingem	Lampornis clemenciae	
Amethyst-throated Mountaingem	Lampornis amethystinus	Rare/Accidental
Lucifer Sheartail	Calothorax lucifer	
Black-chinned Hummingbird	Archilochus alexandri	
Ruby-throated Hummingbird	Archilochus colubris	
Bahama Woodstar	Nesophlox evelynae	Rare/Accidental
Anna's Hummingbird	Calypte anna	
Costa's Hummingbird	Calypte costae	
Calliope Hummingbird	Selasphorus calliope	
Rufous Hummingbird	Selasphorus rufus	
Allen's Hummingbird	Selasphorus sasin	Breeding endemic
Broad-tailed Hummingbird	Selasphorus platycercus	
Bumblebee Hummingbird	Selasphorus heloisa	Rare/Accidental
Broad-billed Hummingbird	Cynanthus latirostris	
White-eared Hummingbird	Basilinna leucotis	
Xantus's Hummingbird	Basilinna xantusii	Rare/Accidental
Violet-crowned Hummingbird	Ramosomyia violiceps	
Berylline Hummingbird	Saucerottia beryllina	
Cinnamon Hummingbird	Amazilia rutila	
Buff-bellied Hummingbird	Amazilia yucatanensis	
 
CUCULIFORMES: Cuculidae

Smooth-billed Ani	Crotophaga ani	
Groove-billed Ani	Crotophaga sulcirostris	
Greater Roadrunner	Geococcyx californianus	
Dark-billed Cuckoo	Coccyzus melacoryphus	Rare/Accidental
Yellow-billed Cuckoo	Coccyzus americanus	
Mangrove Cuckoo	Coccyzus minor	
Black-billed Cuckoo	Coccyzus erythropthalmus	
Common Cuckoo	Cuculus canorus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
White-crowned Pigeon	Patagioenas leucocephala	
Scaly-naped Pigeon	Patagioenas squamosa	Rare/Accidental
Band-tailed Pigeon	Patagioenas fasciata	Rare/Accidental
Red-billed Pigeon	Patagioenas flavirostris	
European Turtle Dove	Streptopelia turtur	Rare/Accidental
Oriental Turtle Dove	Streptopelia orientalis	Rare/Accidental
Eurasian Collared Dove	Streptopelia decaocto	Introduced species
Spotted Dove	Spilopelia chinensis	Introduced species
Inca Dove	Columbina inca	
Common Ground Dove	Columbina passerina	
Ruddy Ground Dove	Columbina talpacoti	Rare/Accidental
Ruddy Quail-Dove	Geotrygon montana	Rare/Accidental
