
 
ANSERIFORMES: Anatidae

West Indian Whistling Duck	Dendrocygna arborea	Rare/Accidental Near-threatened
Fulvous Whistling Duck	Dendrocygna bicolor	
Ring-necked Duck	Aythya collaris	Rare/Accidental
Blue-winged Teal	Spatula discors	Rare/Accidental
Northern Shoveler	Spatula clypeata	
American Wigeon	Mareca americana	Rare/Accidental
White-cheeked Pintail	Anas bahamensis	Rare/Accidental
Northern Pintail	Anas acuta	Rare/Accidental
Green-winged Teal	Anas crecca	
 
PODICIPEDIFORMES: Podicipedidae

Least Grebe	Tachybaptus dominicus	
Pied-billed Grebe	Podilymbus podiceps	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Smooth-billed Ani	Crotophaga ani	
Yellow-billed Cuckoo	Coccyzus americanus	Rare/Accidental
Mangrove Cuckoo	Coccyzus minor	
 
COLUMBIFORMES: Columbidae

Common Ground Dove	Columbina passerina	
Bridled Quail-Dove	Geotrygon mystacea	
White-winged Dove	Zenaida asiatica	Rare/Accidental
Zenaida Dove	Zenaida aurita	
Scaly-naped Pigeon	Patagioenas squamosa	
White-crowned Pigeon	Patagioenas leucocephala	Near-threatened
Eurasian Collared Dove	Streptopelia decaocto	Introduced species
Rock Dove	Columba livia	Introduced species
 
GRUIFORMES: Rallidae

Sora	Porzana carolina	Rare/Accidental
Common Gallinule	Gallinula galeata	
American Coot	Fulica americana	Rare/Accidental
Purple Gallinule	Porphyrio martinica	Rare/Accidental
 
CHARADRIIFORMES: Recurvirostridae

Black-necked Stilt	Himantopus mexicanus	
 
CHARADRIIFORMES: Haematopodidae

American Oystercatcher	Haematopus palliatus	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Rare/Accidental Vulnerable
American Golden Plover	Pluvialis dominica	Rare/Accidental
Killdeer	Charadrius vociferus	Rare/Accidental Near-threatened
Semipalmated Plover	Charadrius semipalmatus	Rare/Accidental
Wilson's Plover	Anarhynchus wilsonia	Rare/Accidental
Snowy Plover	Anarhynchus nivosus	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	Rare/Accidental
Hudsonian Whimbrel	Numenius hudsonicus	Rare/Accidental
Hudsonian Godwit	Limosa haemastica	Rare/Accidental Vulnerable
Short-billed Dowitcher	Limnodromus griseus	Rare/Accidental Vulnerable
Wilson's Snipe	Gallinago delicata	
Spotted Sandpiper	Actitis macularius	
Solitary Sandpiper	Tringa solitaria	Rare/Accidental
Lesser Yellowlegs	Tringa flavipes	Rare/Accidental Vulnerable
Willet	Tringa semipalmata	Rare/Accidental
Greater Yellowlegs	Tringa melanoleuca	Rare/Accidental Near-threatened
Ruddy Turnstone	Arenaria interpres	Rare/Accidental Near-threatened
Red Knot	Calidris canutus	Rare/Accidental Near-threatened
Ruff	Calidris pugnax	Rare/Accidental
Stilt Sandpiper	Calidris himantopus	Rare/Accidental Near-threatened
Sanderling	Calidris alba	Rare/Accidental
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Semipalmated Sandpiper	Calidris pusilla	Near-threatened
Western Sandpiper	Calidris mauri	
Little Stint	Calidris minuta	Rare/Accidental
Least Sandpiper	Calidris minutilla	Near-threatened
White-rumped Sandpiper	Calidris fuscicollis	Rare/Accidental Vulnerable
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	Rare/Accidental
Sooty Tern	Onychoprion fuscatus	Rare/Accidental
Bridled Tern	Onychoprion anaethetus	Rare/Accidental
Least Tern	Sternula antillarum	Rare/Accidental
Sandwich Tern	Thalasseus sandvicensis	
Royal Tern	Thalasseus maximus	
Forster's Tern	Sterna forsteri	Rare/Accidental
Common Tern	Sterna hirundo	Rare/Accidental
Roseate Tern	Sterna dougallii	Rare/Accidental
Laughing Gull	Leucophaeus atricilla	
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Procellariidae

Sargasso Shearwater	Puffinus lherminieri	Rare/Accidental
 
SULIFORMES: Fregatidae

Magnificent Frigatebird	Fregata magnificens	
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	Rare/Accidental
Brown Booby	Sula leucogaster	
Masked Booby	Sula dactylatra	
 
PELECANIFORMES: Threskiornithidae

Glossy Ibis	Plegadis falcinellus	Rare/Accidental
 
PELECANIFORMES: Pelecanidae

Brown Pelican	Pelecanus occidentalis	
 
PELECANIFORMES: Ardeidae

American Bittern	Botaurus lentiginosus	Rare/Accidental
Little Blue Heron	Egretta caerulea	Rare/Accidental
Tricolored Heron	Egretta tricolor	Rare/Accidental
Reddish Egret	Egretta rufescens	Rare/Accidental Near-threatened
Snowy Egret	Egretta thula	
Yellow-crowned Night Heron	Nyctanassa violacea	
Black-crowned Night Heron	Nycticorax nycticorax	Rare/Accidental
Green Heron	Butorides virescens	
Great Egret	Ardea alba	
Western Cattle Egret	Ardea ibis	
Grey Heron	Ardea cinerea	Rare/Accidental
Great Blue Heron	Ardea herodias	Rare/Accidental
 
CAPRIMULGIFORMES: Caprimulgidae

Antillean Nighthawk	Chordeiles gundlachii	Rare/Accidental
 
APODIFORMES: Apodidae

American Black Swift	Cypseloides niger	Rare/Accidental Vulnerable
Alpine Swift	Tachymarptis melba	Rare/Accidental
 
APODIFORMES: Trochilidae

Purple-throated Carib	Eulampis jugularis	
Green-throated Carib	Eulampis holosericeus	
Antillean Crested Hummingbird	Orthorhyncus cristatus	
 
ACCIPITRIFORMES: Pandionidae

Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

