RHEIFORMES: Rheidae

Greater Rhea	Rhea americana	Near-threatened
 
TINAMIFORMES: Tinamidae

Brown Tinamou	Crypturellus obsoletus	
Red-winged Tinamou	Rhynchotus rufescens	
Spotted Nothura	Nothura maculosa	
 
ANSERIFORMES: Anhimidae

Horned Screamer	Anhima cornuta	Rare/Accidental
Southern Screamer	Chauna torquata	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Black-bellied Whistling Duck	Dendrocygna autumnalis	Rare/Accidental
Fulvous Whistling Duck	Dendrocygna bicolor	
Coscoroba Swan	Coscoroba coscoroba	
Black-necked Swan	Cygnus melancoryphus	
Comb Duck	Sarkidiornis sylvicola	Rare/Accidental
Muscovy Duck	Cairina moschata	
Brazilian Teal	Amazonetta brasiliensis	
Ringed Teal	Callonetta leucophrys	
Silver Teal	Spatula versicolor	
Red Shoveler	Spatula platalea	
Cinnamon Teal	Spatula cyanoptera	
Blue-winged Teal	Spatula discors	Rare/Accidental
Chiloe Wigeon	Mareca sibilatrix	
Mallard	Anas platyrhynchos	Introduced species
White-cheeked Pintail	Anas bahamensis	
Yellow-billed Pintail	Anas georgica	
Yellow-billed Teal	Anas flavirostris	
Rosy-billed Pochard	Netta peposaca	
Black-headed Duck	Heteronetta atricapilla	Rare/Accidental
Masked Duck	Nomonyx dominicus	
Lake Duck	Oxyura vittata	
 
GALLIFORMES: Cracidae

Dusky-legged Guan	Penelope obscura	
 
GALLIFORMES: Odontophoridae

Spot-winged Wood Quail	Odontophorus capueira	Extirpated
 
CAPRIMULGIFORMES: Caprimulgidae

Nacunda Nighthawk	Chordeiles nacunda	
Common Nighthawk	Chordeiles minor	
Pauraque	Nyctidromus albicollis	Rare/Accidental
Little Nightjar	Setopagis parvula	
Band-winged Nightjar	Systellura longirostris	
Scissor-tailed Nightjar	Hydropsalis torquata	
 
NYCTIBIIFORMES: Nyctibiidae

Common Potoo	Nyctibius griseus	
 
APODIFORMES: Apodidae

White-collared Swift	Streptoprocne zonaris	Rare/Accidental
Sick's Swift	Chaetura meridionalis	Rare/Accidental
 
APODIFORMES: Trochilidae

Black Jacobin	Florisuga fusca	
Black-throated Mango	Anthracothorax nigricollis	Rare/Accidental
Blue-tufted Starthroat	Heliomaster furcifer	
Glittering-bellied Emerald	Chlorostilbon lucidus	
Violet-capped Woodnymph	Thalurania glaucopis	Rare/Accidental
Swallow-tailed Hummingbird	Eupetomena macroura	Rare/Accidental
White-throated Hummingbird	Leucochloris albicollis	
Gilded Sapphire	Hylocharis chrysura	
 
CUCULIFORMES: Cuculidae

Guira Cuckoo	Guira guira	
Greater Ani	Crotophaga major	Rare/Accidental
Smooth-billed Ani	Crotophaga ani	
Striped Cuckoo	Tapera naevia	
Ash-colored Cuckoo	Coccycua cinerea	
Squirrel Cuckoo	Piaya cayana	
Dark-billed Cuckoo	Coccyzus melacoryphus	
Yellow-billed Cuckoo	Coccyzus americanus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Picazuro Pigeon	Patagioenas picazuro	
Spot-winged Pigeon	Patagioenas maculosa	
Pale-vented Pigeon	Patagioenas cayennensis	
Ruddy Ground Dove	Columbina talpacoti	
Picui Ground Dove	Columbina picui	
Ruddy Quail-Dove	Geotrygon montana	Rare/Accidental
White-tipped Dove	Leptotila verreauxi	
Grey-fronted Dove	Leptotila rufaxilla	
Eared Dove	Zenaida auriculata	
 
GRUIFORMES: Rallidae

Ash-throated Crake	Mustelirallus albicollis	Rare/Accidental
Spotted Rail	Pardirallus maculatus	
Plumbeous Rail	Pardirallus sanguinolentus	
Grey-cowled Wood Rail	Aramides cajaneus	
Giant Wood Rail	Aramides ypecaha	
Slaty-breasted Wood Rail	Aramides saracura	Rare/Accidental
Spot-flanked Gallinule	Porphyriops melanops	
Common Gallinule	Gallinula galeata	
Red-fronted Coot	Fulica rufifrons	
Red-gartered Coot	Fulica armillata	
White-winged Coot	Fulica leucoptera	
Purple Gallinule	Porphyrio martinica	
Azure Gallinule	Porphyrio flavirostris	Rare/Accidental
Speckled Rail	Coturnicops notatus	Rare/Accidental
Yellow-breasted Crake	Laterallus flaviventer	Rare/Accidental
Dot-winged Crake	Laterallus spiloptera	Rare/Accidental Vulnerable
Rufous-sided Crake	Laterallus melanophaius	
Red-and-white Crake	Laterallus leucopyrrhus	
 
GRUIFORMES: Aramidae

Limpkin	Aramus guarauna	
 
PODICIPEDIFORMES: Podicipedidae

Least Grebe	Tachybaptus dominicus	
Pied-billed Grebe	Podilymbus podiceps	
White-tufted Grebe	Rollandia rolland	
Great Grebe	Podiceps major	
Silvery Grebe	Podiceps occipitalis	Rare/Accidental
 
PHOENICOPTERIFORMES: Phoenicopteridae

Chilean Flamingo	Phoenicopterus chilensis	Near-threatened
Andean Flamingo	Phoenicoparrus andinus	Rare/Accidental Vulnerable
 
CHARADRIIFORMES: Chionidae

Snowy Sheathbill	Chionis albus	
 
CHARADRIIFORMES: Pluvianellidae

Magellanic Plover	Pluvianellus socialis	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Haematopodidae

Blackish Oystercatcher	Haematopus ater	Rare/Accidental
American Oystercatcher	Haematopus palliatus	
 
CHARADRIIFORMES: Recurvirostridae

Black-necked Stilt	Himantopus mexicanus	
White-backed Stilt	Himantopus melanurus	
 
CHARADRIIFORMES: Charadriidae

Southern Lapwing	Vanellus chilensis	
American Golden Plover	Pluvialis dominica	
Grey Plover	Pluvialis squatarola	
Semipalmated Plover	Charadrius semipalmatus	
Collared Plover	Charadrius collaris	
Two-banded Plover	Charadrius falklandicus	
Rufous-chested Plover	Charadrius modestus	
Tawny-throated Dotterel	Oreopholus ruficollis	
 
CHARADRIIFORMES: Rostratulidae

South American Painted-snipe	Nycticryphes semicollaris	
 
CHARADRIIFORMES: Jacanidae

Wattled Jacana	Jacana jacana	
 
CHARADRIIFORMES: Thinocoridae

Least Seedsnipe	Thinocorus rumicivorus	
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	
Hudsonian Whimbrel	Numenius hudsonicus	Rare/Accidental
Eskimo Curlew	Numenius borealis	Extirpated Critically endangered (possibly extinct)
Hudsonian Godwit	Limosa haemastica	
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Near-threatened
Stilt Sandpiper	Calidris himantopus	
Curlew Sandpiper	Calidris ferruginea	Rare/Accidental Near-threatened
Sanderling	Calidris alba	
Baird's Sandpiper	Calidris bairdii	
Least Sandpiper	Calidris minutilla	Rare/Accidental
White-rumped Sandpiper	Calidris fuscicollis	
Buff-breasted Sandpiper	Calidris subruficollis	Near-threatened
Pectoral Sandpiper	Calidris melanotos	
Semipalmated Sandpiper	Calidris pusilla	Rare/Accidental Near-threatened
Western Sandpiper	Calidris mauri	Rare/Accidental
Short-billed Dowitcher	Limnodromus griseus	Rare/Accidental
Pantanal Snipe	Gallinago paraguaiae	
Magellanic Snipe	Gallinago magellanica	
Wilson's Phalarope	Phalaropus tricolor	
Spotted Sandpiper	Actitis macularius	
Solitary Sandpiper	Tringa solitaria	
Lesser Yellowlegs	Tringa flavipes	
Willet	Tringa semipalmata	
Greater Yellowlegs	Tringa melanoleuca	
 
