
 
ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	Rare/Accidental
Comb Duck	Sarkidiornis sylvicola	
Muscovy Duck	Cairina moschata	
Cinnamon Teal	Spatula cyanoptera	Rare/Accidental
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	Rare/Accidental
White-cheeked Pintail	Anas bahamensis	
Masked Duck	Nomonyx dominicus	Rare/Accidental
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
 
CAPRIMULGIFORMES: Caprimulgidae

Common Nighthawk	Chordeiles minor	
 
APODIFORMES: Apodidae

Chimney Swift	Chaetura pelagica	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Smooth-billed Ani	Crotophaga ani	Introduced species
Dark-billed Cuckoo	Coccyzus melacoryphus	
Black-billed Cuckoo	Coccyzus erythropthalmus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Extirpated
Eared Dove	Zenaida auriculata	Rare/Accidental
Galapagos Dove	Zenaida galapagoensis	Endemic
 
GRUIFORMES: Rallidae

Paint-billed Crake	Neocrex erythrops	
Sora	Porzana carolina	Rare/Accidental
Common Gallinule	Gallinula galeata	
American Coot	Fulica americana	
Andean Coot	Fulica ardesiaca	Rare/Accidental
Purple Gallinule	Porphyrio martinica	Rare/Accidental
Galapagos Crake	Laterallus spilonota	Endemic
 
PODICIPEDIFORMES: Podicipedidae

Pied-billed Grebe	Podilymbus podiceps	
 
PHOENICOPTERIFORMES: Phoenicopteridae

American Flamingo	Phoenicopterus ruber	
Chilean Flamingo	Phoenicopterus chilensis	
 
CHARADRIIFORMES: Haematopodidae

American Oystercatcher	Haematopus palliatus	
 
CHARADRIIFORMES: Recurvirostridae

Black-necked Stilt	Himantopus mexicanus	
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
American Golden Plover	Pluvialis dominica	Rare/Accidental
Grey Plover	Pluvialis squatarola	
Semipalmated Plover	Charadrius semipalmatus	
Wilson's Plover	Charadrius wilsonia	Rare/Accidental
Killdeer	Charadrius vociferus	Rare/Accidental
Tawny-throated Dotterel	Oreopholus ruficollis	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Hudsonian Whimbrel	Numenius hudsonicus	
Hudsonian Godwit	Limosa haemastica	Rare/Accidental
Marbled Godwit	Limosa fedoa	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	
Black Turnstone	Arenaria melanocephala	Rare/Accidental
Red Knot	Calidris canutus	Rare/Accidental
Surfbird	Calidris virgata	Rare/Accidental
Ruff	Calidris pugnax	Rare/Accidental
Stilt Sandpiper	Calidris himantopus	Rare/Accidental
Sanderling	Calidris alba	
Baird's Sandpiper	Calidris bairdii	Rare/Accidental
Least Sandpiper	Calidris minutilla	
White-rumped Sandpiper	Calidris fuscicollis	Rare/Accidental
Buff-breasted Sandpiper	Calidris subruficollis	Rare/Accidental
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Semipalmated Sandpiper	Calidris pusilla	Rare/Accidental
Western Sandpiper	Calidris mauri	Rare/Accidental
Short-billed Dowitcher	Limnodromus griseus	
Wilson's Phalarope	Phalaropus tricolor	
Red-necked Phalarope	Phalaropus lobatus	
Red Phalarope	Phalaropus fulicarius	
Spotted Sandpiper	Actitis macularius	
Solitary Sandpiper	Tringa solitaria	Rare/Accidental
Wandering Tattler	Tringa incana	
Lesser Yellowlegs	Tringa flavipes	
Willet	Tringa semipalmata	
Greater Yellowlegs	Tringa melanoleuca	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
White Tern	Gygis alba	Rare/Accidental
Swallow-tailed Gull	Creagrus furcatus	Near-endemic
