
 
RHEIFORMES: Rheidae

Greater Rhea	Rhea americana	
Lesser Rhea	Rhea pennata	
 
TINAMIFORMES: Tinamidae

Grey Tinamou	Tinamus tao	
Solitary Tinamou	Tinamus solitarius	
Black Tinamou	Tinamus osgoodi	
Great Tinamou	Tinamus major	
White-throated Tinamou	Tinamus guttatus	
Highland Tinamou	Nothocercus bonapartei	
Tawny-breasted Tinamou	Nothocercus julius	
Hooded Tinamou	Nothocercus nigrocapillus	
Berlepsch's Tinamou	Crypturellus berlepschi	
Cinereous Tinamou	Crypturellus cinereus	
Little Tinamou	Crypturellus soui	
Tepui Tinamou	Crypturellus ptaritepui	
Brown Tinamou	Crypturellus obsoletus	
Undulated Tinamou	Crypturellus undulatus	
Pale-browed Tinamou	Crypturellus transfasciatus	
Brazilian Tinamou	Crypturellus strigulosus	
Grey-legged Tinamou	Crypturellus duidae	
Red-legged Tinamou	Crypturellus erythropus	
Yellow-legged Tinamou	Crypturellus noctivagus	
Black-capped Tinamou	Crypturellus atrocapillus	
Choco Tinamou	Crypturellus kerriae	
Variegated Tinamou	Crypturellus variegatus	
Rusty Tinamou	Crypturellus brevirostris	
Bartlett's Tinamou	Crypturellus bartletti	
Small-billed Tinamou	Crypturellus parvirostris	
Barred Tinamou	Crypturellus casiquiare	
Tataupa Tinamou	Crypturellus tataupa	
Red-winged Tinamou	Rhynchotus rufescens	
Huayco Tinamou	Rhynchotus maculicollis	
Taczanowski's Tinamou	Nothoprocta taczanowskii	
Ornate Tinamou	Nothoprocta ornata	
Chilean Tinamou	Nothoprocta perdicaria	
Brushland Tinamou	Nothoprocta cinerascens	
Andean Tinamou	Nothoprocta pentlandii	
Curve-billed Tinamou	Nothoprocta curvirostris	
White-bellied Nothura	Nothura boraquira	
Lesser Nothura	Nothura minor	
Darwin's Nothura	Nothura darwinii	
Spotted Nothura	Nothura maculosa	
Dwarf Tinamou	Taoniscus nanus	
Elegant Crested Tinamou	Eudromia elegans	
