 
TINAMIFORMES: Tinamidae

Grey Tinamou	Tinamus tao	
Black Tinamou	Tinamus osgoodi	
Great Tinamou	Tinamus major	
White-throated Tinamou	Tinamus guttatus	
Highland Tinamou	Nothocercus bonapartei	
Tawny-breasted Tinamou	Nothocercus julius	
Berlepsch's Tinamou	Crypturellus berlepschi	
Cinereous Tinamou	Crypturellus cinereus	
Little Tinamou	Crypturellus soui	
Brown Tinamou	Crypturellus obsoletus	Rare/Accidental
Undulated Tinamou	Crypturellus undulatus	
Pale-browed Tinamou	Crypturellus transfasciatus	
Variegated Tinamou	Crypturellus variegatus	
Bartlett's Tinamou	Crypturellus bartletti	
Tataupa Tinamou	Crypturellus tataupa	
Andean Tinamou	Nothoprocta pentlandii	
Curve-billed Tinamou	Nothoprocta curvirostris	
 
ANSERIFORMES: Anhimidae

Horned Screamer	Anhima cornuta	
 
ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	
Torrent Duck	Merganetta armata	
Comb Duck	Sarkidiornis sylvicola	
Orinoco Goose	Neochen jubata	
Muscovy Duck	Cairina moschata	
Brazilian Teal	Amazonetta brasiliensis	Rare/Accidental
Cinnamon Teal	Spatula cyanoptera	
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	Rare/Accidental
American Wigeon	Mareca americana	Rare/Accidental
White-cheeked Pintail	Anas bahamensis	
Yellow-billed Pintail	Anas georgica	
Northern Pintail	Anas acuta	Rare/Accidental
Green-winged Teal	Anas carolinensis	Rare/Accidental
Andean Teal	Anas andium	
Southern Pochard	Netta erythrophthalma	Rare/Accidental
Ring-necked Duck	Aythya collaris	Rare/Accidental
Lesser Scaup	Aythya affinis	Rare/Accidental
Masked Duck	Nomonyx dominicus	
Andean Duck	Oxyura ferruginea	
 
GALLIFORMES: Cracidae

Rufous-headed Chachalaca	Ortalis erythroptera	
Speckled Chachalaca	Ortalis guttata	
Bearded Guan	Penelope barbata	
Baudo Guan	Penelope ortoni	
Andean Guan	Penelope montagnii	
Crested Guan	Penelope purpurascens	
Spix's Guan	Penelope jacquacu	
Blue-throated Piping Guan	Pipile cumanensis	
Wattled Guan	Aburria aburri	
Sickle-winged Guan	Chamaepetes goudotii	
Nocturnal Curassow	Nothocrax urumutum	
Salvin's Curassow	Mitu salvini	
Great Curassow	Crax rubra	Rare/Accidental
Wattled Curassow	Crax globulosa	Rare/Accidental
 
GALLIFORMES: Odontophoridae

Marbled Wood Quail	Odontophorus gujanensis	
Rufous-fronted Wood Quail	Odontophorus erythrops	
Dark-backed Wood Quail	Odontophorus melanonotus	
Rufous-breasted Wood Quail	Odontophorus speciosus	
Starred Wood Quail	Odontophorus stellatus	Rare/Accidental
Tawny-faced Quail	Rhynchortyx cinctus	
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
 
CAPRIMULGIFORMES: Steatornithidae

Oilbird	Steatornis caripensis	
 
CAPRIMULGIFORMES: Nyctibiidae

Great Potoo	Nyctibius grandis	
Long-tailed Potoo	Nyctibius aethereus	
Common Potoo	Nyctibius griseus	
Andean Potoo	Nyctibius maculosus	
Rufous Potoo	Nyctibius bracteatus	
 
CAPRIMULGIFORMES: Caprimulgidae

Nacunda Nighthawk	Chordeiles nacunda	Rare/Accidental
Sand-colored Nighthawk	Chordeiles rupestris	
Lesser Nighthawk	Chordeiles acutipennis	
Common Nighthawk	Chordeiles minor	
Short-tailed Nighthawk	Lurocalis semitorquatus	
Rufous-bellied Nighthawk	Lurocalis rufiventris	
Band-tailed Nighthawk	Nyctiprogne leucopyga	Rare/Accidental
Blackish Nightjar	Nyctipolus nigrescens	
Pauraque	Nyctidromus albicollis	
Anthony's Nightjar	Nyctidromus anthonyi	
Band-winged Nightjar	Systellura longirostris	
Swallow-tailed Nightjar	Uropsalis segmentata	
Lyre-tailed Nightjar	Uropsalis lyra	
White-tailed Nightjar	Hydropsalis cayennensis	
Spot-tailed Nightjar	Hydropsalis maculicaudus	Rare/Accidental
Ladder-tailed Nightjar	Hydropsalis climacocerca	
Choco Poorwill	Nyctiphrynus rosenbergi	
Ocellated Poorwill	Nyctiphrynus ocellatus	
Rufous Nightjar	Antrostomus rufus	Rare/Accidental
 
APODIFORMES: Apodidae

Spot-fronted Swift	Cypseloides cherriei	
White-chinned Swift	Cypseloides cryptus	
White-chested Swift	Cypseloides lemosi	
Chestnut-collared Swift	Streptoprocne rutila	
White-collared Swift	Streptoprocne zonaris	
Band-rumped Swift	Chaetura spinicaudus	
Pale-rumped Swift	Chaetura egregia	
Grey-rumped Swift	Chaetura cinereiventris	
Chimney Swift	Chaetura pelagica	
Chapman's Swift	Chaetura chapmani	
Short-tailed Swift	Chaetura brachyura	
White-tipped Swift	Aeronautes montivagus	
Neotropical Palm Swift	Tachornis squamata	
Lesser Swallow-tailed Swift	Panyptila cayennensis	
 
APODIFORMES: Trochilidae

Fiery Topaz	Topaza pyra	
White-necked Jacobin	Florisuga mellivora	
White-tipped Sicklebill	Eutoxeres aquila	
Buff-tailed Sicklebill	Eutoxeres condamini	
Bronzy Hermit	Glaucis aeneus	
Rufous-breasted Hermit	Glaucis hirsutus	
Band-tailed Barbthroat	Threnetes ruckeri	
Pale-tailed Barbthroat	Threnetes leucurus	
Black-throated Hermit	Phaethornis atrimentalis	
Stripe-throated Hermit	Phaethornis striigularis	
Grey-chinned Hermit	Phaethornis griseogularis	
Reddish Hermit	Phaethornis ruber	
White-bearded Hermit	Phaethornis hispidus	
White-whiskered Hermit	Phaethornis yaruqui	
Green Hermit	Phaethornis guy	
Tawny-bellied Hermit	Phaethornis syrmatophorus	
Straight-billed Hermit	Phaethornis bourcieri	
Long-billed Hermit	Phaethornis longirostris	
Great-billed Hermit	Phaethornis malaris	
Green-fronted Lancebill	Doryfera ludovicae	
Blue-fronted Lancebill	Doryfera johannae	
White-throated Daggerbill	Schistes albogularis	
Geoffroy's Daggerbill	Schistes geoffroyi	
Brown Violetear	Colibri delphinae	
Lesser Violetear	Colibri cyanotus	
Sparkling Violetear	Colibri coruscans	
Tooth-billed Hummingbird	Androdon aequatorialis	
Purple-crowned Fairy	Heliothryx barroti	
Black-eared Fairy	Heliothryx auritus	
Fiery-tailed Awlbill	Avocettula recurvirostris	Rare/Accidental
Black-throated Mango	Anthracothorax nigricollis	
Green-breasted Mango	Anthracothorax prevostii	
Amethyst-throated Sunangel	Heliangelus amethysticollis	
Gorgeted Sunangel	Heliangelus strophianus	
Tourmaline Sunangel	Heliangelus exortis	
Flame-throated Sunangel	Heliangelus micraster	
Purple-throated Sunangel	Heliangelus viola	
Royal Sunangel	Heliangelus regalis	
Green Thorntail	Discosura conversii	
Wire-crested Thorntail	Discosura popelairii	
Black-bellied Thorntail	Discosura langsdorffi	
Rufous-crested Coquette	Lophornis delattrei	Rare/Accidental
Spangled Coquette	Lophornis stictolophus	
Butterfly Coquette	Lophornis verreauxii	
Ecuadorian Piedtail	Phlogophilus hemileucurus	
Speckled Hummingbird	Adelomyia melanogenys	
Long-tailed Sylph	Aglaiocercus kingii	
Violet-tailed Sylph	Aglaiocercus coelestis	
Andean Hillstar	Oreotrochilus estella	
Ecuadorian Hillstar	Oreotrochilus chimborazo	
Blue-throated Hillstar	Oreotrochilus cyanolaemus	Endemic
Green-headed Hillstar	Oreotrochilus stolzmanni	Rare/Accidental
Mountain Avocetbill	Opisthoprora euryptera	
Black-tailed Trainbearer	Lesbia victoriae	
Green-tailed Trainbearer	Lesbia nuna	
Purple-backed Thornbill	Ramphomicron microrhynchum	
Rainbow-bearded Thornbill	Chalcostigma herrani	
Rufous-capped Thornbill	Chalcostigma ruficeps	
Blue-mantled Thornbill	Chalcostigma stanleyi	
Tyrian Metaltail	Metallura tyrianthina	
Viridian Metaltail	Metallura williami	
Violet-throated Metaltail	Metallura baroni	Endemic
Neblina Metaltail	Metallura odomae	
Greenish Puffleg	Haplophaedia aureliae	
Hoary Puffleg	Haplophaedia lugens	
Black-breasted Puffleg	Eriocnemis nigrivestis	Endemic
Glowing Puffleg	Eriocnemis vestita	
Black-thighed Puffleg	Eriocnemis derbyi	
Turquoise-throated Puffleg	Eriocnemis godini	Rare/Accidental
Sapphire-vented Puffleg	Eriocnemis luciani	
Golden-breasted Puffleg	Eriocnemis mosquera	
Emerald-bellied Puffleg	Eriocnemis aline	
Shining Sunbeam	Aglaeactis cupripennis	
Bronzy Inca	Coeligena coeligena	
Brown Inca	Coeligena wilsoni	
Collared Inca	Coeligena torquata	
Rainbow Starfrontlet	Coeligena iris	
Buff-winged Starfrontlet	Coeligena lutetiae	
Mountain Velvetbreast	Lafresnaya lafresnayi	
Sword-billed Hummingbird	Ensifera ensifera	
Great Sapphirewing	Pterophanes cyanopterus	
