TINAMIFORMES: Tinamidae

Great Tinamou	Tinamus major	
Highland Tinamou	Nothocercus bonapartei	
Tawny-breasted Tinamou	Nothocercus julius	
Berlepsch's Tinamou	Crypturellus berlepschi	
Little Tinamou	Crypturellus soui	
Choco Tinamou	Crypturellus kerriae	
 
ANSERIFORMES: Anhimidae

Horned Screamer	Anhima cornuta	
Northern Screamer	Chauna chavaria	
 
ANSERIFORMES: Anatidae

Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	
Torrent Duck	Merganetta armata	
Muscovy Duck	Cairina moschata	
Cinnamon Teal	Spatula cyanoptera	
Blue-winged Teal	Spatula discors	
Northern Shoveler	Spatula clypeata	
American Wigeon	Mareca americana	
White-cheeked Pintail	Anas bahamensis	
Yellow-billed Pintail	Anas georgica	
Northern Pintail	Anas acuta	
Andean Teal	Anas andium	
Lesser Scaup	Aythya affinis	Rare/Accidental
Masked Duck	Nomonyx dominicus	
Andean Duck	Oxyura ferruginea	
 
GALLIFORMES: Cracidae

Grey-headed Chachalaca	Ortalis cinereiceps	
Chestnut-winged Chachalaca	Ortalis garrula	Endemic (country/region)
Colombian Chachalaca	Ortalis columbiana	Endemic (country/region)
Baudo Guan	Penelope ortoni	
Andean Guan	Penelope montagnii	
Crested Guan	Penelope purpurascens	
Cauca Guan	Penelope perspicax	Endemic (country/region)
Wattled Guan	Aburria aburri	
Sickle-winged Guan	Chamaepetes goudotii	
Great Curassow	Crax rubra	
 
GALLIFORMES: Odontophoridae

Crested Bobwhite	Colinus cristatus	
Marbled Wood Quail	Odontophorus gujanensis	
Rufous-fronted Wood Quail	Odontophorus erythrops	
Chestnut Wood Quail	Odontophorus hyperythrus	Endemic (country/region)
Tacarcuna Wood Quail	Odontophorus dialeucos	
Tawny-faced Quail	Rhynchortyx cinctus	
 
CAPRIMULGIFORMES: Steatornithidae

Oilbird	Steatornis caripensis	
 
CAPRIMULGIFORMES: Nyctibiidae

Great Potoo	Nyctibius grandis	
Long-tailed Potoo	Nyctibius aethereus	
Common Potoo	Nyctibius griseus	
 
CAPRIMULGIFORMES: Caprimulgidae

Lesser Nighthawk	Chordeiles acutipennis	
Common Nighthawk	Chordeiles minor	
Short-tailed Nighthawk	Lurocalis semitorquatus	
Rufous-bellied Nighthawk	Lurocalis rufiventris	
Pauraque	Nyctidromus albicollis	
Band-winged Nightjar	Systellura longirostris	
Swallow-tailed Nightjar	Uropsalis segmentata	
Lyre-tailed Nightjar	Uropsalis lyra	
Spot-tailed Nightjar	Hydropsalis maculicaudus	
Choco Poorwill	Nyctiphrynus rosenbergi	
Chuck-will's-widow	Antrostomus carolinensis	
Rufous Nightjar	Antrostomus rufus	
 
APODIFORMES: Apodidae

Spot-fronted Swift	Cypseloides cherriei	
White-chinned Swift	Cypseloides cryptus	
White-chested Swift	Cypseloides lemosi	Endemic (country/region)
Chestnut-collared Swift	Streptoprocne rutila	
White-collared Swift	Streptoprocne zonaris	
Band-rumped Swift	Chaetura spinicaudus	
Grey-rumped Swift	Chaetura cinereiventris	
Sick's Swift	Chaetura meridionalis	
Chimney Swift	Chaetura pelagica	
Chapman's Swift	Chaetura chapmani	
Ashy-tailed Swift	Chaetura andrei	
Short-tailed Swift	Chaetura brachyura	
White-tipped Swift	Aeronautes montivagus	
Lesser Swallow-tailed Swift	Panyptila cayennensis	
 
APODIFORMES: Trochilidae

White-necked Jacobin	Florisuga mellivora	
White-tipped Sicklebill	Eutoxeres aquila	
Bronzy Hermit	Glaucis aeneus	
Rufous-breasted Hermit	Glaucis hirsutus	
Band-tailed Barbthroat	Threnetes ruckeri	
Stripe-throated Hermit	Phaethornis striigularis	
Pale-bellied Hermit	Phaethornis anthophilus	
White-whiskered Hermit	Phaethornis yaruqui	
Green Hermit	Phaethornis guy	
