
 
TINAMIFORMES: Tinamidae

Curve-billed Tinamou	Nothoprocta curvirostris	Rare/Accidental
Tawny-breasted Tinamou	Nothocercus julius	
Highland Tinamou	Nothocercus bonapartei	
Grey Tinamou	Tinamus tao	Vulnerable
Black Tinamou	Tinamus osgoodi	Vulnerable
Great Tinamou	Tinamus major	
White-throated Tinamou	Tinamus guttatus	Near-threatened
Cinereous Tinamou	Crypturellus cinereus	
Berlepsch's Tinamou	Crypturellus berlepschi	
Little Tinamou	Crypturellus soui	
Brown Tinamou	Crypturellus obsoletus	
Undulated Tinamou	Crypturellus undulatus	
Grey-legged Tinamou	Crypturellus duidae	
Red-legged Tinamou	Crypturellus erythropus	
Choco Tinamou	Crypturellus kerriae	Near-threatened
Variegated Tinamou	Crypturellus variegatus	
Rusty Tinamou	Crypturellus brevirostris	Rare/Accidental
Bartlett's Tinamou	Crypturellus bartletti	Rare/Accidental
Barred Tinamou	Crypturellus casiquiare	Rare/Accidental
 
ANSERIFORMES: Anhimidae

Horned Screamer	Anhima cornuta	
Northern Screamer	Chauna chavaria	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	
Masked Duck	Nomonyx dominicus	
Ruddy Duck	Oxyura jamaicensis	
Torrent Duck	Merganetta armata	
Muscovy Duck	Cairina moschata	
Orinoco Goose	Neochen jubata	Near-threatened
Black Scoter	Melanitta americana	Rare/Accidental Near-threatened
Red-breasted Merganser	Mergus serrator	Rare/Accidental
Comb Duck	Sarkidiornis sylvicola	
Southern Pochard	Netta erythrophthalma	Rare/Accidental
Ring-necked Duck	Aythya collaris	Rare/Accidental
Lesser Scaup	Aythya affinis	
Brazilian Teal	Amazonetta brasiliensis	
Puna Teal	Spatula puna	Rare/Accidental
Blue-winged Teal	Spatula discors	
Cinnamon Teal	Spatula cyanoptera	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
American Wigeon	Mareca americana	
White-cheeked Pintail	Anas bahamensis	
Yellow-billed Pintail	Anas georgica	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	Rare/Accidental
Andean Teal	Anas andium	
 
GALLIFORMES: Cracidae

Sickle-winged Guan	Chamaepetes goudotii	
Wattled Guan	Aburria aburri	
Blue-throated Piping Guan	Pipile cumanensis	
Band-tailed Guan	Penelope argyrotis	
Baudo Guan	Penelope ortoni	Endangered
Andean Guan	Penelope montagnii	
Spix's Guan	Penelope jacquacu	
Crested Guan	Penelope purpurascens	Near-threatened
Cauca Guan	Penelope perspicax	Endemic Vulnerable
Great Curassow	Crax rubra	Vulnerable
Blue-billed Curassow	Crax alberti	Endemic Critically endangered
Yellow-knobbed Curassow	Crax daubentoni	Rare/Accidental Near-threatened
Black Curassow	Crax alector	
Wattled Curassow	Crax globulosa	Endangered
Helmeted Curassow	Pauxi pauxi	Rare/Accidental Vulnerable
Nocturnal Curassow	Nothocrax urumutum	
Crestless Curassow	Mitu tomentosum	
Salvin's Curassow	Mitu salvini	
Razor-billed Curassow	Mitu tuberosum	Rare/Accidental Near-threatened
Grey-headed Chachalaca	Ortalis cinereiceps	
Chestnut-winged Chachalaca	Ortalis garrula	Endemic
Rufous-vented Chachalaca	Ortalis ruficauda	
Rufous-headed Chachalaca	Ortalis erythroptera	Vulnerable
Colombian Chachalaca	Ortalis columbiana	Endemic
Speckled Chachalaca	Ortalis guttata	
Little Chachalaca	Ortalis motmot	Rare/Accidental
 
GALLIFORMES: Odontophoridae

Tawny-faced Quail	Rhynchortyx cinctus	Near-threatened
Crested Bobwhite	Colinus cristatus	
Marbled Wood Quail	Odontophorus gujanensis	
Black-eared Wood Quail	Odontophorus melanotis	Uncertain origin Near-threatened
Black-fronted Wood Quail	Odontophorus atrifrons	
Rufous-fronted Wood Quail	Odontophorus erythrops	
Chestnut Wood Quail	Odontophorus hyperythrus	Endemic
Dark-backed Wood Quail	Odontophorus melanonotus	
Rufous-breasted Wood Quail	Odontophorus speciosus	Rare/Accidental
Tacarcuna Wood Quail	Odontophorus dialeucos	Rare/Accidental
Gorgeted Wood Quail	Odontophorus strophium	Endemic Vulnerable
 
PHOENICOPTERIFORMES: Phoenicopteridae

Chilean Flamingo	Phoenicopterus chilensis	Rare/Accidental Near-threatened
American Flamingo	Phoenicopterus ruber	
 
PODICIPEDIFORMES: Podicipedidae

Least Grebe	Tachybaptus dominicus	
Pied-billed Grebe	Podilymbus podiceps	
Colombian Grebe	Podiceps andinus	Endemic Extinct
Silvery Grebe	Podiceps occipitalis	
 
CUCULIFORMES: Cuculidae

