
 
TINAMIFORMES: Tinamidae

Great Tinamou	Tinamus major	
Cinereous Tinamou	Crypturellus cinereus	
Little Tinamou	Crypturellus soui	
Undulated Tinamou	Crypturellus undulatus	
Red-legged Tinamou	Crypturellus erythropus	
Variegated Tinamou	Crypturellus variegatus	
Rusty Tinamou	Crypturellus brevirostris	Rare/Accidental
 
ANSERIFORMES: Anhimidae

Horned Screamer	Anhima cornuta	Extirpated
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Comb Duck	Sarkidiornis sylvicola	Rare/Accidental
Orinoco Goose	Neochen jubata	Rare/Accidental
Muscovy Duck	Cairina moschata	
Brazilian Teal	Amazonetta brasiliensis	
Blue-winged Teal	Spatula discors	
White-cheeked Pintail	Anas bahamensis	Rare/Accidental
Northern Pintail	Anas acuta	Rare/Accidental
Masked Duck	Nomonyx dominicus	
 
GALLIFORMES: Cracidae

Little Chachalaca	Ortalis motmot	
Marail Guan	Penelope marail	
Spix's Guan	Penelope jacquacu	
Blue-throated Piping Guan	Pipile cumanensis	
Crestless Curassow	Mitu tomentosum	
Black Curassow	Crax alector	
 
GALLIFORMES: Odontophoridae

Crested Bobwhite	Colinus cristatus	
Marbled Wood Quail	Odontophorus gujanensis	
 
CAPRIMULGIFORMES: Caprimulgidae

Nacunda Nighthawk	Chordeiles nacunda	
Least Nighthawk	Chordeiles pusillus	
Lesser Nighthawk	Chordeiles acutipennis	
Short-tailed Nighthawk	Lurocalis semitorquatus	
Band-tailed Nighthawk	Nyctiprogne leucopyga	
Blackish Nightjar	Nyctipolus nigrescens	
Pauraque	Nyctidromus albicollis	
Roraiman Nightjar	Setopagis whitelyi	Rare/Accidental
White-tailed Nightjar	Hydropsalis cayennensis	
Spot-tailed Nightjar	Hydropsalis maculicaudus	
Ladder-tailed Nightjar	Hydropsalis climacocerca	
Rufous Nightjar	Antrostomus rufus	
 
STEATORNITHIFORMES: Steatornithidae

Oilbird	Steatornis caripensis	
 
NYCTIBIIFORMES: Nyctibiidae

Rufous Potoo	Phyllaemulor bracteatus	
Great Potoo	Nyctibius grandis	
Long-tailed Potoo	Nyctibius aethereus	
Common Potoo	Nyctibius griseus	
White-winged Potoo	Nyctibius leucopterus	
 
APODIFORMES: Apodidae

White-chinned Swift	Cypseloides cryptus	
American Black Swift	Cypseloides niger	
Tepui Swift	Streptoprocne phelpsi	Rare/Accidental
White-collared Swift	Streptoprocne zonaris	
Grey-rumped Swift	Chaetura cinereiventris	
Band-rumped Swift	Chaetura spinicaudus	
Chapman's Swift	Chaetura chapmani	
Short-tailed Swift	Chaetura brachyura	
White-tipped Swift	Aeronautes montivagus	Rare/Accidental
Fork-tailed Palm Swift	Tachornis squamata	
Lesser Swallow-tailed Swift	Panyptila cayennensis	
 
APODIFORMES: Trochilidae

Crimson Topaz	Topaza pella	
White-necked Jacobin	Florisuga mellivora	
Rufous-breasted Hermit	Glaucis hirsutus	
Pale-tailed Barbthroat	Threnetes leucurus	
Streak-throated Hermit	Phaethornis rupurumii	Rare/Accidental
Little Hermit	Phaethornis longuemareus	
Reddish Hermit	Phaethornis ruber	
Sooty-capped Hermit	Phaethornis augusti	
Straight-billed Hermit	Phaethornis bourcieri	
Long-tailed Hermit	Phaethornis superciliosus	
Blue-fronted Lancebill	Doryfera johannae	
Brown Violetear	Colibri delphinae	
Sparkling Violetear	Colibri coruscans	Rare/Accidental
Black-eared Fairy	Heliothryx auritus	
White-tailed Goldenthroat	Polytmus guainumbi	
Green-tailed Goldenthroat	Polytmus theresiae	
Fiery-tailed Awlbill	Avocettula recurvirostris	
Ruby-topaz Hummingbird	Chrysolampis mosquitus	
Green-throated Mango	Anthracothorax viridigula	
Black-throated Mango	Anthracothorax nigricollis	
Racket-tailed Coquette	Discosura longicaudus	
Tufted Coquette	Lophornis ornatus	
Peacock Coquette	Lophornis pavoninus	Rare/Accidental
Velvet-browed Brilliant	Heliodoxa xanthogonys	Rare/Accidental
Long-billed Starthroat	Heliomaster longirostris	
Amethyst Woodstar	Calliphlox amethystina	Rare/Accidental
Blue-tailed Emerald	Chlorostilbon mellisugus	
Grey-breasted Sabrewing	Campylopterus largipennis	
Rufous-breasted Sabrewing	Campylopterus hyperythrus	Rare/Accidental
Fork-tailed Woodnymph	Thalurania furcata	
Copper-tailed Hummingbird	Saucerottia cupreicauda	
Versicolored Emerald	Chrysuronia versicolor	Rare/Accidental
White-chested Emerald	Chrysuronia brevirostris	
Plain-bellied Emerald	Chrysuronia leucogaster	
Glittering-throated Emerald	Chionomesa fimbriata	
Rufous-throated Sapphire	Hylocharis sapphirina	
White-chinned Sapphire	Chlorestes cyanus	
Blue-chinned Sapphire	Chlorestes notata	
 
CUCULIFORMES: Cuculidae

Greater Ani	Crotophaga major	
Smooth-billed Ani	Crotophaga ani	
Striped Cuckoo	Tapera naevia	
Pavonine Cuckoo	Dromococcyx pavoninus	Rare/Accidental
Rufous-winged Ground Cuckoo	Neomorphus rufipennis	
Little Cuckoo	Coccycua minuta	
Squirrel Cuckoo	Piaya cayana	
Black-bellied Cuckoo	Piaya melanogaster	
Dark-billed Cuckoo	Coccyzus melacoryphus	
Yellow-billed Cuckoo	Coccyzus americanus	
Pearly-breasted Cuckoo	Coccyzus euleri	
Mangrove Cuckoo	Coccyzus minor	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Scaled Pigeon	Patagioenas speciosa	
Pale-vented Pigeon	Patagioenas cayennensis	
Plumbeous Pigeon	Patagioenas plumbea	
Ruddy Pigeon	Patagioenas subvinacea	
Common Ground Dove	Columbina passerina	
Plain-breasted Ground Dove	Columbina minuta	
Ruddy Ground Dove	Columbina talpacoti	
Blue Ground Dove	Claravis pretiosa	
Ruddy Quail-Dove	Geotrygon montana	
Violaceous Quail-Dove	Geotrygon violacea	Rare/Accidental
White-tipped Dove	Leptotila verreauxi	
Grey-fronted Dove	Leptotila rufaxilla	
Eared Dove	Zenaida auriculata	
 
GRUIFORMES: Heliornithidae

Sungrebe	Heliornis fulica	
 
GRUIFORMES: Rallidae

Ash-throated Crake	Mustelirallus albicollis	
Paint-billed Crake	Neocrex erythrops	Rare/Accidental
Uniform Crake	Amaurolimnas concolor	Rare/Accidental
Rufous-necked Wood Rail	Aramides axillaris	Rare/Accidental
Grey-cowled Wood Rail	Aramides cajaneus	
Mangrove Rail	Rallus longirostris	
Sora	Porzana carolina	
Common Gallinule	Gallinula galeata	
Purple Gallinule	Porphyrio martinica	
Azure Gallinule	Porphyrio flavirostris	
Ocellated Crake	Micropygia schomburgkii	
Russet-crowned Crake	Rufirallus viridis	
Speckled Rail	Coturnicops notatus	
Yellow-breasted Crake	Laterallus flaviventer	Rare/Accidental
Rufous-sided Crake	Laterallus melanophaius	
Grey-breasted Crake	Laterallus exilis	Rare/Accidental
 
GRUIFORMES: Psophiidae

Grey-winged Trumpeter	Psophia crepitans	
 
GRUIFORMES: Aramidae

Limpkin	Aramus guarauna	
 
