
 
RHEIFORMES: Rheidae

Lesser Rhea	Rhea pennata	
 
TINAMIFORMES: Tinamidae

Puna Tinamou	Tinamotis pentlandii	
Darwin's Nothura	Nothura darwinii	
Red-winged Tinamou	Rhynchotus rufescens	
Taczanowski's Tinamou	Nothoprocta taczanowskii	Vulnerable
Ornate Tinamou	Nothoprocta ornata	
Andean Tinamou	Nothoprocta pentlandii	
Curve-billed Tinamou	Nothoprocta curvirostris	
Tawny-breasted Tinamou	Nothocercus julius	
Highland Tinamou	Nothocercus bonapartei	
Hooded Tinamou	Nothocercus nigrocapillus	
Grey Tinamou	Tinamus tao	Vulnerable
Black Tinamou	Tinamus osgoodi	Vulnerable
Great Tinamou	Tinamus major	
White-throated Tinamou	Tinamus guttatus	Near-threatened
Cinereous Tinamou	Crypturellus cinereus	
Little Tinamou	Crypturellus soui	
Brown Tinamou	Crypturellus obsoletus	
Undulated Tinamou	Crypturellus undulatus	
Pale-browed Tinamou	Crypturellus transfasciatus	Near-threatened
Brazilian Tinamou	Crypturellus strigulosus	
Grey-legged Tinamou	Crypturellus duidae	
Black-capped Tinamou	Crypturellus atrocapillus	
Variegated Tinamou	Crypturellus variegatus	
Bartlett's Tinamou	Crypturellus bartletti	
Small-billed Tinamou	Crypturellus parvirostris	
Barred Tinamou	Crypturellus casiquiare	Rare/Accidental
Tataupa Tinamou	Crypturellus tataupa	
 
ANSERIFORMES: Anhimidae

Horned Screamer	Anhima cornuta	
Southern Screamer	Chauna torquata	Rare/Accidental
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	Rare/Accidental
Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	
Masked Duck	Nomonyx dominicus	
Ruddy Duck	Oxyura jamaicensis	
Torrent Duck	Merganetta armata	
Muscovy Duck	Cairina moschata	
Orinoco Goose	Neochen jubata	Near-threatened
Andean Goose	Chloephaga melanoptera	
Comb Duck	Sarkidiornis sylvicola	
Southern Pochard	Netta erythrophthalma	Rare/Accidental
Rosy-billed Pochard	Netta peposaca	Rare/Accidental
Crested Duck	Lophonetta specularioides	
Brazilian Teal	Amazonetta brasiliensis	
Puna Teal	Spatula puna	
Red Shoveler	Spatula platalea	
Blue-winged Teal	Spatula discors	
Cinnamon Teal	Spatula cyanoptera	
Northern Shoveler	Spatula clypeata	Rare/Accidental
White-cheeked Pintail	Anas bahamensis	
Yellow-billed Pintail	Anas georgica	
Yellow-billed Teal	Anas flavirostris	
Andean Teal	Anas andium	Rare/Accidental
 
GALLIFORMES: Cracidae

Sickle-winged Guan	Chamaepetes goudotii	
Wattled Guan	Aburria aburri	
Blue-throated Piping Guan	Pipile cumanensis	
White-throated Piping Guan	Pipile grayi	Near-threatened
Bearded Guan	Penelope barbata	Near-threatened
