
 
ANSERIFORMES: Anatidae

Northern Pintail	Anas acuta	Rare/Accidental
 
GALLIFORMES: Cracidae

Rusty-margined Guan	Penelope superciliaris	Near-threatened
White-browed Guan	Penelope jacucaca	Endemic (country/region) Vulnerable
 
CUCULIFORMES: Cuculidae

Common Cuckoo	Cuculus canorus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Common Ground Dove	Columbina passerina	
Plain-breasted Ground Dove	Columbina minuta	
Ruddy Ground Dove	Columbina talpacoti	
Grey-fronted Dove	Leptotila rufaxilla	
Eared Dove	Zenaida auriculata	
Rock Dove	Columba livia	Introduced species
 
GRUIFORMES: Rallidae

Spotted Rail	Pardirallus maculatus	
Corn Crake	Crex crex	Rare/Accidental
Allen's Gallinule	Porphyrio alleni	Rare/Accidental
Purple Gallinule	Porphyrio martinica	
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
American Golden Plover	Pluvialis dominica	
Semipalmated Plover	Charadrius semipalmatus	
Wilson's Plover	Anarhynchus wilsonia	
Collared Plover	Anarhynchus collaris	
 
CHARADRIIFORMES: Scolopacidae

Hudsonian Whimbrel	Numenius hudsonicus	Rare/Accidental
Eurasian Whimbrel	Numenius phaeopus	Rare/Accidental
Bar-tailed Godwit	Limosa lapponica	Rare/Accidental Near-threatened
Short-billed Dowitcher	Limnodromus griseus	Vulnerable
Pantanal Snipe	Gallinago paraguaiae	
Spotted Sandpiper	Actitis macularius	
Solitary Sandpiper	Tringa solitaria	
Wood Sandpiper	Tringa glareola	Rare/Accidental
Lesser Yellowlegs	Tringa flavipes	Vulnerable
Ruddy Turnstone	Arenaria interpres	Near-threatened
Red Knot	Calidris canutus	Near-threatened
Sanderling	Calidris alba	
Pectoral Sandpiper	Calidris melanotos	
Semipalmated Sandpiper	Calidris pusilla	Near-threatened
Little Stint	Calidris minuta	Rare/Accidental
White-rumped Sandpiper	Calidris fuscicollis	Vulnerable
 
CHARADRIIFORMES: Stercorariidae

South Polar Skua	Stercorarius maccormicki	
 
CHARADRIIFORMES: Laridae

Atlantic White Tern	Gygis alba	
Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Sooty Tern	Onychoprion fuscatus	
Yellow-billed Tern	Sternula superciliaris	
Sandwich Tern	Thalasseus sandvicensis	
Arctic Tern	Sterna paradisaea	
Common Tern	Sterna hirundo	
Laughing Gull	Leucophaeus atricilla	
Kelp Gull	Larus dominicanus	
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	
Black-bellied Storm Petrel	Fregetta tropica	Rare/Accidental
 
PROCELLARIIFORMES: Hydrobatidae

Leach's Storm Petrel	Hydrobates leucorhous	Vulnerable
 
PROCELLARIIFORMES: Procellariidae

Cory's Shearwater	Calonectris borealis	Rare/Accidental
Great Shearwater	Ardenna gravis	
Manx Shearwater	Puffinus puffinus	
Sargasso Shearwater	Puffinus lherminieri	
Trindade Petrel	Pterodroma arminjoniana	Vulnerable
 
SULIFORMES: Fregatidae

Lesser Frigatebird	Fregata ariel	
Ascension Frigatebird	Fregata aquila	Rare/Accidental Vulnerable
Magnificent Frigatebird	Fregata magnificens	
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
Masked Booby	Sula dactylatra	
 
PELECANIFORMES: Threskiornithidae

Eurasian Spoonbill	Platalea leucorodia	Rare/Accidental
 
PELECANIFORMES: Ardeidae

Rufescent Tiger Heron	Tigrisoma lineatum	
Little Blue Heron	Egretta caerulea	
Snowy Egret	Egretta thula	
Western Reef Heron	Egretta gularis	Rare/Accidental
Little Egret	Egretta garzetta	Rare/Accidental
Black-crowned Night Heron	Nycticorax nycticorax	
Striated Heron	Butorides striata	
Squacco Heron	Ardeola ralloides	Rare/Accidental
Great Egret	Ardea alba	
Western Cattle Egret	Ardea ibis	Rare/Accidental
Purple Heron	Ardea purpurea	Rare/Accidental
Grey Heron	Ardea cinerea	Rare/Accidental
Cocoi Heron	Ardea cocoi	
 
ACCIPITRIFORMES: Pandionidae

Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

White-tailed Kite	Elanus leucurus	
Grey-lined Hawk	Buteo nitidus	
 
PASSERIFORMES: Tyrannidae

Southern Beardless Tyrannulet	Camptostoma obsoletum	
Large Elaenia	Elaenia spectabilis	
Noronha Elaenia	Elaenia ridleyana	Endemic Vulnerable
Fork-tailed Flycatcher	Tyrannus savana	
Tropical Kingbird	Tyrannus melancholicus	
White Monjita	Xolmis irupero	
 
PASSERIFORMES: Vireonidae

Noronha Vireo	Vireo gracilirostris	Endemic Vulnerable
Chivi Vireo	Vireo chivi	
 
PASSERIFORMES: Hirundinidae

Barn Swallow	Hirundo rustica	
 
PASSERIFORMES: Troglodytidae

Southern House Wren	Troglodytes musculus	
Moustached Wren	Pheugopedius genibarbis	
 
PASSERIFORMES: Passeridae

House Sparrow	Passer domesticus	Introduced species
 
PASSERIFORMES: Thraupidae

Red-cowled Cardinal	Paroaria dominicana	Endemic (country/region)
