RHEIFORMES: Rheidae

Greater Rhea	Rhea americana	
Lesser Rhea	Rhea pennata	
 
TINAMIFORMES: Tinamidae

Solitary Tinamou	Tinamus solitarius	
Brown Tinamou	Crypturellus obsoletus	
Undulated Tinamou	Crypturellus undulatus	
Small-billed Tinamou	Crypturellus parvirostris	
Tataupa Tinamou	Crypturellus tataupa	
Red-winged Tinamou	Rhynchotus rufescens	
Huayco Tinamou	Rhynchotus maculicollis	
Ornate Tinamou	Nothoprocta ornata	
Brushland Tinamou	Nothoprocta cinerascens	
Andean Tinamou	Nothoprocta pentlandii	
Darwin's Nothura	Nothura darwinii	
Spotted Nothura	Nothura maculosa	
Dwarf Tinamou	Taoniscus nanus	Rare/Accidental
Elegant Crested Tinamou	Eudromia elegans	
Quebracho Crested Tinamou	Eudromia formosa	
Puna Tinamou	Tinamotis pentlandii	
Patagonian Tinamou	Tinamotis ingoufi	
 
ANSERIFORMES: Anhimidae

Southern Screamer	Chauna torquata	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	
Coscoroba Swan	Coscoroba coscoroba	
Black-necked Swan	Cygnus melancoryphus	
Flying Steamer Duck	Tachyeres patachonicus	
Fuegian Steamer Duck	Tachyeres pteneres	
Chubut Steamer Duck	Tachyeres leucocephalus	Endemic
Torrent Duck	Merganetta armata	
Comb Duck	Sarkidiornis sylvicola	
Orinoco Goose	Neochen jubata	Rare/Accidental
Andean Goose	Chloephaga melanoptera	
Upland Goose	Chloephaga picta	
Kelp Goose	Chloephaga hybrida	
Ashy-headed Goose	Chloephaga poliocephala	
Ruddy-headed Goose	Chloephaga rubidiceps	
Muscovy Duck	Cairina moschata	
Brazilian Teal	Amazonetta brasiliensis	
Ringed Teal	Callonetta leucophrys	
Crested Duck	Lophonetta specularioides	
Bronze-winged Duck	Speculanas specularis	
