
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	Rare/Accidental
Black-bellied Whistling Duck	Dendrocygna autumnalis	
Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Masked Duck	Nomonyx dominicus	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Comb Duck	Sarkidiornis sylvicola	Rare/Accidental
Ring-necked Duck	Aythya collaris	Rare/Accidental
Lesser Scaup	Aythya affinis	
Greater Scaup	Aythya marila	Rare/Accidental
Blue-winged Teal	Spatula discors	
Cinnamon Teal	Spatula cyanoptera	Rare/Accidental
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
American Wigeon	Mareca americana	
White-cheeked Pintail	Anas bahamensis	
Northern Pintail	Anas acuta	Rare/Accidental
Green-winged Teal	Anas crecca	Rare/Accidental
 
GALLIFORMES: Odontophoridae

Crested Bobwhite	Colinus cristatus	
 
PHOENICOPTERIFORMES: Phoenicopteridae

American Flamingo	Phoenicopterus ruber	
 
PODICIPEDIFORMES: Podicipedidae

Least Grebe	Tachybaptus dominicus	
Pied-billed Grebe	Podilymbus podiceps	
 
CUCULIFORMES: Cuculidae

Greater Ani	Crotophaga major	Rare/Accidental
Smooth-billed Ani	Crotophaga ani	Rare/Accidental
Groove-billed Ani	Crotophaga sulcirostris	
Yellow-billed Cuckoo	Coccyzus americanus	
Mangrove Cuckoo	Coccyzus minor	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Common Ground Dove	Columbina passerina	
White-tipped Dove	Leptotila verreauxi	
Eared Dove	Zenaida auriculata	
Scaly-naped Pigeon	Patagioenas squamosa	Rare/Accidental
Bare-eyed Pigeon	Patagioenas corensis	
Rock Dove	Columba livia	Introduced species
 
GRUIFORMES: Aramidae

Limpkin	Aramus guarauna	Rare/Accidental
 
GRUIFORMES: Rallidae

Sora	Porzana carolina	
Common Gallinule	Gallinula galeata	
American Coot	Fulica americana	
Purple Gallinule	Porphyrio martinica	
 
CHARADRIIFORMES: Recurvirostridae

Black-necked Stilt	Himantopus mexicanus	
 
CHARADRIIFORMES: Haematopodidae

American Oystercatcher	Haematopus palliatus	
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
American Golden Plover	Pluvialis dominica	
Killdeer	Charadrius vociferus	Near-threatened
Semipalmated Plover	Charadrius semipalmatus	
Southern Lapwing	Vanellus chilensis	
Wilson's Plover	Anarhynchus wilsonia	
Collared Plover	Anarhynchus collaris	
Snowy Plover	Anarhynchus nivosus	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Jacanidae

Wattled Jacana	Jacana jacana	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	Rare/Accidental
Hudsonian Whimbrel	Numenius hudsonicus	
Hudsonian Godwit	Limosa haemastica	Rare/Accidental Vulnerable
Long-billed Dowitcher	Limnodromus scolopaceus	Rare/Accidental Near-threatened
Short-billed Dowitcher	Limnodromus griseus	Vulnerable
Wilson's Snipe	Gallinago delicata	
Spotted Sandpiper	Actitis macularius	
Wilson's Phalarope	Phalaropus tricolor	Rare/Accidental
Solitary Sandpiper	Tringa solitaria	
Lesser Yellowlegs	Tringa flavipes	Vulnerable
Willet	Tringa semipalmata	
Greater Yellowlegs	Tringa melanoleuca	Near-threatened
Ruddy Turnstone	Arenaria interpres	Near-threatened
Red Knot	Calidris canutus	Rare/Accidental Near-threatened
Ruff	Calidris pugnax	Rare/Accidental
Curlew Sandpiper	Calidris ferruginea	Rare/Accidental Vulnerable
Stilt Sandpiper	Calidris himantopus	Near-threatened
Buff-breasted Sandpiper	Calidris subruficollis	Vulnerable
Sanderling	Calidris alba	
Baird's Sandpiper	Calidris bairdii	Rare/Accidental
Pectoral Sandpiper	Calidris melanotos	
Semipalmated Sandpiper	Calidris pusilla	Near-threatened
Western Sandpiper	Calidris mauri	
Least Sandpiper	Calidris minutilla	Near-threatened
White-rumped Sandpiper	Calidris fuscicollis	Vulnerable
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
South Polar Skua	Stercorarius maccormicki	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Black Skimmer	Rynchops niger	
Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Sooty Tern	Onychoprion fuscatus	
Bridled Tern	Onychoprion anaethetus	
Least Tern	Sternula antillarum	
Large-billed Tern	Phaetusa simplex	Rare/Accidental
Caspian Tern	Hydroprogne caspia	Rare/Accidental
Gull-billed Tern	Gelochelidon nilotica	
Black Tern	Chlidonias niger	
Sandwich Tern	Thalasseus sandvicensis	
Elegant Tern	Thalasseus elegans	Rare/Accidental Near-threatened
Royal Tern	Thalasseus maximus	
Forster's Tern	Sterna forsteri	Rare/Accidental
Common Tern	Sterna hirundo	
Roseate Tern	Sterna dougallii	
Laughing Gull	Leucophaeus atricilla	
Franklin's Gull	Leucophaeus pipixcan	Rare/Accidental
Ring-billed Gull	Larus delawarensis	Rare/Accidental
American Herring Gull	Larus smithsonianus	Rare/Accidental
Great Black-backed Gull	Larus marinus	Rare/Accidental
Lesser Black-backed Gull	Larus fuscus	
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	Rare/Accidental
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	Rare/Accidental
 
PROCELLARIIFORMES: Procellariidae

Bulwer's Petrel	Bulweria bulwerii	Rare/Accidental
Cory's Shearwater	Calonectris borealis	Rare/Accidental
Sargasso Shearwater	Puffinus lherminieri	
Black-capped Petrel	Pterodroma hasitata	Rare/Accidental Endangered
 
CICONIIFORMES: Ciconiidae

Wood Stork	Mycteria americana	Rare/Accidental
 
SULIFORMES: Fregatidae

Magnificent Frigatebird	Fregata magnificens	
Great Frigatebird	Fregata minor	Rare/Accidental
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
Masked Booby	Sula dactylatra	
 
SULIFORMES: Phalacrocoracidae

Neotropic Cormorant	Nannopterum brasilianum	
 
