GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
Crested Guineafowl	Guttera pucherani	Rare
 
GALLIFORMES: Phasianidae

Coqui Francolin	Peliperdix coqui	
Ring-necked Francolin	Scleroptila streptophora	Near-threatened
Red-winged Francolin	Scleroptila levaillantii	
Shelley's Francolin	Scleroptila shelleyi	
Crested Francolin	Dendroperdix sephaena	Rare
Handsome Spurfowl	Pternistis nobilis	
Scaly Spurfowl	Pternistis squamatus	
Hildebrandt's Spurfowl	Pternistis hildebrandti	
Red-necked Spurfowl	Pternistis afer	
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	
Blue Quail	Excalfactoria adansonii	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
White-backed Duck	Thalassornis leuconotus	
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	
Hartlaub's Duck	Pteronetta hartlaubii	Rare
African Pygmy Goose	Nettapus auritus	
Garganey	Spatula querquedula	
Hottentot Teal	Spatula hottentota	
Northern Shoveler	Spatula clypeata	
African Black Duck	Anas sparsa	
Yellow-billed Duck	Anas undulata	
Red-billed Teal	Anas erythrorhyncha	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	Rare
Southern Pochard	Netta erythrophthalma	
Maccoa Duck	Oxyura maccoa	Vulnerable
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
Black-shouldered Nightjar	Caprimulgus nigriscapularis	
Fiery-necked Nightjar	Caprimulgus pectoralis	
Montane Nightjar	Caprimulgus poliocephalus	
Swamp Nightjar	Caprimulgus natalensis	
Freckled Nightjar	Caprimulgus tristigma	
Slender-tailed Nightjar	Caprimulgus clarus	Rare
Square-tailed Nightjar	Caprimulgus fossii	
Pennant-winged Nightjar	Caprimulgus vexillarius	
 
APODIFORMES: Apodidae

Scarce Swift	Schoutedenapus myoptilus	
African Palm Swift	Cypsiurus parvus	
Alpine Swift	Tachymarptis melba	
Mottled Swift	Tachymarptis aequatorialis	
Common Swift	Apus apus	
African Black Swift	Apus barbatus	
Little Swift	Apus affinis	
Horus Swift	Apus horus	
White-rumped Swift	Apus caffer	
 
MUSOPHAGIFORMES: Musophagidae

Great Blue Turaco	Corythaeola cristata	
Black-billed Turaco	Tauraco schuettii	
White-crested Turaco	Tauraco leucolophus	Rare
Purple-crested Turaco	Tauraco porphyreolophus	
Rwenzori Turaco	Ruwenzorornis johnstoni	
Ross's Turaco	Musophaga rossae	
Bare-faced Go-away-bird	Corythaixoides personatus	
Eastern Plantain-eater	Crinifer zonurus	
 
OTIDIFORMES: Otididae

Denham's Bustard	Neotis denhami	Near-threatened
Black-bellied Bustard	Lissotis melanogaster	
 
CUCULIFORMES: Cuculidae

Blue-headed Coucal	Centropus monachus	
White-browed Coucal	Centropus superciliosus	
Black Coucal	Centropus grillii	
Blue Malkoha	Ceuthmochares aereus	
Great Spotted Cuckoo	Clamator glandarius	
Levaillant's Cuckoo	Clamator levaillantii	
Jacobin Cuckoo	Clamator jacobinus	
Thick-billed Cuckoo	Pachycoccyx audeberti	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
African Emerald Cuckoo	Chrysococcyx cupreus	
Barred Long-tailed Cuckoo	Cercococcyx montanus	
Black Cuckoo	Cuculus clamosus	
Red-chested Cuckoo	Cuculus solitarius	
Madagascan Cuckoo	Cuculus rochii	
African Cuckoo	Cuculus gularis	
Common Cuckoo	Cuculus canorus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Speckled Pigeon	Columba guinea	
Afep Pigeon	Columba unicincta	
African Olive Pigeon	Columba arquatrix	
Lemon Dove	Columba larvata	
Dusky Turtle Dove	Streptopelia lugens	
Mourning Collared Dove	Streptopelia decipiens	
Red-eyed Dove	Streptopelia semitorquata	
Ring-necked Dove	Streptopelia capicola	
Laughing Dove	Spilopelia senegalensis	
Emerald-spotted Wood Dove	Turtur chalcospilos	
Blue-spotted Wood Dove	Turtur afer	
Tambourine Dove	Turtur tympanistria	
Namaqua Dove	Oena capensis	
African Green Pigeon	Treron calvus	
 
GRUIFORMES: Sarothruridae

White-spotted Flufftail	Sarothrura pulchra	
Buff-spotted Flufftail	Sarothrura elegans	
Red-chested Flufftail	Sarothrura rufa	
Streaky-breasted Flufftail	Sarothrura boehmi	
 
GRUIFORMES: Heliornithidae

African Finfoot	Podica senegalensis	
 
GRUIFORMES: Rallidae

African Rail	Rallus caerulescens	
African Crake	Crex egregia	
Corn Crake	Crex crex	
Black Crake	Amaurornis flavirostra	
Baillon's Crake	Porzana pusilla	
Striped Crake	Aenigmatolimnas marginalis	
African Swamphen	Porphyrio madagascariensis	
Allen's Gallinule	Porphyrio alleni	
Common Moorhen	Gallinula chloropus	
Lesser Moorhen	Paragallinula angulata	
Red-knobbed Coot	Fulica cristata	
 
GRUIFORMES: Gruidae

Grey Crowned Crane	Balearica regulorum	Endangered
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Great Crested Grebe	Podiceps cristatus	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Lesser Flamingo	Phoeniconaias minor	Rare
 
CHARADRIIFORMES: Turnicidae

Common Buttonquail	Turnix sylvaticus	
Black-rumped Buttonquail	Turnix nanus	
 
CHARADRIIFORMES: Burhinidae

Water Thick-knee	Burhinus vermiculatus	
Spotted Thick-knee	Burhinus capensis	Rare
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Avocet	Recurvirostra avosetta	Rare
 
CHARADRIIFORMES: Charadriidae

Long-toed Lapwing	Vanellus crassirostris	
Blacksmith Lapwing	Vanellus armatus	Rare
Spur-winged Lapwing	Vanellus spinosus	
White-crowned Lapwing	Vanellus albiceps	Rare
Senegal Lapwing	Vanellus lugubris	
Crowned Lapwing	Vanellus coronatus	
African Wattled Lapwing	Vanellus senegallus	
Brown-chested Lapwing	Vanellus superciliosus	
Grey Plover	Pluvialis squatarola	Rare
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Charadrius dubius	Rare
Kittlitz's Plover	Charadrius pecuarius	
Three-banded Plover	Charadrius tricollaris	
Forbes's Plover	Charadrius forbesi	Rare
White-fronted Plover	Charadrius marginatus	
Lesser Sand Plover	Charadrius mongolus	Rare
Caspian Plover	Charadrius asiaticus	
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	
 
CHARADRIIFORMES: Jacanidae

Lesser Jacana	Microparra capensis	
African Jacana	Actophilornis africanus	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	Rare
Eurasian Curlew	Numenius arquata	Rare
Black-tailed Godwit	Limosa limosa	Rare
Ruddy Turnstone	Arenaria interpres	Rare
Red Knot	Calidris canutus	Rare
Ruff	Calidris pugnax	
Broad-billed Sandpiper	Calidris falcinellus	Rare
Curlew Sandpiper	Calidris ferruginea	Near-threatened
Temminck's Stint	Calidris temminckii	
Sanderling	Calidris alba	
Little Stint	Calidris minuta	
African Snipe	Gallinago nigripennis	
Great Snipe	Gallinago media	Near-threatened
Common Snipe	Gallinago gallinago	
Terek Sandpiper	Xenus cinereus	Rare
Common Sandpiper	Actitis hypoleucos	
Green Sandpiper	Tringa ochropus	
Common Redshank	Tringa totanus	Rare
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Glareolidae

Temminck's Courser	Cursorius temminckii	
Bronze-winged Courser	Rhinoptilus chalcopterus	
Collared Pratincole	Glareola pratincola	
Black-winged Pratincole	Glareola nordmanni	Rare
Rock Pratincole	Glareola nuchalis	Rare
Grey Pratincole	Glareola cinerea	Rare
 
CHARADRIIFORMES: Laridae

African Skimmer	Rynchops flavirostris	Near-threatened
Black-headed Gull	Chroicocephalus ridibundus	Rare
Grey-headed Gull	Chroicocephalus cirrocephalus	
Lesser Black-backed Gull	Larus fuscus	
Gull-billed Tern	Gelochelidon nilotica	
Caspian Tern	Hydroprogne caspia	Rare
Lesser Crested Tern	Thalasseus bengalensis	Rare
Whiskered Tern	Chlidonias hybrida	Rare
White-winged Tern	Chlidonias leucopterus	
Black Tern	Chlidonias niger	Rare
 
CICONIIFORMES: Ciconiidae

Yellow-billed Stork	Mycteria ibis	
African Openbill	Anastomus lamelligerus	
Black Stork	Ciconia nigra	Rare
Abdim's Stork	Ciconia abdimii	
Woolly-necked Stork	Ciconia episcopus	
White Stork	Ciconia ciconia	
Saddle-billed Stork	Ephippiorhynchus senegalensis	
Marabou Stork	Leptoptilos crumenifer	
 
