
 
STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	Rare/Accidental
Fulvous Whistling Duck	Dendrocygna bicolor	
Maccoa Duck	Oxyura maccoa	Rare/Accidental Endangered
Egyptian Goose	Alopochen aegyptiaca	
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
Knob-billed Duck	Sarkidiornis melanotos	Rare/Accidental
Southern Pochard	Netta erythrophthalma	
Ferruginous Duck	Aythya nyroca	Near-threatened
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Yellow-billed Duck	Anas undulata	Rare/Accidental
Mallard	Anas platyrhynchos	Rare/Accidental
Red-billed Teal	Anas erythrorhyncha	Rare/Accidental
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
 
GALLIFORMES: Odontophoridae

Stone Partridge	Ptilopachus petrosus	
 
GALLIFORMES: Phasianidae

Orange River Francolin	Scleroptila gutturalis	
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	
Erckel's Spurfowl	Pternistis erckelii	
Clapperton's Spurfowl	Pternistis clappertoni	
Yellow-necked Spurfowl	Pternistis leucoscepus	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Lesser Flamingo	Phoeniconaias minor	Near-threatened
Greater Flamingo	Phoenicopterus roseus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Great Crested Grebe	Podiceps cristatus	
 
MUSOPHAGIFORMES: Musophagidae

White-bellied Go-away-bird	Crinifer leucogaster	Rare/Accidental
Eastern Plantain-eater	Crinifer zonurus	
White-cheeked Turaco	Menelikornis leucotis	
 
OTIDIFORMES: Otididae

Arabian Bustard	Ardeotis arabs	Near-threatened
Heuglin's Bustard	Neotis heuglinii	Rare/Accidental
White-bellied Bustard	Eupodotis senegalensis	
Black-bellied Bustard	Lissotis melanogaster	
 
CUCULIFORMES: Cuculidae

Blue-headed Coucal	Centropus monachus	
White-browed Coucal	Centropus superciliosus	
Great Spotted Cuckoo	Clamator glandarius	
Levaillant's Cuckoo	Clamator levaillantii	
Jacobin Cuckoo	Clamator jacobinus	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
African Emerald Cuckoo	Chrysococcyx cupreus	
Black Cuckoo	Cuculus clamosus	
African Cuckoo	Cuculus gularis	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Chestnut-bellied Sandgrouse	Pterocles exustus	
Spotted Sandgrouse	Pterocles senegallus	
Yellow-throated Sandgrouse	Pterocles gutturalis	
Lichtenstein's Sandgrouse	Pterocles lichtensteinii	
Four-banded Sandgrouse	Pterocles quadricinctus	
 
COLUMBIFORMES: Columbidae

Laughing Dove	Spilopelia senegalensis	
Lemon Dove	Aplopelia larvata	
European Turtle Dove	Streptopelia turtur	Vulnerable
Dusky Turtle Dove	Streptopelia lugens	
Vinaceous Dove	Streptopelia vinacea	
Ring-necked Dove	Streptopelia capicola	
Red-eyed Dove	Streptopelia semitorquata	
Mourning Collared Dove	Streptopelia decipiens	
African Collared Dove	Streptopelia roseogrisea	
African Olive Pigeon	Columba arquatrix	Rare/Accidental
Speckled Pigeon	Columba guinea	
White-collared Pigeon	Columba albitorques	
Rock Dove	Columba livia	Introduced species
Namaqua Dove	Oena capensis	
Blue-spotted Wood Dove	Turtur afer	
Black-billed Wood Dove	Turtur abyssinicus	
Bruce's Green Pigeon	Treron waalia	
 
GRUIFORMES: Gruidae

Demoiselle Crane	Grus virgo	Rare/Accidental
Common Crane	Grus grus	Rare/Accidental
 
GRUIFORMES: Rallidae

Rouget's Rail	Rougetius rougetii	Near-threatened
Corn Crake	Crex crex	Rare/Accidental
Spotted Crake	Porzana porzana	
