
 
STRUTHIONIFORMES: Struthionidae

Somali Ostrich	Struthio molybdophanes	Vulnerable
Common Ostrich	Struthio camelus	
 
ANSERIFORMES: Anatidae

Egyptian Goose	Alopochen aegyptiaca	
Southern Pochard	Netta erythrophthalma	Rare/Accidental
Tufted Duck	Aythya fuligula	
Garganey	Spatula querquedula	
Blue-billed Teal	Spatula hottentota	Rare/Accidental
Northern Shoveler	Spatula clypeata	
Eurasian Wigeon	Mareca penelope	Rare/Accidental
Mallard	Anas platyrhynchos	
Cape Teal	Anas capensis	Rare/Accidental
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	Rare/Accidental
 
GALLIFORMES: Phasianidae

Common Quail	Coturnix coturnix	
Djibouti Spurfowl	Pternistis ochropectus	Endemic Critically endangered
Yellow-necked Spurfowl	Pternistis leucoscepus	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Lesser Flamingo	Phoeniconaias minor	Near-threatened
Greater Flamingo	Phoenicopterus roseus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
 
OTIDIFORMES: Otididae

Arabian Bustard	Ardeotis arabs	Near-threatened
Heuglin's Bustard	Neotis heuglinii	
 
CUCULIFORMES: Cuculidae

White-browed Coucal	Centropus superciliosus	
Great Spotted Cuckoo	Clamator glandarius	Rare/Accidental
Jacobin Cuckoo	Clamator jacobinus	Rare/Accidental
Diederik Cuckoo	Chrysococcyx caprius	
African Cuckoo	Cuculus gularis	Rare/Accidental
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Chestnut-bellied Sandgrouse	Pterocles exustus	
Spotted Sandgrouse	Pterocles senegallus	
Lichtenstein's Sandgrouse	Pterocles lichtensteinii	
 
COLUMBIFORMES: Columbidae

Laughing Dove	Spilopelia senegalensis	
European Turtle Dove	Streptopelia turtur	Rare/Accidental Vulnerable
African Collared Dove	Streptopelia roseogrisea	
African Olive Pigeon	Columba arquatrix	Rare/Accidental
Speckled Pigeon	Columba guinea	
Rock Dove	Columba livia	Introduced species
Namaqua Dove	Oena capensis	
Bruce's Green Pigeon	Treron waalia	
 
GRUIFORMES: Gruidae

Common Crane	Grus grus	Rare/Accidental
 
GRUIFORMES: Rallidae

Spotted Crake	Porzana porzana	Rare/Accidental
Common Moorhen	Gallinula chloropus	
Black Crake	Zapornia flavirostra	
Little Crake	Zapornia parva	Rare/Accidental
Baillon's Crake	Zapornia pusilla	Rare/Accidental
 
CHARADRIIFORMES: Burhinidae

Spotted Thick-knee	Burhinus capensis	
Senegal Thick-knee	Burhinus senegalensis	
Eurasian Stone-curlew	Burhinus oedicnemus	
 
CHARADRIIFORMES: Recurvirostridae

Pied Avocet	Recurvirostra avosetta	
Black-winged Stilt	Himantopus himantopus	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
Pacific Golden Plover	Pluvialis fulva	
Common Ringed Plover	Charadrius hiaticula	
Three-banded Plover	Thinornis tricollaris	
Little Ringed Plover	Thinornis dubius	
Spur-winged Lapwing	Vanellus spinosus	
Caspian Plover	Anarhynchus asiaticus	Rare/Accidental
Tibetan Sand Plover	Anarhynchus atrifrons	
Greater Sand Plover	Anarhynchus leschenaultii	
Kittlitz's Plover	Anarhynchus pecuarius	
Kentish Plover	Anarhynchus alexandrinus	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Rare/Accidental Near-threatened
Common Snipe	Gallinago gallinago	
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Red-necked Phalarope	Phalaropus lobatus	Rare/Accidental
Green Sandpiper	Tringa ochropus	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	
Spotted Redshank	Tringa erythropus	Rare/Accidental
Common Greenshank	Tringa nebularia	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Red Knot	Calidris canutus	Rare/Accidental Near-threatened
Great Knot	Calidris tenuirostris	Rare/Accidental Endangered
Ruff	Calidris pugnax	
Broad-billed Sandpiper	Calidris falcinellus	Vulnerable
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Temminck's Stint	Calidris temminckii	
Long-toed Stint	Calidris subminuta	Rare/Accidental
Sanderling	Calidris alba	
Dunlin	Calidris alpina	Near-threatened
Little Stint	Calidris minuta	
 
CHARADRIIFORMES: Dromadidae

Crab-plover	Dromas ardeola	
 
CHARADRIIFORMES: Glareolidae

Double-banded Courser	Smutsornis africanus	Rare/Accidental
Cream-colored Courser	Cursorius cursor	
Somali Courser	Cursorius somalensis	
Collared Pratincole	Glareola pratincola	Rare/Accidental
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger	Stercorarius pomarinus	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Sooty Tern	Onychoprion fuscatus	
Bridled Tern	Onychoprion anaethetus	
Little Tern	Sternula albifrons	
Saunders's Tern	Sternula saundersi	
Caspian Tern	Hydroprogne caspia	
Gull-billed Tern	Gelochelidon nilotica	
Whiskered Tern	Chlidonias hybrida	Rare/Accidental
White-winged Tern	Chlidonias leucopterus	
Black Tern	Chlidonias niger	
Sandwich Tern	Thalasseus sandvicensis	
Greater Crested Tern	Thalasseus bergii	
Lesser Crested Tern	Thalasseus bengalensis	
Common Tern	Sterna hirundo	
White-cheeked Tern	Sterna repressa	
Slender-billed Gull	Chroicocephalus genei	Rare/Accidental
Black-headed Gull	Chroicocephalus ridibundus	
White-eyed Gull	Ichthyaetus leucophthalmus	
Sooty Gull	Ichthyaetus hemprichii	
Caspian Gull	Larus cachinnans	Rare/Accidental
European Herring Gull	Larus argentatus	
Armenian Gull	Larus armenicus	
Lesser Black-backed Gull	Larus fuscus	
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	
 
PROCELLARIIFORMES: Hydrobatidae

Swinhoe's Storm Petrel	Hydrobates monorhis	Rare/Accidental Near-threatened
 
PROCELLARIIFORMES: Procellariidae

Southern Giant Petrel	Macronectes giganteus	Rare/Accidental
Jouanin's Petrel	Bulweria fallax	Rare/Accidental Near-threatened
Flesh-footed Shearwater	Ardenna carneipes	Rare/Accidental Near-threatened
Persian Shearwater	Puffinus persicus	Rare/Accidental
Tropical Shearwater	Puffinus bailloni	
Atlantic Petrel	Pterodroma incerta	Rare/Accidental Endangered
 
CICONIIFORMES: Ciconiidae

Marabou Stork	Leptoptilos crumenifer	Rare/Accidental
Yellow-billed Stork	Mycteria ibis	
Black Stork	Ciconia nigra	
White Stork	Ciconia ciconia	
Abdim's Stork	Ciconia abdimii	
 
SULIFORMES: Fregatidae

Lesser Frigatebird	Fregata ariel	Rare/Accidental
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	Rare/Accidental
Brown Booby	Sula leucogaster	
Masked Booby	Sula dactylatra	Rare/Accidental
 
SULIFORMES: Phalacrocoracidae

Reed Cormorant	Microcarbo africanus	Rare/Accidental
Socotra Cormorant	Phalacrocorax nigrogularis	Rare/Accidental Vulnerable
 
PELECANIFORMES: Threskiornithidae

Glossy Ibis	Plegadis falcinellus	
