
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
 
GALLIFORMES: Phasianidae

Harlequin Quail	Coturnix delegorguei	
Blue Quail	Excalfactoria adansonii	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
White-backed Duck	Thalassornis leuconotus	
African Pygmy Goose	Nettapus auritus	
 
CAPRIMULGIFORMES: Caprimulgidae

Square-tailed Nightjar	Caprimulgus fossii	
 
APODIFORMES: Apodidae

Mottled Spinetail	Telacanthura ussheri	
African Palm Swift	Cypsiurus parvus	
Little Swift	Apus affinis	
White-rumped Swift	Apus caffer	
 
CUCULIFORMES: Cuculidae

White-browed Coucal	Centropus superciliosus	
Green Malkoha	Ceuthmochares australis	
Levaillant's Cuckoo	Clamator levaillantii	
Diederik Cuckoo	Chrysococcyx caprius	
Madagascan Cuckoo	Cuculus rochii	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Red-eyed Dove	Streptopelia semitorquata	
Ring-necked Dove	Streptopelia capicola	
Laughing Dove	Spilopelia senegalensis	
Emerald-spotted Wood Dove	Turtur chalcospilos	
Blue-spotted Wood Dove	Turtur afer	
Tambourine Dove	Turtur tympanistria	
Pemba Green Pigeon	Treron pembaensis	Endemic Vulnerable
 
GRUIFORMES: Sarothruridae

Buff-spotted Flufftail	Sarothrura elegans	
Red-chested Flufftail	Sarothrura rufa	
 
GRUIFORMES: Rallidae

Lesser Moorhen	Paragallinula angulata	
Common Moorhen	Gallinula chloropus	
Allen's Gallinule	Porphyrio alleni	
African Swamphen	Porphyrio madagascariensis	
Black Crake	Zapornia flavirostra	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	
 
CHARADRIIFORMES: Turnicidae

Common Buttonquail	Turnix sylvaticus	
 
CHARADRIIFORMES: Burhinidae

Water Thick-knee	Burhinus vermiculatus	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
 
CHARADRIIFORMES: Charadriidae

Senegal Lapwing	Vanellus lugubris	
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	
Lesser Sand Plover	Charadrius mongolus	
Greater Sand Plover	Charadrius leschenaultii	
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	
 
CHARADRIIFORMES: Jacanidae

African Jacana	Actophilornis africanus	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Ruddy Turnstone	Arenaria interpres	
Curlew Sandpiper	Calidris ferruginea	Near-threatened
Sanderling	Calidris alba	
Little Stint	Calidris minuta	
Great Snipe	Gallinago media	Near-threatened
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	
Wood Sandpiper	Tringa glareola	
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Dromadidae

Crab-plover	Dromas ardeola	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Black-headed Gull	Chroicocephalus ridibundus	
Grey-headed Gull	Chroicocephalus cirrocephalus	
Sooty Gull	Ichthyaetus hemprichii	
Lesser Black-backed Gull	Larus fuscus	
Gull-billed Tern	Gelochelidon nilotica	
Caspian Tern	Hydroprogne caspia	
Greater Crested Tern	Thalasseus bergii	
Lesser Crested Tern	Thalasseus bengalensis	
Sandwich Tern	Thalasseus sandvicensis	
Little Tern	Sternula albifrons	Rare/Accidental
Saunders's Tern	Sternula saundersi	
Sooty Tern	Onychoprion fuscatus	
Roseate Tern	Sterna dougallii	
Black-naped Tern	Sterna sumatrana	Rare/Accidental
Common Tern	Sterna hirundo	
White-cheeked Tern	Sterna repressa	
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Procellariidae

Wedge-tailed Shearwater	Ardenna pacifica	Rare/Accidental
Tropical Shearwater	Puffinus bailloni	
 
CICONIIFORMES: Ciconiidae

Yellow-billed Stork	Mycteria ibis	
African Openbill	Anastomus lamelligerus	
Woolly-necked Stork	Ciconia episcopus	
White Stork	Ciconia ciconia	
 
SULIFORMES: Fregatidae

Great Frigatebird	Fregata minor	Rare/Accidental
 
SULIFORMES: Sulidae

Cape Gannet	Morus capensis	Rare/Accidental Endangered
Masked Booby	Sula dactylatra	
Red-footed Booby	Sula sula	Rare/Accidental
 
SULIFORMES: Anhingidae

African Darter	Anhinga rufa	
 
SULIFORMES: Phalacrocoracidae

Reed Cormorant	Microcarbo africanus	
White-breasted Cormorant	Phalacrocorax lucidus	
 
PELECANIFORMES: Threskiornithidae

African Sacred Ibis	Threskiornis aethiopicus	
Hadada Ibis	Bostrychia hagedash	
 
PELECANIFORMES: Ardeidae

Little Bittern	Ixobrychus minutus	
White-backed Night Heron	Gorsachius leuconotus	
Black-crowned Night Heron	Nycticorax nycticorax	
Striated Heron	Butorides striata	
Squacco Heron	Ardeola ralloides	
Malagasy Pond Heron	Ardeola idae	Endangered
Western Cattle Egret	Bubulcus ibis	
Grey Heron	Ardea cinerea	
Black-headed Heron	Ardea melanocephala	
Goliath Heron	Ardea goliath	
Purple Heron	Ardea purpurea	
Great Egret	Ardea alba	
Intermediate Egret	Ardea intermedia	
Black Heron	Egretta ardesiaca	
Little Egret	Egretta garzetta	
Western Reef Heron	Egretta gularis	
Dimorphic Egret	Egretta dimorpha	
 
ACCIPITRIFORMES: Pandionidae

Western Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

Black-winged Kite	Elanus caeruleus	
African Harrier-Hawk	Polyboroides typus	
Palm-nut Vulture	Gypohierax angolensis	
African Cuckoo-Hawk	Aviceda cuculoides	
White-headed Vulture	Trigonoceps occipitalis	Critically endangered
Black-chested Snake Eagle	Circaetus pectoralis	
Western Banded Snake Eagle	Circaetus cinerascens	
Bateleur	Terathopius ecaudatus	Near-threatened
Bat Hawk	Macheiramphus alcinus	
Booted Eagle	Hieraaetus pennatus	
Tawny Eagle	Aquila rapax	Vulnerable
Steppe Eagle	Aquila nipalensis	Endangered
African Goshawk	Accipiter tachiro	
Shikra	Accipiter badius	
Black Sparrowhawk	Accipiter melanoleucus	
Western Marsh Harrier	Circus aeruginosus	
Yellow-billed Kite	Milvus aegyptius	
African Fish Eagle	Haliaeetus vocifer	
 
STRIGIFORMES: Tytonidae

Western Barn Owl	Tyto alba	
 
STRIGIFORMES: Strigidae

Pemba Scops Owl	Otus pembaensis	Endemic Vulnerable
 
COLIIFORMES: Coliidae

Speckled Mousebird	Colius striatus	Extirpated
 
BUCEROTIFORMES: Bucerotidae

Crowned Hornbill	Lophoceros alboterminatus	
 
CORACIIFORMES: Coraciidae

European Roller	Coracias garrulus	
Broad-billed Roller	Eurystomus glaucurus	
 
CORACIIFORMES: Alcedinidae

Grey-headed Kingfisher	Halcyon leucocephala	
Striped Kingfisher	Halcyon chelicuti	
Mangrove Kingfisher	Halcyon senegaloides	
African Pygmy Kingfisher	Ispidina picta	
Malachite Kingfisher	Corythornis cristatus	
Pied Kingfisher	Ceryle rudis	
 
CORACIIFORMES: Meropidae

Blue-cheeked Bee-eater	Merops persicus	
Olive Bee-eater	Merops superciliosus	
 
PICIFORMES: Lybiidae

Green Tinkerbird	Pogoniulus simplex	
Yellow-rumped Tinkerbird	Pogoniulus bilineatus	
 
FALCONIFORMES: Falconidae

Dickinson's Kestrel	Falco dickinsoni	
Amur Falcon	Falco amurensis	
Eurasian Hobby	Falco subbuteo	
Peregrine Falcon	Falco peregrinus	
 
PSITTACIFORMES: Psittacidae

Brown-headed Parrot	Poicephalus cryptoxanthus	
 
PASSERIFORMES: Platysteiridae

Pale Batis	Batis soror	
 
PASSERIFORMES: Oriolidae

African Golden Oriole	Oriolus auratus	
Eurasian Golden Oriole	Oriolus oriolus	
 
PASSERIFORMES: Dicruridae

Fork-tailed Drongo	Dicrurus adsimilis	
Common Square-tailed Drongo	Dicrurus ludwigii	
 
PASSERIFORMES: Monarchidae

African Paradise Flycatcher	Terpsiphone viridis	
 
PASSERIFORMES: Corvidae

House Crow	Corvus splendens	
Pied Crow	Corvus albus	
 
PASSERIFORMES: Pycnonotidae

Dark-capped Bulbul	Pycnonotus tricolor	
 
PASSERIFORMES: Hirundinidae

Mascarene Martin	Phedina borbonica	
Barn Swallow	Hirundo rustica	
Angolan Swallow	Hirundo angolensis	
Wire-tailed Swallow	Hirundo smithii	
Lesser Striped Swallow	Cecropis abyssinica	
 
PASSERIFORMES: Acrocephalidae

Lesser Swamp Warbler	Acrocephalus gracilirostris	
Eurasian Reed Warbler	Acrocephalus scirpaceus	
African Reed Warbler	Acrocephalus baeticatus	
Olive-tree Warbler	Hippolais olivetorum	
 
PASSERIFORMES: Locustellidae

River Warbler	Locustella fluviatilis	
 
PASSERIFORMES: Cisticolidae

Zitting Cisticola	Cisticola juncidis	
Yellow-breasted Apalis	Apalis flavida	
Green-backed Camaroptera	Camaroptera brachyura	
 
PASSERIFORMES: Zosteropidae

Pemba White-eye	Zosterops vaughani	Endemic
 
PASSERIFORMES: Sturnidae

Black-bellied Starling	Notopholia corusca	
Violet-backed Starling	Cinnyricinclus leucogaster	
 
PASSERIFORMES: Muscicapidae

Spotted Flycatcher	Muscicapa striata	
Northern Wheatear	Oenanthe oenanthe	
 
PASSERIFORMES: Nectariniidae

Collared Sunbird	Hedydipna collaris	
Olive Sunbird	Cyanomitra olivacea	
Grey Sunbird	Cyanomitra veroxii	
Scarlet-chested Sunbird	Chalcomitra senegalensis	
Purple-banded Sunbird	Cinnyris bifasciatus	
Violet-breasted Sunbird	Cinnyris chalcomelas	
Pemba Sunbird	Cinnyris pembae	Endemic
 
PASSERIFORMES: Passeridae

House Sparrow	Passer domesticus	Introduced species
Northern Grey-headed Sparrow	Passer griseus	
Southern Grey-headed Sparrow	Passer diffusus	
 
PASSERIFORMES: Ploceidae

Thick-billed Weaver	Amblyospiza albifrons	
Village Weaver	Ploceus cucullatus	
Dark-backed Weaver	Ploceus bicolor	
Red-headed Quelea	Quelea erythrops	
Zanzibar Red Bishop	Euplectes nigroventris	
Black-winged Red Bishop	Euplectes hordeaceus	
 
PASSERIFORMES: Estrildidae

Bronze Mannikin	Spermestes cucullata	
Black-and-white Mannikin	Spermestes bicolor	
Red-backed Mannikin	Spermestes nigriceps	
Java Sparrow	Lonchura oryzivora	Introduced species Endangered
Green Twinspot	Mandingoa nitidula	
Orange-breasted Waxbill	Amandava subflava	
 
PASSERIFORMES: Viduidae

Cuckoo-finch	Anomalospiza imberbis	
 
PASSERIFORMES: Motacillidae

Western Yellow Wagtail	Motacilla flava	
African Pied Wagtail	Motacilla aguimp	
African Pipit	Anthus cinnamomeus
