
 
STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
White-backed Duck	Thalassornis leuconotus	
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	
African Pygmy Goose	Nettapus auritus	
Garganey	Spatula querquedula	
Blue-billed Teal	Spatula hottentota	
Cape Shoveler	Spatula smithii	Rare/Accidental
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
African Black Duck	Anas sparsa	
Yellow-billed Duck	Anas undulata	
Cape Teal	Anas capensis	
Red-billed Teal	Anas erythrorhyncha	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Southern Pochard	Netta erythrophthalma	
Common Pochard	Aythya ferina	Rare/Accidental
Tufted Duck	Aythya fuligula	
Maccoa Duck	Oxyura maccoa	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
Crested Guineafowl	Guttera pucherani	
Vulturine Guineafowl	Acryllium vulturinum	
 
GALLIFORMES: Phasianidae

Latham's Francolin	Peliperdix lathami	
Coqui Francolin	Peliperdix coqui	
Ring-necked Francolin	Scleroptila streptophora	
Red-winged Francolin	Scleroptila levaillantii	
Shelley's Francolin	Scleroptila shelleyi	
Crested Francolin	Dendroperdix sephaena	
Scaly Spurfowl	Pternistis squamatus	
Hildebrandt's Spurfowl	Pternistis hildebrandti	
Yellow-necked Spurfowl	Pternistis leucoscepus	
Grey-breasted Spurfowl	Pternistis rufopictus	Endemic
Red-necked Spurfowl	Pternistis afer	
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	
Blue Quail	Excalfactoria adansonii	
Udzungwa Forest Partridge	Xenoperdix udzungwensis	Endemic
Rubeho Forest Partridge	Xenoperdix obscuratus	Endemic
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
Sombre Nightjar	Caprimulgus fraenatus	
Rufous-cheeked Nightjar	Caprimulgus rufigena	Rare/Accidental
Nubian Nightjar	Caprimulgus nubicus	
Donaldson Smith's Nightjar	Caprimulgus donaldsoni	
Fiery-necked Nightjar	Caprimulgus pectoralis	
Montane Nightjar	Caprimulgus poliocephalus	
Swamp Nightjar	Caprimulgus natalensis	
Plain Nightjar	Caprimulgus inornatus	
Freckled Nightjar	Caprimulgus tristigma	
Slender-tailed Nightjar	Caprimulgus clarus	
Square-tailed Nightjar	Caprimulgus fossii	
Standard-winged Nightjar	Caprimulgus longipennis	Rare/Accidental
Pennant-winged Nightjar	Caprimulgus vexillarius	
 
APODIFORMES: Apodidae

Scarce Swift	Schoutedenapus myoptilus	
Mottled Spinetail	Telacanthura ussheri	
Böhm's Spinetail	Neafrapus boehmi	
African Palm Swift	Cypsiurus parvus	
Alpine Swift	Tachymarptis melba	
Mottled Swift	Tachymarptis aequatorialis	
Common Swift	Apus apus	
Nyanza Swift	Apus niansae	
African Black Swift	Apus barbatus	
Forbes-Watson's Swift	Apus berliozi	Rare/Accidental
Little Swift	Apus affinis	
Horus Swift	Apus horus	
White-rumped Swift	Apus caffer	
 
MUSOPHAGIFORMES: Musophagidae

Great Blue Turaco	Corythaeola cristata	
Bare-faced Go-away-bird	Crinifer personatus	
Grey Go-away-bird	Crinifer concolor	
White-bellied Go-away-bird	Crinifer leucogaster	
Eastern Plantain-eater	Crinifer zonurus	
Purple-crested Turaco	Gallirex porphyreolophus	
Ross's Turaco	Tauraco rossae	
Livingstone's Turaco	Tauraco livingstonii	
Schalow's Turaco	Tauraco schalowi	
Black-billed Turaco	Tauraco schuettii	
Fischer's Turaco	Tauraco fischeri	
Hartlaub's Turaco	Tauraco hartlaubi	
 
OTIDIFORMES: Otididae

Kori Bustard	Ardeotis kori	
Denham's Bustard	Neotis denhami	
White-bellied Bustard	Eupodotis senegalensis	
Buff-crested Bustard	Lophotis gindiana	
