
 
STRUTHIONIFORMES: Struthionidae

Somali Ostrich	Struthio molybdophanes	Vulnerable
Common Ostrich	Struthio camelus	
 
ANSERIFORMES: Anatidae

White-backed Duck	Thalassornis leuconotus	
White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
African Pygmy Goose	Nettapus auritus	
Maccoa Duck	Oxyura maccoa	Endangered
Spur-winged Goose	Plectropterus gambensis	
Egyptian Goose	Alopochen aegyptiaca	
Common Shelduck	Tadorna tadorna	Rare/Accidental
Ruddy Shelduck	Tadorna ferruginea	
Knob-billed Duck	Sarkidiornis melanotos	
Blue-winged Goose	Cyanochen cyanoptera	Endemic Near-threatened
Southern Pochard	Netta erythrophthalma	
Ferruginous Duck	Aythya nyroca	Near-threatened
Common Pochard	Aythya ferina	Vulnerable
Tufted Duck	Aythya fuligula	
Garganey	Spatula querquedula	
Blue-billed Teal	Spatula hottentota	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
African Black Duck	Anas sparsa	
Yellow-billed Duck	Anas undulata	
Mallard	Anas platyrhynchos	
Cape Teal	Anas capensis	
Red-billed Teal	Anas erythrorhyncha	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
Vulturine Guineafowl	Acryllium vulturinum	
 
GALLIFORMES: Odontophoridae

Stone Partridge	Ptilopachus petrosus	
 
GALLIFORMES: Phasianidae

Coqui Francolin	Campocolinus coqui	
Moorland Francolin	Scleroptila psilolaema	Near-threatened
Orange River Francolin	Scleroptila gutturalis	
Crested Francolin	Ortygornis sephaena	
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	
Chestnut-naped Spurfowl	Pternistis castaneicollis	
Erckel's Spurfowl	Pternistis erckelii	
Scaly Spurfowl	Pternistis squamatus	
Harwood's Spurfowl	Pternistis harwoodi	Endemic Near-threatened
Clapperton's Spurfowl	Pternistis clappertoni	
Yellow-necked Spurfowl	Pternistis leucoscepus	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Lesser Flamingo	Phoeniconaias minor	Near-threatened
Greater Flamingo	Phoenicopterus roseus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
 
MUSOPHAGIFORMES: Musophagidae

Bare-faced Go-away-bird	Crinifer personatus	
White-bellied Go-away-bird	Crinifer leucogaster	
Eastern Plantain-eater	Crinifer zonurus	
Ruspoli's Turaco	Menelikornis ruspolii	Endemic Near-threatened
White-cheeked Turaco	Menelikornis leucotis	
 
OTIDIFORMES: Otididae

Arabian Bustard	Ardeotis arabs	Near-threatened
Kori Bustard	Ardeotis kori	Near-threatened
Denham's Bustard	Neotis denhami	Rare/Accidental Near-threatened
Heuglin's Bustard	Neotis heuglinii	
White-bellied Bustard	Eupodotis senegalensis	
Little Brown Bustard	Heterotetrax humilis	Near-threatened
Buff-crested Bustard	Lophotis gindiana	
Hartlaub's Bustard	Lissotis hartlaubii	
Black-bellied Bustard	Lissotis melanogaster	
 
CUCULIFORMES: Cuculidae

Senegal Coucal	Centropus senegalensis	
Blue-headed Coucal	Centropus monachus	
White-browed Coucal	Centropus superciliosus	
Black Coucal	Centropus grillii	
Green Malkoha	Ceuthmochares australis	
Great Spotted Cuckoo	Clamator glandarius	
Levaillant's Cuckoo	Clamator levaillantii	
Jacobin Cuckoo	Clamator jacobinus	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
African Emerald Cuckoo	Chrysococcyx cupreus	
Black Cuckoo	Cuculus clamosus	
Red-chested Cuckoo	Cuculus solitarius	
African Cuckoo	Cuculus gularis	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Chestnut-bellied Sandgrouse	Pterocles exustus	
Spotted Sandgrouse	Pterocles senegallus	
Yellow-throated Sandgrouse	Pterocles gutturalis	
Black-faced Sandgrouse	Pterocles decoratus	
Lichtenstein's Sandgrouse	Pterocles lichtensteinii	
Four-banded Sandgrouse	Pterocles quadricinctus	
 
COLUMBIFORMES: Columbidae

Laughing Dove	Spilopelia senegalensis	
Lemon Dove	Aplopelia larvata	
European Turtle Dove	Streptopelia turtur	Vulnerable
Dusky Turtle Dove	Streptopelia lugens	
Vinaceous Dove	Streptopelia vinacea	
Ring-necked Dove	Streptopelia capicola	
Red-eyed Dove	Streptopelia semitorquata	
Mourning Collared Dove	Streptopelia decipiens	
White-winged Collared Dove	Streptopelia reichenowi	
African Collared Dove	Streptopelia roseogrisea	
Eastern Bronze-naped Pigeon	Columba delegorguei	Rare/Accidental
African Olive Pigeon	Columba arquatrix	
Speckled Pigeon	Columba guinea	
White-collared Pigeon	Columba albitorques	
Rock Dove	Columba livia	Introduced species
Namaqua Dove	Oena capensis	
Tambourine Dove	Turtur tympanistria	
Blue-spotted Wood Dove	Turtur afer	
Emerald-spotted Wood Dove	Turtur chalcospilos	
Black-billed Wood Dove	Turtur abyssinicus	
Bruce's Green Pigeon	Treron waalia	
African Green Pigeon	Treron calvus	
 
GRUIFORMES: Gruidae

Grey Crowned Crane	Balearica regulorum	Rare/Accidental Endangered
Black Crowned Crane	Balearica pavonina	Vulnerable
Wattled Crane	Grus carunculata	Vulnerable
Demoiselle Crane	Grus virgo	Rare/Accidental
Common Crane	Grus grus	
 
GRUIFORMES: Heliornithidae

African Finfoot	Podica senegalensis	
 
GRUIFORMES: Sarothruridae

Buff-spotted Flufftail	Sarothrura elegans	Rare/Accidental
Red-chested Flufftail	Sarothrura rufa	
White-winged Flufftail	Sarothrura ayresi	Critically endangered
 
GRUIFORMES: Rallidae

African Rail	Rallus caerulescens	
Rouget's Rail	Rougetius rougetii	Endemic (country/region) Near-threatened
African Crake	Crecopsis egregia	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Lesser Moorhen	Paragallinula angulata	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	Rare/Accidental
Red-knobbed Coot	Fulica cristata	
Allen's Gallinule	Porphyrio alleni	
Purple Swamphen	Porphyrio porphyrio	
Black Crake	Zapornia flavirostra	
Little Crake	Zapornia parva	Rare/Accidental
Baillon's Crake	Zapornia pusilla	
 
CHARADRIIFORMES: Burhinidae

Spotted Thick-knee	Burhinus capensis	
Water Thick-knee	Burhinus vermiculatus	
Senegal Thick-knee	Burhinus senegalensis	
Eurasian Stone-curlew	Burhinus oedicnemus	
 
CHARADRIIFORMES: Pluvianidae

Egyptian Plover	Pluvianus aegyptius	
 
CHARADRIIFORMES: Recurvirostridae

Pied Avocet	Recurvirostra avosetta	
Black-winged Stilt	Himantopus himantopus	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
European Golden Plover	Pluvialis apricaria	Rare/Accidental
Pacific Golden Plover	Pluvialis fulva	
Common Ringed Plover	Charadrius hiaticula	
Three-banded Plover	Thinornis tricollaris	
Little Ringed Plover	Thinornis dubius	
Long-toed Lapwing	Vanellus crassirostris	
Spur-winged Lapwing	Vanellus spinosus	
Black-headed Lapwing	Vanellus tectus	
Black-winged Lapwing	Vanellus melanopterus	
Crowned Lapwing	Vanellus coronatus	
African Wattled Lapwing	Vanellus senegallus	
Spot-breasted Lapwing	Vanellus melanocephalus	Endemic
