
 
ANSERIFORMES: Anatidae

Mauritius Sheldgoose	Alopochen mauritiana	Endemic Extinct
Garganey	Spatula querquedula	
Meller's Duck	Anas melleri	Introduced species Endangered
Mallard	Anas platyrhynchos	Rare/Accidental
Mascarene Teal	Anas theodori	Endemic Extinct
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	Introduced species
 
GALLIFORMES: Phasianidae

Common Pheasant	Phasianus colchicus	Introduced species
Grey Francolin	Ortygornis pondicerianus	Introduced species
Chinese Francolin	Francolinus pintadeanus	Introduced species
King Quail	Synoicus chinensis	Extirpated
Common Quail	Coturnix coturnix	Introduced species
Jungle Bush Quail	Perdicula asiatica	Extirpated
 
PHOENICOPTERIFORMES: Phoenicopteridae

Lesser Flamingo	Phoeniconaias minor	Rare/Accidental Near-threatened
Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Spotted Dove	Spilopelia chinensis	Introduced species
Laughing Dove	Spilopelia senegalensis	Rare/Accidental
Malagasy Turtle Dove	Nesoenas picturatus	Introduced species
Pink Pigeon	Nesoenas mayeri	Endemic (country/region)
Rodrigues Pigeon	Nesoenas rodericanus	Endemic Extinct
Rock Dove	Columba livia	Introduced species
Zebra Dove	Geopelia striata	Introduced species
Dodo	Raphus cucullatus	Endemic Extinct
Rodrigues Solitaire	Pezophaps solitaria	Endemic Extinct
Mauritius Blue Pigeon	Alectroenas nitidissimus	Endemic Extinct
 
GRUIFORMES: Rallidae

White-throated Rail	Dryolimnas cuvieri	
Red Rail	Aphanapteryx bonasia	Endemic Extinct
Rodrigues Rail	Erythromachus leguati	Endemic Extinct
Buff-banded Rail	Gallirallus philippensis	Rare/Accidental
Common Moorhen	Gallinula chloropus	
Mascarene Coot	Fulica newtonii	Endemic Extinct
Allen's Gallinule	Porphyrio alleni	Rare/Accidental
Purple Swamphen	Porphyrio porphyrio	Extirpated
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Thinornis dubius	Rare/Accidental
Tibetan Sand Plover	Anarhynchus atrifrons	Rare/Accidental
Greater Sand Plover	Anarhynchus leschenaultii	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Terek Sandpiper	Xenus cinereus	
Common Sandpiper	Actitis hypoleucos	Rare/Accidental
Green Sandpiper	Tringa ochropus	Rare/Accidental
Grey-tailed Tattler	Tringa brevipes	Rare/Accidental
Marsh Sandpiper	Tringa stagnatilis	Rare/Accidental
Wood Sandpiper	Tringa glareola	Rare/Accidental
Common Greenshank	Tringa nebularia	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Great Knot	Calidris tenuirostris	Rare/Accidental Endangered
Ruff	Calidris pugnax	Rare/Accidental
Sharp-tailed Sandpiper	Calidris acuminata	Rare/Accidental Vulnerable
Broad-billed Sandpiper	Calidris falcinellus	Rare/Accidental Vulnerable
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Sanderling	Calidris alba	
