STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	
Somali Ostrich	Struthio molybdophanes	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
White-backed Duck	Thalassornis leuconotus	Rare/Accidental
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
African Pygmy Goose	Nettapus auritus	
Garganey	Spatula querquedula	
Blue-billed Teal	Spatula hottentota	Rare/Accidental
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	Rare/Accidental
Yellow-billed Duck	Anas undulata	Rare/Accidental
Red-billed Teal	Anas erythrorhyncha	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Southern Pochard	Netta erythrophthalma	
Tufted Duck	Aythya fuligula	Rare/Accidental
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
Crested Guineafowl	Guttera pucherani	
Vulturine Guineafowl	Acryllium vulturinum	
 
GALLIFORMES: Phasianidae

Orange River Francolin	Scleroptila gutturalis	
Crested Francolin	Dendroperdix sephaena	
Chestnut-naped Spurfowl	Pternistis castaneicollis	
Yellow-necked Spurfowl	Pternistis leucoscepus	
Common Quail	Coturnix coturnix	Rare/Accidental
Harlequin Quail	Coturnix delegorguei	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
Sombre Nightjar	Caprimulgus fraenatus	
Egyptian Nightjar	Caprimulgus aegyptius	Rare/Accidental
Nubian Nightjar	Caprimulgus nubicus	
Donaldson Smith's Nightjar	Caprimulgus donaldsoni	
Plain Nightjar	Caprimulgus inornatus	
Star-spotted Nightjar	Caprimulgus stellatus	Rare/Accidental
Slender-tailed Nightjar	Caprimulgus clarus	
Standard-winged Nightjar	Caprimulgus longipennis	Rare/Accidental
Pennant-winged Nightjar	Caprimulgus vexillarius	Rare/Accidental
 
APODIFORMES: Apodidae

Mottled Spinetail	Telacanthura ussheri	Rare/Accidental
Böhm's Spinetail	Neafrapus boehmi	Rare/Accidental
African Palm Swift	Cypsiurus parvus	
Alpine Swift	Tachymarptis melba	
Common Swift	Apus apus	Rare/Accidental
Nyanza Swift	Apus niansae	
Forbes-Watson's Swift	Apus berliozi	
Little Swift	Apus affinis	
White-rumped Swift	Apus caffer	
 
MUSOPHAGIFORMES: Musophagidae

White-bellied Go-away-bird	Crinifer leucogaster	
Fischer's Turaco	Tauraco fischeri	
 
OTIDIFORMES: Otididae

Arabian Bustard	Ardeotis arabs	Rare/Accidental
Kori Bustard	Ardeotis kori	
Heuglin's Bustard	Neotis heuglinii	
White-bellied Bustard	Eupodotis senegalensis	
Little Brown Bustard	Eupodotis humilis	
Buff-crested Bustard	Lophotis gindiana	
Black-bellied Bustard	Lissotis melanogaster	
Hartlaub's Bustard	Lissotis hartlaubii	
 
CUCULIFORMES: Cuculidae

White-browed Coucal	Centropus superciliosus	
Green Malkoha	Ceuthmochares australis	
Great Spotted Cuckoo	Clamator glandarius	
Levaillant's Cuckoo	Clamator levaillantii	Rare/Accidental
Jacobin Cuckoo	Clamator jacobinus	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
Black Cuckoo	Cuculus clamosus	Rare/Accidental
Red-chested Cuckoo	Cuculus solitarius	Rare/Accidental
Lesser Cuckoo	Cuculus poliocephalus	Rare/Accidental
African Cuckoo	Cuculus gularis	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Chestnut-bellied Sandgrouse	Pterocles exustus	
Spotted Sandgrouse	Pterocles senegallus	
Black-faced Sandgrouse	Pterocles decoratus	
Lichtenstein's Sandgrouse	Pterocles lichtensteinii	
 
