STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	
Somali Ostrich	Struthio molybdophanes	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
White-backed Duck	Thalassornis leuconotus	
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
African Pygmy Goose	Nettapus auritus	
Garganey	Spatula querquedula	
Blue-billed Teal	Spatula hottentota	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
African Black Duck	Anas sparsa	
Yellow-billed Duck	Anas undulata	
Mallard	Anas platyrhynchos	
Cape Teal	Anas capensis	
Red-billed Teal	Anas erythrorhyncha	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Southern Pochard	Netta erythrophthalma	
Common Pochard	Aythya ferina	Rare/Accidental
Ferruginous Duck	Aythya nyroca	
Tufted Duck	Aythya fuligula	
Maccoa Duck	Oxyura maccoa	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
Crested Guineafowl	Guttera pucherani	
Vulturine Guineafowl	Acryllium vulturinum	
 
GALLIFORMES: Odontophoridae

Stone Partridge	Ptilopachus petrosus	
 
GALLIFORMES: Phasianidae

Coqui Francolin	Peliperdix coqui	
Ring-necked Francolin	Scleroptila streptophora	
Red-winged Francolin	Scleroptila levaillantii	
Shelley's Francolin	Scleroptila shelleyi	
Moorland Francolin	Scleroptila psilolaema	
Orange River Francolin	Scleroptila gutturalis	
Crested Francolin	Dendroperdix sephaena	
Chestnut-naped Spurfowl	Pternistis castaneicollis	
Black-fronted Spurfowl	Pternistis atrifrons	
Jackson's Spurfowl	Pternistis jacksoni	Endemic
Scaly Spurfowl	Pternistis squamatus	
Hildebrandt's Spurfowl	Pternistis hildebrandti	
Yellow-necked Spurfowl	Pternistis leucoscepus	
Red-necked Spurfowl	Pternistis afer	
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	
Blue Quail	Excalfactoria adansonii	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
Sombre Nightjar	Caprimulgus fraenatus	
Nubian Nightjar	Caprimulgus nubicus	
Donaldson Smith's Nightjar	Caprimulgus donaldsoni	
Black-shouldered Nightjar	Caprimulgus nigriscapularis	Rare/Accidental
Fiery-necked Nightjar	Caprimulgus pectoralis	
Montane Nightjar	Caprimulgus poliocephalus	
Swamp Nightjar	Caprimulgus natalensis	
Plain Nightjar	Caprimulgus inornatus	
Star-spotted Nightjar	Caprimulgus stellatus	
Freckled Nightjar	Caprimulgus tristigma	
Long-tailed Nightjar	Caprimulgus climacurus	Rare/Accidental
Slender-tailed Nightjar	Caprimulgus clarus	
Square-tailed Nightjar	Caprimulgus fossii	
Standard-winged Nightjar	Caprimulgus longipennis	
Pennant-winged Nightjar	Caprimulgus vexillarius	
 
APODIFORMES: Apodidae

Scarce Swift	Schoutedenapus myoptilus	
Mottled Spinetail	Telacanthura ussheri	
Sabine's Spinetail	Rhaphidura sabini	
Böhm's Spinetail	Neafrapus boehmi	Rare/Accidental
African Palm Swift	Cypsiurus parvus	
Alpine Swift	Tachymarptis melba	
Mottled Swift	Tachymarptis aequatorialis	
Common Swift	Apus apus	
Nyanza Swift	Apus niansae	
African Black Swift	Apus barbatus	
Forbes-Watson's Swift	Apus berliozi	
Little Swift	Apus affinis	
Horus Swift	Apus horus	
White-rumped Swift	Apus caffer	
 
MUSOPHAGIFORMES: Musophagidae

Great Blue Turaco	Corythaeola cristata	
Bare-faced Go-away-bird	Crinifer personatus	
White-bellied Go-away-bird	Crinifer leucogaster	
Eastern Plantain-eater	Crinifer zonurus	
