
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	Rare/Accidental
Muscovy Duck	Cairina moschata	Introduced species
Knob-billed Duck	Sarkidiornis melanotos	Rare/Accidental
Garganey	Spatula querquedula	Rare/Accidental
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	Extirpated
 
GALLIFORMES: Phasianidae

Red Junglefowl	Gallus gallus	Introduced species
Common Quail	Coturnix coturnix	Rare/Accidental
 
PHOENICOPTERIFORMES: Phoenicopteridae

Lesser Flamingo	Phoeniconaias minor	Rare/Accidental Near-threatened
Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
 
CUCULIFORMES: Cuculidae

Madagascar Cuckoo	Cuculus rochii	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Malagasy Turtle Dove	Nesoenas picturatus	Introduced species
Ring-necked Dove	Streptopelia capicola	Introduced species
Comoro Olive Pigeon	Columba pollenii	Endemic (country/region) Near-threatened
Rock Dove	Columba livia	Introduced species
Tambourine Dove	Turtur tympanistria	Introduced species
Comoro Blue Pigeon	Alectroenas sganzini	Endemic (country/region) Near-threatened
 
GRUIFORMES: Rallidae

White-throated Rail	Dryolimnas cuvieri	Rare/Accidental
Common Moorhen	Gallinula chloropus	
Allen's Gallinule	Porphyrio alleni	Rare/Accidental
Baillon's Crake	Zapornia pusilla	Rare/Accidental
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Rare/Accidental Vulnerable
Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
Common Ringed Plover	Charadrius hiaticula	Rare/Accidental
Three-banded Plover	Thinornis tricollaris	Rare/Accidental
Senegal Lapwing	Vanellus lugubris	Rare/Accidental
Caspian Plover	Anarhynchus asiaticus	Rare/Accidental
Tibetan Sand Plover	Anarhynchus atrifrons	
Greater Sand Plover	Anarhynchus leschenaultii	Rare/Accidental
White-fronted Plover	Anarhynchus marginatus	Rare/Accidental
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	Rare/Accidental
Eurasian Curlew	Numenius arquata	Rare/Accidental Near-threatened
Bar-tailed Godwit	Limosa lapponica	Rare/Accidental Near-threatened
Terek Sandpiper	Xenus cinereus	Rare/Accidental
Common Sandpiper	Actitis hypoleucos	
Marsh Sandpiper	Tringa stagnatilis	Rare/Accidental
Wood Sandpiper	Tringa glareola	Rare/Accidental
Common Greenshank	Tringa nebularia	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	Rare/Accidental Near-threatened
Curlew Sandpiper	Calidris ferruginea	Rare/Accidental Vulnerable
Sanderling	Calidris alba	Rare/Accidental
Little Stint	Calidris minuta	Rare/Accidental
 
CHARADRIIFORMES: Dromadidae

Crab-plover	Dromas ardeola	Rare/Accidental
 
CHARADRIIFORMES: Glareolidae

Madagascar Pratincole	Glareola ocularis	Rare/Accidental Near-threatened
Black-winged Pratincole	Glareola nordmanni	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
Brown Skua	Stercorarius antarcticus	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Lesser Noddy	Anous tenuirostris	Rare/Accidental
Sooty Tern	Onychoprion fuscatus	Rare/Accidental
Bridled Tern	Onychoprion anaethetus	Rare/Accidental
Saunders's Tern	Sternula saundersi	
Caspian Tern	Hydroprogne caspia	Rare/Accidental
White-winged Tern	Chlidonias leucopterus	Rare/Accidental
Greater Crested Tern	Thalasseus bergii	Rare/Accidental
Lesser Crested Tern	Thalasseus bengalensis	Rare/Accidental
Common Tern	Sterna hirundo	Rare/Accidental
White-cheeked Tern	Sterna repressa	Rare/Accidental
Black-naped Tern	Sterna sumatrana	Rare/Accidental
Roseate Tern	Sterna dougallii	Rare/Accidental
Grey-headed Gull	Chroicocephalus cirrocephalus	Rare/Accidental
Lesser Black-backed Gull	Larus fuscus	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-tailed Tropicbird	Phaethon rubricauda	Rare/Accidental
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Hydrobatidae

Matsudaira's Storm Petrel	Hydrobates matsudairae	Rare/Accidental Vulnerable
 
PROCELLARIIFORMES: Procellariidae

Bulwer's Petrel	Bulweria bulwerii	Rare/Accidental
Jouanin's Petrel	Bulweria fallax	Rare/Accidental Near-threatened
Wedge-tailed Shearwater	Ardenna pacifica	Rare/Accidental
Persian Shearwater	Puffinus persicus	Rare/Accidental
Tropical Shearwater	Puffinus bailloni	
Trindade Petrel	Pterodroma arminjoniana	Rare/Accidental Vulnerable
 
SULIFORMES: Fregatidae

Lesser Frigatebird	Fregata ariel	Rare/Accidental
Great Frigatebird	Fregata minor	Rare/Accidental
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
Masked Booby	Sula dactylatra	
 
SULIFORMES: Phalacrocoracidae

Reed Cormorant	Microcarbo africanus	Rare/Accidental
 
PELECANIFORMES: Threskiornithidae

African Sacred Ibis	Threskiornis aethiopicus	
Malagasy Sacred Ibis	Threskiornis bernieri	Rare/Accidental Endangered
 
PELECANIFORMES: Ardeidae

Black-crowned Night Heron	Nycticorax nycticorax	
Little Heron	Butorides atricapilla	
Squacco Heron	Ardeola ralloides	Rare/Accidental
Malagasy Pond Heron	Ardeola idae	Endangered
Great Egret	Ardea alba	
Western Cattle Egret	Ardea ibis	
Humblot's Heron	Ardea humbloti	Rare/Accidental Endangered
Purple Heron	Ardea purpurea	Rare/Accidental
Black-headed Heron	Ardea melanocephala	Rare/Accidental
Grey Heron	Ardea cinerea	
 
APODIFORMES: Apodidae

Madagascar Spinetail	Zoonavena grandidieri	Rare/Accidental
Malagasy Palm Swift	Cypsiurus gracilis	
Alpine Swift	Tachymarptis melba	Rare/Accidental
Malagasy Black Swift	Apus balstoni	
African Black Swift	Apus barbatus	
 
STRIGIFORMES: Tytonidae

Western Barn Owl	Tyto alba	
 
STRIGIFORMES: Strigidae

Anjouan Scops Owl	Otus capnodes	Endangered
Mayotte Scops Owl	Otus mayottensis	Endemic
 
ACCIPITRIFORMES: Pandionidae

Osprey	Pandion haliaetus	Rare/Accidental
 
ACCIPITRIFORMES: Accipitridae

Frances's Sparrowhawk	Tachyspiza francesiae	
Malagasy Harrier	Circus macrosceles	Rare/Accidental Endangered
Black Kite	Milvus migrans	
 
LEPTOSOMIFORMES: Leptosomidae

Cuckoo-roller	Leptosomus discolor	
 
CORACIIFORMES: Coraciidae

Broad-billed Roller	Eurystomus glaucurus	Rare/Accidental
European Roller	Coracias garrulus	Rare/Accidental
 
CORACIIFORMES: Meropidae

Olive Bee-eater	Merops superciliosus	
Blue-cheeked Bee-eater	Merops persicus	
 
CORACIIFORMES: Alcedinidae

Malagasy Kingfisher	Corythornis vintsioides	
 
FALCONIFORMES: Falconidae

Lesser Kestrel	Falco naumanni	Rare/Accidental
Amur Falcon	Falco amurensis	Rare/Accidental
Eleonora's Falcon	Falco eleonorae	Rare/Accidental
Sooty Falcon	Falco concolor	Rare/Accidental Vulnerable
Red-necked Falcon	Falco chicquera	Rare/Accidental
Peregrine Falcon	Falco peregrinus	
 
PSITTACIFORMES: Psittaculidae

Rose-ringed Parakeet	Psittacula krameri	Extirpated
Grey-headed Lovebird	Agapornis canus	Introduced species
Red-headed Lovebird	Agapornis pullarius	Introduced species
 
PASSERIFORMES: Oriolidae

Eurasian Golden Oriole	Oriolus oriolus	Rare/Accidental
 
PASSERIFORMES: Dicruridae

Mayotte Drongo	Dicrurus waldenii	Endemic Vulnerable
 
PASSERIFORMES: Monarchidae

Malagasy Paradise Flycatcher	Terpsiphone mutata	
 
PASSERIFORMES: Corvidae

Pied Crow	Corvus albus	Introduced species
House Crow	Corvus splendens	Uncertain origin
 
PASSERIFORMES: Hirundinidae

Mascarene Martin	Phedina borbonica	Rare/Accidental
Barn Swallow	Hirundo rustica	Rare/Accidental
Western House Martin	Delichon urbicum	Rare/Accidental
 
PASSERIFORMES: Pycnonotidae

Red-whiskered Bulbul	Pycnonotus jocosus	Introduced species
Malagasy Bulbul	Hypsipetes madagascariensis	
 
PASSERIFORMES: Zosteropidae

Malagasy White-eye	Zosterops maderaspatanus	
Mayotte White-eye	Zosterops mayottensis	Endemic
 
PASSERIFORMES: Sturnidae

Common Myna	Acridotheres tristis	Introduced species
 
PASSERIFORMES: Muscicapidae

Spotted Flycatcher	Muscicapa striata	Rare/Accidental
Northern Wheatear	Oenanthe oenanthe	Rare/Accidental
 
PASSERIFORMES: Nectariniidae

Mayotte Sunbird	Cinnyris coquerellii	Endemic
 
PASSERIFORMES: Ploceidae

Red Fody	Foudia madagascariensis	Introduced species
Comoro Fody	Foudia eminentissima	
 
PASSERIFORMES: Viduidae

Pin-tailed Whydah	Vidua macroura	Extirpated
 
PASSERIFORMES: Estrildidae

Bronze Mannikin	Spermestes cucullata	Introduced species
Java Sparrow	Padda oryzivora	Extirpated Endangered
Red Avadavat	Amandava amandava	Introduced species
 
PASSERIFORMES: Passeridae

House Sparrow	Passer domesticus	Introduced species
