STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
White-backed Duck	Thalassornis leuconotus	Rare/Accidental
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	
Hartlaub's Duck	Pteronetta hartlaubii	
African Pygmy Goose	Nettapus auritus	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	Rare/Accidental
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Ferruginous Duck	Aythya nyroca	Near-threatened
 
GALLIFORMES: Numididae

Black Guineafowl	Agelastes niger	
Helmeted Guineafowl	Numida meleagris	
Plumed Guineafowl	Guttera plumifera	
Crested Guineafowl	Guttera pucherani	
 
GALLIFORMES: Odontophoridae

Stone Partridge	Ptilopachus petrosus	
 
GALLIFORMES: Phasianidae

Latham's Francolin	Peliperdix lathami	
Schlegel's Francolin	Campocolinus schlegelii	
Blue Quail	Synoicus adansonii	
Common Quail	Coturnix coturnix	Rare/Accidental
Harlequin Quail	Coturnix delegorguei	
Scaly Spurfowl	Pternistis squamatus	
Heuglin's Spurfowl	Pternistis icterorhynchus	
Clapperton's Spurfowl	Pternistis clappertoni	
 
CAPRIMULGIFORMES: Caprimulgidae

Brown Nightjar	Veles binotatus	
Black-shouldered Nightjar	Caprimulgus nigriscapularis	
Swamp Nightjar	Caprimulgus natalensis	
Plain Nightjar	Caprimulgus inornatus	
Freckled Nightjar	Caprimulgus tristigma	
Bates's Nightjar	Caprimulgus batesi	
Long-tailed Nightjar	Caprimulgus climacurus	
Standard-winged Nightjar	Caprimulgus longipennis	
Pennant-winged Nightjar	Caprimulgus vexillarius	
 
APODIFORMES: Apodidae

Mottled Spinetail	Telacanthura ussheri	
Black Spinetail	Telacanthura melanopygia	
Sabine's Spinetail	Rhaphidura sabini	
Cassin's Spinetail	Neafrapus cassini	
African Palm Swift	Cypsiurus parvus	
Alpine Swift	Tachymarptis melba	Rare/Accidental
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	Rare/Accidental
Little Swift	Apus affinis	
White-rumped Swift	Apus caffer	
 
MUSOPHAGIFORMES: Musophagidae

Great Blue Turaco	Corythaeola cristata	
Western Plantain-eater	Crinifer piscator	
Eastern Plantain-eater	Crinifer zonurus	
Ross's Turaco	Tauraco rossae	
White-crested Turaco	Tauraco leucolophus	
Guinea Turaco	Tauraco persa	
Black-billed Turaco	Tauraco schuettii	
 
OTIDIFORMES: Otididae

Arabian Bustard	Ardeotis arabs	Rare/Accidental Near-threatened
Denham's Bustard	Neotis denhami	Near-threatened
White-bellied Bustard	Eupodotis senegalensis	
Black-bellied Bustard	Lissotis melanogaster	
 
CUCULIFORMES: Cuculidae

Gabon Coucal	Centropus anselli	
Senegal Coucal	Centropus senegalensis	
Blue-headed Coucal	Centropus monachus	
Black Coucal	Centropus grillii	
Blue Malkoha	Ceuthmochares aereus	
Great Spotted Cuckoo	Clamator glandarius	
Levaillant's Cuckoo	Clamator levaillantii	
Jacobin Cuckoo	Clamator jacobinus	
Thick-billed Cuckoo	Pachycoccyx audeberti	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
Yellow-throated Cuckoo	Chrysococcyx flavigularis	
African Emerald Cuckoo	Chrysococcyx cupreus	
Dusky Long-tailed Cuckoo	Cercococcyx mechowi	
Olive Long-tailed Cuckoo	Cercococcyx olivinus	Rare/Accidental
Black Cuckoo	Cuculus clamosus	
Red-chested Cuckoo	Cuculus solitarius	
African Cuckoo	Cuculus gularis	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Chestnut-bellied Sandgrouse	Pterocles exustus	
Four-banded Sandgrouse	Pterocles quadricinctus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Speckled Pigeon	Columba guinea	
Afep Pigeon	Columba unicincta	
