ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
White-backed Duck	Thalassornis leuconotus	
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	
Hartlaub's Duck	Pteronetta hartlaubii	
African Pygmy Goose	Nettapus auritus	
Northern Shoveler	Spatula clypeata	
African Black Duck	Anas sparsa	Rare/Accidental
Yellow-billed Duck	Anas undulata	
Common Pochard	Aythya ferina	Rare/Accidental
 
GALLIFORMES: Numididae

Black Guineafowl	Agelastes niger	
Helmeted Guineafowl	Numida meleagris	
Plumed Guineafowl	Guttera plumifera	
Crested Guineafowl	Guttera pucherani	
 
GALLIFORMES: Phasianidae

Latham's Francolin	Peliperdix lathami	
Coqui Francolin	Peliperdix coqui	
White-throated Francolin	Peliperdix albogularis	
Finsch's Francolin	Scleroptila finschi	
Scaly Spurfowl	Pternistis squamatus	
Heuglin's Spurfowl	Pternistis icterorhynchus	
Red-necked Spurfowl	Pternistis afer	
Harlequin Quail	Coturnix delegorguei	
Blue Quail	Excalfactoria adansonii	Rare/Accidental
 
CAPRIMULGIFORMES: Caprimulgidae

Brown Nightjar	Veles binotatus	
European Nightjar	Caprimulgus europaeus	Rare/Accidental
Rufous-cheeked Nightjar	Caprimulgus rufigena	Rare/Accidental
Black-shouldered Nightjar	Caprimulgus nigriscapularis	
Swamp Nightjar	Caprimulgus natalensis	
Bates's Nightjar	Caprimulgus batesi	
Long-tailed Nightjar	Caprimulgus climacurus	
Square-tailed Nightjar	Caprimulgus fossii	
Standard-winged Nightjar	Caprimulgus longipennis	Rare/Accidental
Pennant-winged Nightjar	Caprimulgus vexillarius	
 
APODIFORMES: Apodidae

Mottled Spinetail	Telacanthura ussheri	
Black Spinetail	Telacanthura melanopygia	
Sabine's Spinetail	Rhaphidura sabini	
Cassin's Spinetail	Neafrapus cassini	
African Palm Swift	Cypsiurus parvus	
Common Swift	Apus apus	
Nyanza Swift	Apus niansae	Rare/Accidental
Pallid Swift	Apus pallidus	Rare/Accidental
Little Swift	Apus affinis	
Horus Swift	Apus horus	
White-rumped Swift	Apus caffer	
Bates's Swift	Apus batesi	
 
MUSOPHAGIFORMES: Musophagidae

Great Blue Turaco	Corythaeola cristata	
Western Plantain-eater	Crinifer piscator	
Yellow-billed Turaco	Tauraco macrorhynchus	
Guinea Turaco	Tauraco persa	
Black-billed Turaco	Tauraco schuettii	
 
OTIDIFORMES: Otididae

Denham's Bustard	Neotis denhami	
White-bellied Bustard	Eupodotis senegalensis	
Black-bellied Bustard	Lissotis melanogaster	
 
CUCULIFORMES: Cuculidae

Gabon Coucal	Centropus anselli	
Senegal Coucal	Centropus senegalensis	
Blue-headed Coucal	Centropus monachus	
White-browed Coucal	Centropus superciliosus	
Black Coucal	Centropus grillii	
Blue Malkoha	Ceuthmochares aereus	
Great Spotted Cuckoo	Clamator glandarius	Rare/Accidental
Levaillant's Cuckoo	Clamator levaillantii	
Jacobin Cuckoo	Clamator jacobinus	Rare/Accidental
Thick-billed Cuckoo	Pachycoccyx audeberti	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
Yellow-throated Cuckoo	Chrysococcyx flavigularis	
African Emerald Cuckoo	Chrysococcyx cupreus	
Dusky Long-tailed Cuckoo	Cercococcyx mechowi	
Olive Long-tailed Cuckoo	Cercococcyx olivinus	
Black Cuckoo	Cuculus clamosus	
Red-chested Cuckoo	Cuculus solitarius	
African Cuckoo	Cuculus gularis	
Common Cuckoo	Cuculus canorus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Afep Pigeon	Columba unicincta	
Western Bronze-naped Pigeon	Columba iriditorques	
Lemon Dove	Columba larvata	Rare/Accidental
European Turtle Dove	Streptopelia turtur	Rare/Accidental
Red-eyed Dove	Streptopelia semitorquata	
Ring-necked Dove	Streptopelia capicola	
Laughing Dove	Spilopelia senegalensis	
Emerald-spotted Wood Dove	Turtur chalcospilos	
Blue-spotted Wood Dove	Turtur afer	
Tambourine Dove	Turtur tympanistria	
Blue-headed Wood Dove	Turtur brehmeri	
Namaqua Dove	Oena capensis	
African Green Pigeon	Treron calvus	
 
GRUIFORMES: Heliornithidae

African Finfoot	Podica senegalensis	
 
GRUIFORMES: Sarothruridae

White-spotted Flufftail	Sarothrura pulchra	
Buff-spotted Flufftail	Sarothrura elegans	
Red-chested Flufftail	Sarothrura rufa	
Chestnut-headed Flufftail	Sarothrura lugens	
Streaky-breasted Flufftail	Sarothrura boehmi	
 
GRUIFORMES: Rallidae

Grey-throated Rail	Canirallus oculeus	
African Rail	Rallus caerulescens	Rare/Accidental
African Crake	Crecopsis egregia	
Corn Crake	Crex crex	
Lesser Moorhen	Paragallinula angulata	Rare/Accidental
Common Moorhen	Gallinula chloropus	
Allen's Gallinule	Porphyrio alleni	
African Swamphen	Porphyrio madagascariensis	
Black Crake	Zapornia flavirostra	
Baillon's Crake	Zapornia pusilla	
Little Crake	Zapornia parva	
Nkulengu Rail	Himantornis haematopus	
Striped Crake	Aenigmatolimnas marginalis	Rare/Accidental
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	
 
CHARADRIIFORMES: Turnicidae

Common Buttonquail	Turnix sylvaticus	
Black-rumped Buttonquail	Turnix nanus	
 
CHARADRIIFORMES: Burhinidae

Water Thick-knee	Burhinus vermiculatus	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
 
CHARADRIIFORMES: Charadriidae

White-crowned Lapwing	Vanellus albiceps	
Senegal Lapwing	Vanellus lugubris	
African Wattled Lapwing	Vanellus senegallus	Rare/Accidental
Brown-chested Lapwing	Vanellus superciliosus	
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Charadrius dubius	Rare/Accidental
Kittlitz's Plover	Charadrius pecuarius	
Three-banded Plover	Charadrius tricollaris	Rare/Accidental
Forbes's Plover	Charadrius forbesi	
White-fronted Plover	Charadrius marginatus	
Kentish Plover	Charadrius alexandrinus	
Caspian Plover	Charadrius asiaticus	Rare/Accidental
 
CHARADRIIFORMES: Pluvianidae

Egyptian Plover	Pluvianus aegyptius	
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	Rare/Accidental
 
CHARADRIIFORMES: Jacanidae

African Jacana	Actophilornis africanus	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	
Bar-tailed Godwit	Limosa lapponica	
Black-tailed Godwit	Limosa limosa	
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	
Ruff	Calidris pugnax	
Broad-billed Sandpiper	Calidris falcinellus	
Curlew Sandpiper	Calidris ferruginea	
Long-toed Stint	Calidris subminuta	Rare/Accidental
Sanderling	Calidris alba	
Little Stint	Calidris minuta	
Great Snipe	Gallinago media	
Common Snipe	Gallinago gallinago	
