ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
White-backed Duck	Thalassornis leuconotus	
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	
Hartlaub's Duck	Pteronetta hartlaubii	
African Pygmy Goose	Nettapus auritus	
Garganey	Spatula querquedula	
Blue-billed Teal	Spatula hottentota	
Cape Shoveler	Spatula smithii	Rare/Accidental
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	Rare/Accidental
African Black Duck	Anas sparsa	
Yellow-billed Duck	Anas undulata	
Cape Teal	Anas capensis	Rare/Accidental
Red-billed Teal	Anas erythrorhyncha	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Southern Pochard	Netta erythrophthalma	
Tufted Duck	Aythya fuligula	Rare/Accidental
Maccoa Duck	Oxyura maccoa	
 
GALLIFORMES: Numididae

Black Guineafowl	Agelastes niger	
Helmeted Guineafowl	Numida meleagris	
Plumed Guineafowl	Guttera plumifera	
Crested Guineafowl	Guttera pucherani	
 
GALLIFORMES: Odontophoridae

Stone Partridge	Ptilopachus petrosus	
Nahan's Partridge	Ptilopachus nahani	
 
GALLIFORMES: Phasianidae

Latham's Francolin	Peliperdix lathami	
Coqui Francolin	Peliperdix coqui	
White-throated Francolin	Peliperdix albogularis	
Red-winged Francolin	Scleroptila levaillantii	
Finsch's Francolin	Scleroptila finschi	
Shelley's Francolin	Scleroptila shelleyi	
Crested Francolin	Dendroperdix sephaena	
Handsome Spurfowl	Pternistis nobilis	
Scaly Spurfowl	Pternistis squamatus	
Hildebrandt's Spurfowl	Pternistis hildebrandti	
Heuglin's Spurfowl	Pternistis icterorhynchus	
Red-necked Spurfowl	Pternistis afer	
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	
Blue Quail	Excalfactoria adansonii	
Congo Peafowl	Afropavo congensis	Endemic
 
CAPRIMULGIFORMES: Caprimulgidae

Brown Nightjar	Veles binotatus	
European Nightjar	Caprimulgus europaeus	
Rufous-cheeked Nightjar	Caprimulgus rufigena	
Black-shouldered Nightjar	Caprimulgus nigriscapularis	
Fiery-necked Nightjar	Caprimulgus pectoralis	
Montane Nightjar	Caprimulgus poliocephalus	
Swamp Nightjar	Caprimulgus natalensis	
Plain Nightjar	Caprimulgus inornatus	
Freckled Nightjar	Caprimulgus tristigma	
Prigogine's Nightjar	Caprimulgus prigoginei	Endemic
Bates's Nightjar	Caprimulgus batesi	
Long-tailed Nightjar	Caprimulgus climacurus	
Slender-tailed Nightjar	Caprimulgus clarus	Rare/Accidental
Square-tailed Nightjar	Caprimulgus fossii	
Standard-winged Nightjar	Caprimulgus longipennis	
Pennant-winged Nightjar	Caprimulgus vexillarius	
 
APODIFORMES: Apodidae

Scarce Swift	Schoutedenapus myoptilus	
Mottled Spinetail	Telacanthura ussheri	
Black Spinetail	Telacanthura melanopygia	
Sabine's Spinetail	Rhaphidura sabini	
Cassin's Spinetail	Neafrapus cassini	
Böhm's Spinetail	Neafrapus boehmi	
African Palm Swift	Cypsiurus parvus	
Alpine Swift	Tachymarptis melba	
Mottled Swift	Tachymarptis aequatorialis	
Common Swift	Apus apus	
Nyanza Swift	Apus niansae	Rare/Accidental
African Black Swift	Apus barbatus	
Little Swift	Apus affinis	
Horus Swift	Apus horus	
White-rumped Swift	Apus caffer	
Bates's Swift	Apus batesi	
 
MUSOPHAGIFORMES: Musophagidae

Great Blue Turaco	Corythaeola cristata	
Bare-faced Go-away-bird	Crinifer personatus	
Grey Go-away-bird	Crinifer concolor	
Western Plantain-eater	Crinifer piscator	
Eastern Plantain-eater	Crinifer zonurus	
Rwenzori Turaco	Gallirex johnstoni	
Ross's Turaco	Tauraco rossae	
Yellow-billed Turaco	Tauraco macrorhynchus	
White-crested Turaco	Tauraco leucolophus	
Guinea Turaco	Tauraco persa	
Schalow's Turaco	Tauraco schalowi	
Black-billed Turaco	Tauraco schuettii	
 
OTIDIFORMES: Otididae

Denham's Bustard	Neotis denhami	
White-bellied Bustard	Eupodotis senegalensis	
Black-bellied Bustard	Lissotis melanogaster	
 
CUCULIFORMES: Cuculidae

Gabon Coucal	Centropus anselli	
Black-throated Coucal	Centropus leucogaster	
Senegal Coucal	Centropus senegalensis	
Blue-headed Coucal	Centropus monachus	
Coppery-tailed Coucal	Centropus cupreicaudus	
White-browed Coucal	Centropus superciliosus	
Black Coucal	Centropus grillii	
Blue Malkoha	Ceuthmochares aereus	
Great Spotted Cuckoo	Clamator glandarius	
Levaillant's Cuckoo	Clamator levaillantii	
Jacobin Cuckoo	Clamator jacobinus	
Thick-billed Cuckoo	Pachycoccyx audeberti	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
Yellow-throated Cuckoo	Chrysococcyx flavigularis	
African Emerald Cuckoo	Chrysococcyx cupreus	
Dusky Long-tailed Cuckoo	Cercococcyx mechowi	
Olive Long-tailed Cuckoo	Cercococcyx olivinus	
Barred Long-tailed Cuckoo	Cercococcyx montanus	
Black Cuckoo	Cuculus clamosus	
Red-chested Cuckoo	Cuculus solitarius	
Lesser Cuckoo	Cuculus poliocephalus	
Madagascan Cuckoo	Cuculus rochii	
African Cuckoo	Cuculus gularis	
Common Cuckoo	Cuculus canorus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Speckled Pigeon	Columba guinea	
Afep Pigeon	Columba unicincta	
African Olive Pigeon	Columba arquatrix	
White-naped Pigeon	Columba albinucha	
Western Bronze-naped Pigeon	Columba iriditorques	
Lemon Dove	Columba larvata	
European Turtle Dove	Streptopelia turtur	Rare/Accidental
Dusky Turtle Dove	Streptopelia lugens	
Mourning Collared Dove	Streptopelia decipiens	
Red-eyed Dove	Streptopelia semitorquata	
Ring-necked Dove	Streptopelia capicola	
Vinaceous Dove	Streptopelia vinacea	
Laughing Dove	Spilopelia senegalensis	
Emerald-spotted Wood Dove	Turtur chalcospilos	
Black-billed Wood Dove	Turtur abyssinicus	
Blue-spotted Wood Dove	Turtur afer	
Tambourine Dove	Turtur tympanistria	
Blue-headed Wood Dove	Turtur brehmeri	
Namaqua Dove	Oena capensis	
Bruce's Green Pigeon	Treron waalia	
African Green Pigeon	Treron calvus	
 
GRUIFORMES: Heliornithidae

African Finfoot	Podica senegalensis	
 
GRUIFORMES: Sarothruridae

White-spotted Flufftail	Sarothrura pulchra	
Buff-spotted Flufftail	Sarothrura elegans	
Red-chested Flufftail	Sarothrura rufa	
Chestnut-headed Flufftail	Sarothrura lugens	
Streaky-breasted Flufftail	Sarothrura boehmi	
Striped Flufftail	Sarothrura affinis	
 
GRUIFORMES: Rallidae

Grey-throated Rail	Canirallus oculeus	
African Rail	Rallus caerulescens	
African Crake	Crecopsis egregia	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Lesser Moorhen	Paragallinula angulata	
Common Moorhen	Gallinula chloropus	
Red-knobbed Coot	Fulica cristata	
Allen's Gallinule	Porphyrio alleni	
African Swamphen	Porphyrio madagascariensis	
Black Crake	Zapornia flavirostra	
