
 
STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
White-backed Duck	Thalassornis leuconotus	Rare/Accidental
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
Hartlaub's Duck	Pteronetta hartlaubii	Rare/Accidental
African Pygmy Goose	Nettapus auritus	
Garganey	Spatula querquedula	
Blue-billed Teal	Spatula hottentota	
Northern Shoveler	Spatula clypeata	
Eurasian Wigeon	Mareca penelope	
African Black Duck	Anas sparsa	
Mallard	Anas platyrhynchos	Rare/Accidental
Red-billed Teal	Anas erythrorhyncha	Rare/Accidental
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Southern Pochard	Netta erythrophthalma	Rare/Accidental
Ferruginous Duck	Aythya nyroca	Near-threatened
Tufted Duck	Aythya fuligula	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
Crested Guineafowl	Guttera pucherani	
 
GALLIFORMES: Odontophoridae

Stone Partridge	Ptilopachus petrosus	
 
GALLIFORMES: Phasianidae

Latham's Francolin	Peliperdix lathami	Rare/Accidental
Crested Francolin	Ortygornis sephaena	
Schlegel's Francolin	Campocolinus schlegelii	Rare/Accidental
Orange River Francolin	Scleroptila gutturalis	Rare/Accidental
Blue Quail	Synoicus adansonii	
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	
Scaly Spurfowl	Pternistis squamatus	
Heuglin's Spurfowl	Pternistis icterorhynchus	
Clapperton's Spurfowl	Pternistis clappertoni	
Yellow-necked Spurfowl	Pternistis leucoscepus	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	Rare/Accidental
Sombre Nightjar	Caprimulgus fraenatus	Rare/Accidental
Egyptian Nightjar	Caprimulgus aegyptius	
Donaldson Smith's Nightjar	Caprimulgus donaldsoni	
Black-shouldered Nightjar	Caprimulgus nigriscapularis	
Montane Nightjar	Caprimulgus poliocephalus	
Swamp Nightjar	Caprimulgus natalensis	Rare/Accidental
Plain Nightjar	Caprimulgus inornatus	
Star-spotted Nightjar	Caprimulgus stellatus	Rare/Accidental
Freckled Nightjar	Caprimulgus tristigma	Rare/Accidental
Long-tailed Nightjar	Caprimulgus climacurus	
Slender-tailed Nightjar	Caprimulgus clarus	
Standard-winged Nightjar	Caprimulgus longipennis	
Pennant-winged Nightjar	Caprimulgus vexillarius	
 
APODIFORMES: Apodidae

Scarce Swift	Schoutedenapus myoptilus	Rare/Accidental
African Palm Swift	Cypsiurus parvus	
Alpine Swift	Tachymarptis melba	
Mottled Swift	Tachymarptis aequatorialis	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	Rare/Accidental
Little Swift	Apus affinis	
White-rumped Swift	Apus caffer	
 
MUSOPHAGIFORMES: Musophagidae

Great Blue Turaco	Corythaeola cristata	
White-bellied Go-away-bird	Crinifer leucogaster	
Eastern Plantain-eater	Crinifer zonurus	
White-cheeked Turaco	Menelikornis leucotis	Rare/Accidental
Ross's Turaco	Tauraco rossae	Rare/Accidental
White-crested Turaco	Tauraco leucolophus	
Black-billed Turaco	Tauraco schuettii	Rare/Accidental
 
OTIDIFORMES: Otididae

Arabian Bustard	Ardeotis arabs	Near-threatened
Denham's Bustard	Neotis denhami	Rare/Accidental Near-threatened
White-bellied Bustard	Eupodotis senegalensis	
Buff-crested Bustard	Lophotis gindiana	
Black-bellied Bustard	Lissotis melanogaster	
Hartlaub's Bustard	Lissotis hartlaubii	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Senegal Coucal	Centropus senegalensis	Rare/Accidental
Blue-headed Coucal	Centropus monachus	
White-browed Coucal	Centropus superciliosus	
Black Coucal	Centropus grillii	Rare/Accidental
Blue Malkoha	Ceuthmochares aereus	
Great Spotted Cuckoo	Clamator glandarius	
