STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	Extirpated
 
ANSERIFORMES: Anatidae

Brant Goose	Branta bernicla	Rare/Accidental
Red-breasted Goose	Branta ruficollis	Rare/Accidental
Barnacle Goose	Branta leucopsis	Rare/Accidental
Greylag Goose	Anser anser	Rare/Accidental
Taiga Bean Goose	Anser fabalis	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	Rare/Accidental
Mute Swan	Cygnus olor	
Whooper Swan	Cygnus cygnus	Rare/Accidental
Spur-winged Goose	Plectropterus gambensis	Introduced species
Egyptian Goose	Alopochen aegyptiaca	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Garganey	Spatula querquedula	
Blue-winged Teal	Spatula discors	Rare/Accidental
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Marbled Duck	Marmaronetta angustirostris	
Red-crested Pochard	Netta rufina	
Common Pochard	Aythya ferina	
Ferruginous Duck	Aythya nyroca	
Tufted Duck	Aythya fuligula	
Velvet Scoter	Melanitta fusca	Rare/Accidental
Smew	Mergellus albellus	
Red-breasted Merganser	Mergus serrator	
Ruddy Duck	Oxyura jamaicensis	Introduced species
White-headed Duck	Oxyura leucocephala	
 
GALLIFORMES: Phasianidae

Chukar Partridge	Alectoris chukar	
Barbary Partridge	Alectoris barbara	
Sand Partridge	Ammoperdix heyi	
Common Quail	Coturnix coturnix	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
Egyptian Nightjar	Caprimulgus aegyptius	
Nubian Nightjar	Caprimulgus nubicus	Rare/Accidental
 
APODIFORMES: Apodidae

Alpine Swift	Tachymarptis melba	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	
Little Swift	Apus affinis	
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	Rare/Accidental
Houbara Bustard	Chlamydotis undulata	
Macqueen's Bustard	Chlamydotis macqueenii	
Little Bustard	Tetrax tetrax	Extirpated
 
CUCULIFORMES: Cuculidae

Senegal Coucal	Centropus senegalensis	
Great Spotted Cuckoo	Clamator glandarius	
African Cuckoo	Cuculus gularis	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pin-tailed Sandgrouse	Pterocles alchata	Rare/Accidental
Chestnut-bellied Sandgrouse	Pterocles exustus	Rare/Accidental
Spotted Sandgrouse	Pterocles senegallus	
Black-bellied Sandgrouse	Pterocles orientalis	
Crowned Sandgrouse	Pterocles coronatus	
Lichtenstein's Sandgrouse	Pterocles lichtensteinii	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Stock Dove	Columba oenas	
Common Wood Pigeon	Columba palumbus	Rare/Accidental
European Turtle Dove	Streptopelia turtur	
Eurasian Collared Dove	Streptopelia decaocto	
African Collared Dove	Streptopelia roseogrisea	
Mourning Collared Dove	Streptopelia decipiens	Rare/Accidental
Laughing Dove	Spilopelia senegalensis	
Namaqua Dove	Oena capensis	
Bruce's Green Pigeon	Treron waalia	Rare/Accidental
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Lesser Moorhen	Paragallinula angulata	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Allen's Gallinule	Porphyrio alleni	Rare/Accidental
African Swamphen	Porphyrio madagascariensis	
Baillon's Crake	Zapornia pusilla	
Little Crake	Zapornia parva	
 
GRUIFORMES: Gruidae

Demoiselle Crane	Grus virgo	
Common Crane	Grus grus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	Rare/Accidental
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	
Lesser Flamingo	Phoeniconaias minor	Rare/Accidental
 
CHARADRIIFORMES: Burhinidae

Eurasian Stone-curlew	Burhinus oedicnemus	
Senegal Thick-knee	Burhinus senegalensis	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Avocet	Recurvirostra avosetta	
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	
Spur-winged Lapwing	Vanellus spinosus	
Sociable Lapwing	Vanellus gregarius	
