
 
STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
White-backed Duck	Thalassornis leuconotus	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	
Common Shelduck	Tadorna tadorna	Rare/Accidental
Ruddy Shelduck	Tadorna ferruginea	
African Pygmy Goose	Nettapus auritus	
Garganey	Spatula querquedula	
Blue-billed Teal	Spatula hottentota	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	Rare/Accidental
Cape Teal	Anas capensis	
Red-billed Teal	Anas erythrorhyncha	Rare/Accidental
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Southern Pochard	Netta erythrophthalma	Rare/Accidental
Common Pochard	Aythya ferina	
Ferruginous Duck	Aythya nyroca	
Tufted Duck	Aythya fuligula	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
Crested Guineafowl	Guttera pucherani	
 
GALLIFORMES: Odontophoridae

Stone Partridge	Ptilopachus petrosus	
 
GALLIFORMES: Phasianidae

Sand Partridge	Ammoperdix heyi	
Erckel's Spurfowl	Pternistis erckelii	
Clapperton's Spurfowl	Pternistis clappertoni	
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
Rufous-cheeked Nightjar	Caprimulgus rufigena	Rare/Accidental
Egyptian Nightjar	Caprimulgus aegyptius	
Nubian Nightjar	Caprimulgus nubicus	
Golden Nightjar	Caprimulgus eximius	
Plain Nightjar	Caprimulgus inornatus	
Freckled Nightjar	Caprimulgus tristigma	Rare/Accidental
Long-tailed Nightjar	Caprimulgus climacurus	
Standard-winged Nightjar	Caprimulgus longipennis	
Pennant-winged Nightjar	Caprimulgus vexillarius	
 
APODIFORMES: Apodidae

African Palm Swift	Cypsiurus parvus	
Alpine Swift	Tachymarptis melba	
Mottled Swift	Tachymarptis aequatorialis	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	
Little Swift	Apus affinis	
Horus Swift	Apus horus	Rare/Accidental
White-rumped Swift	Apus caffer	
 
MUSOPHAGIFORMES: Musophagidae

White-bellied Go-away-bird	Crinifer leucogaster	Rare/Accidental
Eastern Plantain-eater	Crinifer zonurus	
 
OTIDIFORMES: Otididae

Arabian Bustard	Ardeotis arabs	
Kori Bustard	Ardeotis kori	Rare/Accidental
Macqueen's Bustard	Chlamydotis macqueenii	Rare/Accidental
Denham's Bustard	Neotis denhami	Rare/Accidental
Nubian Bustard	Neotis nuba	Rare/Accidental
White-bellied Bustard	Eupodotis senegalensis	
Savile's Bustard	Lophotis savilei	
Black-bellied Bustard	Lissotis melanogaster	
Hartlaub's Bustard	Lissotis hartlaubii	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Senegal Coucal	Centropus senegalensis	Rare/Accidental
Blue-headed Coucal	Centropus monachus	
White-browed Coucal	Centropus superciliosus	
Great Spotted Cuckoo	Clamator glandarius	
Levaillant's Cuckoo	Clamator levaillantii	
Jacobin Cuckoo	Clamator jacobinus	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
Black Cuckoo	Cuculus clamosus	
Red-chested Cuckoo	Cuculus solitarius	
African Cuckoo	Cuculus gularis	Rare/Accidental
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Chestnut-bellied Sandgrouse	Pterocles exustus	
Spotted Sandgrouse	Pterocles senegallus	
Crowned Sandgrouse	Pterocles coronatus	Rare/Accidental
Lichtenstein's Sandgrouse	Pterocles lichtensteinii	
Four-banded Sandgrouse	Pterocles quadricinctus	
 
COLUMBIFORMES: Columbidae

