
 
STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	
 
ANSERIFORMES: Anatidae

White-backed Duck	Thalassornis leuconotus	
White-faced Whistling Duck	Dendrocygna viduata	Rare/Accidental
Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Maccoa Duck	Oxyura maccoa	Endangered
Spur-winged Goose	Plectropterus gambensis	
Egyptian Goose	Alopochen aegyptiaca	
Common Shelduck	Tadorna tadorna	Uncertain origin
South African Shelduck	Tadorna cana	
Knob-billed Duck	Sarkidiornis melanotos	Rare/Accidental
Southern Pochard	Netta erythrophthalma	
Blue-billed Teal	Spatula hottentota	
Cape Shoveler	Spatula smithii	
African Black Duck	Anas sparsa	
Yellow-billed Duck	Anas undulata	
Mallard	Anas platyrhynchos	Introduced species
Cape Teal	Anas capensis	
Red-billed Teal	Anas erythrorhyncha	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
 
GALLIFORMES: Phasianidae

Indian Peafowl	Pavo cristatus	Introduced species
Red-winged Francolin	Scleroptila levaillantii	
Grey-winged Francolin	Scleroptila afra	Endemic (country/region)
Common Quail	Coturnix coturnix	
Chukar Partridge	Alectoris chukar	Introduced species
Cape Spurfowl	Pternistis capensis	Endemic
Red-necked Spurfowl	Pternistis afer	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Lesser Flamingo	Phoeniconaias minor	Near-threatened
Greater Flamingo	Phoenicopterus roseus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
 
OTIDIFORMES: Otididae

Kori Bustard	Ardeotis kori	Near-threatened
Ludwig's Bustard	Neotis ludwigii	Endangered
Denham's Bustard	Neotis denhami	Near-threatened
Karoo Korhaan	Heterotetrax vigorsii	
Southern Black Korhaan	Afrotis afra	Endemic (country/region) Vulnerable
 
CUCULIFORMES: Cuculidae

Burchell's Coucal	Centropus burchellii	
Great Spotted Cuckoo	Clamator glandarius	
Jacobin Cuckoo	Clamator jacobinus	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
African Emerald Cuckoo	Chrysococcyx cupreus	
Red-chested Cuckoo	Cuculus solitarius	
Common Cuckoo	Cuculus canorus	Rare/Accidental
 
PTEROCLIFORMES: Pteroclidae

Namaqua Sandgrouse	Pterocles namaqua	
 
COLUMBIFORMES: Columbidae

Laughing Dove	Spilopelia senegalensis	
Lemon Dove	Aplopelia larvata	
Ring-necked Dove	Streptopelia capicola	
Red-eyed Dove	Streptopelia semitorquata	
African Olive Pigeon	Columba arquatrix	
Speckled Pigeon	Columba guinea	
Rock Dove	Columba livia	Introduced species
Namaqua Dove	Oena capensis	
Tambourine Dove	Turtur tympanistria	
 
GRUIFORMES: Gruidae

Blue Crane	Grus paradisea	Vulnerable
 
GRUIFORMES: Sarothruridae

Buff-spotted Flufftail	Sarothrura elegans	
Red-chested Flufftail	Sarothrura rufa	
Striped Flufftail	Sarothrura affinis	
 
GRUIFORMES: Rallidae

African Rail	Rallus caerulescens	
African Crake	Crecopsis egregia	
Spotted Crake	Porzana porzana	
Common Moorhen	Gallinula chloropus	
Red-knobbed Coot	Fulica cristata	
Allen's Gallinule	Porphyrio alleni	
Purple Swamphen	Porphyrio porphyrio	
Black Crake	Zapornia flavirostra	
Little Crake	Zapornia parva	Rare/Accidental
Baillon's Crake	Zapornia pusilla	Rare/Accidental
 
CHARADRIIFORMES: Chionidae

Snowy Sheathbill	Chionis albus	Rare/Accidental
 
CHARADRIIFORMES: Burhinidae

Spotted Thick-knee	Burhinus capensis	
Water Thick-knee	Burhinus vermiculatus	
 
CHARADRIIFORMES: Recurvirostridae

Pied Avocet	Recurvirostra avosetta	
Black-winged Stilt	Himantopus himantopus	
 
CHARADRIIFORMES: Haematopodidae

African Oystercatcher	Haematopus moquini	
Eurasian Oystercatcher	Haematopus ostralegus	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Charadriidae

