
 
STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	
 
ANSERIFORMES: Anatidae

White-backed Duck	Thalassornis leuconotus	
White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
African Pygmy Goose	Nettapus auritus	
Maccoa Duck	Oxyura maccoa	Endangered
Spur-winged Goose	Plectropterus gambensis	
Egyptian Goose	Alopochen aegyptiaca	
Common Shelduck	Tadorna tadorna	Uncertain origin
South African Shelduck	Tadorna cana	
Knob-billed Duck	Sarkidiornis melanotos	
Southern Pochard	Netta erythrophthalma	
Tufted Duck	Aythya fuligula	Uncertain origin
Garganey	Spatula querquedula	Rare/Accidental
Blue-billed Teal	Spatula hottentota	
Cape Shoveler	Spatula smithii	
Northern Shoveler	Spatula clypeata	Rare/Accidental
African Black Duck	Anas sparsa	
Yellow-billed Duck	Anas undulata	
Mallard	Anas platyrhynchos	Introduced species
Cape Teal	Anas capensis	
Red-billed Teal	Anas erythrorhyncha	
Northern Pintail	Anas acuta	Rare/Accidental
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
Southern Crested Guineafowl	Guttera edouardi	
 
GALLIFORMES: Phasianidae

Indian Peafowl	Pavo cristatus	Introduced species
Coqui Francolin	Campocolinus coqui	
Red-winged Francolin	Scleroptila levaillantii	
Grey-winged Francolin	Scleroptila afra	Endemic
Orange River Francolin	Scleroptila gutturalis	
Shelley's Francolin	Scleroptila shelleyi	
Crested Francolin	Ortygornis sephaena	
Blue Quail	Synoicus adansonii	Rare/Accidental
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	
Chukar Partridge	Alectoris chukar	Introduced species
Cape Spurfowl	Pternistis capensis	Endemic
Red-billed Spurfowl	Pternistis adspersus	
Natal Spurfowl	Pternistis natalensis	
Swainson's Spurfowl	Pternistis swainsonii	
Red-necked Spurfowl	Pternistis afer	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Lesser Flamingo	Phoeniconaias minor	Near-threatened
Greater Flamingo	Phoenicopterus roseus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Great Crested Grebe	Podiceps cristatus	
Black-necked Grebe	Podiceps nigricollis	
 
MUSOPHAGIFORMES: Musophagidae

Grey Go-away-bird	Crinifer concolor	
Purple-crested Turaco	Gallirex porphyreolophus	
Livingstone's Turaco	Tauraco livingstonii	
Knysna Turaco	Tauraco corythaix	
 
OTIDIFORMES: Otididae

Kori Bustard	Ardeotis kori	Near-threatened
Ludwig's Bustard	Neotis ludwigii	Endangered
Denham's Bustard	Neotis denhami	Near-threatened
Blue Korhaan	Eupodotis caerulescens	Endemic Near-threatened
White-bellied Bustard	Eupodotis senegalensis	
Karoo Korhaan	Heterotetrax vigorsii	
Red-crested Korhaan	Lophotis ruficrista	
Southern Black Korhaan	Afrotis afra	Endemic Vulnerable
Northern Black Korhaan	Afrotis afraoides	
Black-bellied Bustard	Lissotis melanogaster	
 
CUCULIFORMES: Cuculidae

Senegal Coucal	Centropus senegalensis	Rare/Accidental
Burchell's Coucal	Centropus burchellii	
Black Coucal	Centropus grillii	
Green Malkoha	Ceuthmochares australis	
Great Spotted Cuckoo	Clamator glandarius	
Levaillant's Cuckoo	Clamator levaillantii	
Jacobin Cuckoo	Clamator jacobinus	
Thick-billed Cuckoo	Pachycoccyx audeberti	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
African Emerald Cuckoo	Chrysococcyx cupreus	
Barred Long-tailed Cuckoo	Cercococcyx montanus	Rare/Accidental
Black Cuckoo	Cuculus clamosus	
Red-chested Cuckoo	Cuculus solitarius	
Lesser Cuckoo	Cuculus poliocephalus	Rare/Accidental
African Cuckoo	Cuculus gularis	
Madagascar Cuckoo	Cuculus rochii	Rare/Accidental
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Namaqua Sandgrouse	Pterocles namaqua	
Yellow-throated Sandgrouse	Pterocles gutturalis	
