STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
White-backed Duck	Thalassornis leuconotus	
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	
South African Shelduck	Tadorna cana	
African Pygmy Goose	Nettapus auritus	
Garganey	Spatula querquedula	Rare/Accidental
Blue-billed Teal	Spatula hottentota	
Cape Shoveler	Spatula smithii	
African Black Duck	Anas sparsa	
Yellow-billed Duck	Anas undulata	
Cape Teal	Anas capensis	
Red-billed Teal	Anas erythrorhyncha	
Northern Pintail	Anas acuta	Rare/Accidental
Southern Pochard	Netta erythrophthalma	
Maccoa Duck	Oxyura maccoa	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
Crested Guineafowl	Guttera pucherani	Rare/Accidental
 
GALLIFORMES: Phasianidae

Coqui Francolin	Peliperdix coqui	
Orange River Francolin	Scleroptila gutturalis	
Crested Francolin	Dendroperdix sephaena	
Natal Spurfowl	Pternistis natalensis	
Red-billed Spurfowl	Pternistis adspersus	
Swainson's Spurfowl	Pternistis swainsonii	
Common Quail	Coturnix coturnix	Rare/Accidental
Harlequin Quail	Coturnix delegorguei	
Blue Quail	Excalfactoria adansonii	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
Rufous-cheeked Nightjar	Caprimulgus rufigena	
Fiery-necked Nightjar	Caprimulgus pectoralis	
Swamp Nightjar	Caprimulgus natalensis	
Freckled Nightjar	Caprimulgus tristigma	
Square-tailed Nightjar	Caprimulgus fossii	
Pennant-winged Nightjar	Caprimulgus vexillarius	
 
APODIFORMES: Apodidae

Böhm's Spinetail	Neafrapus boehmi	Rare/Accidental
African Palm Swift	Cypsiurus parvus	
Alpine Swift	Tachymarptis melba	
Common Swift	Apus apus	
African Black Swift	Apus barbatus	
Bradfield's Swift	Apus bradfieldi	Rare/Accidental
Little Swift	Apus affinis	
Horus Swift	Apus horus	
White-rumped Swift	Apus caffer	
 
MUSOPHAGIFORMES: Musophagidae

Grey Go-away-bird	Crinifer concolor	
Purple-crested Turaco	Gallirex porphyreolophus	Rare/Accidental
Ross's Turaco	Tauraco rossae	Rare/Accidental
Schalow's Turaco	Tauraco schalowi	Rare/Accidental
 
OTIDIFORMES: Otididae

Kori Bustard	Ardeotis kori	
Ludwig's Bustard	Neotis ludwigii	Rare/Accidental
Denham's Bustard	Neotis denhami	Rare/Accidental
White-bellied Bustard	Eupodotis senegalensis	Rare/Accidental
Red-crested Korhaan	Lophotis ruficrista	
Northern Black Korhaan	Afrotis afraoides	
Black-bellied Bustard	Lissotis melanogaster	
 
CUCULIFORMES: Cuculidae

Senegal Coucal	Centropus senegalensis	
Coppery-tailed Coucal	Centropus cupreicaudus	
White-browed Coucal	Centropus superciliosus	
Burchell's Coucal	Centropus burchellii	
Black Coucal	Centropus grillii	
Great Spotted Cuckoo	Clamator glandarius	
Levaillant's Cuckoo	Clamator levaillantii	
Jacobin Cuckoo	Clamator jacobinus	
Thick-billed Cuckoo	Pachycoccyx audeberti	Rare/Accidental
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
African Emerald Cuckoo	Chrysococcyx cupreus	Rare/Accidental
Black Cuckoo	Cuculus clamosus	
Red-chested Cuckoo	Cuculus solitarius	
African Cuckoo	Cuculus gularis	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Namaqua Sandgrouse	Pterocles namaqua	
Yellow-throated Sandgrouse	Pterocles gutturalis	
Double-banded Sandgrouse	Pterocles bicinctus	
Burchell's Sandgrouse	Pterocles burchelli	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Speckled Pigeon	Columba guinea	
European Turtle Dove	Streptopelia turtur	Rare/Accidental
Mourning Collared Dove	Streptopelia decipiens	
Red-eyed Dove	Streptopelia semitorquata	
