
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	Rare/Accidental
Knob-billed Duck	Sarkidiornis melanotos	Rare/Accidental
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	Introduced species
 
GALLIFORMES: Phasianidae

Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	Rare/Accidental
 
PHOENICOPTERIFORMES: Phoenicopteridae

Lesser Flamingo	Phoeniconaias minor	Rare/Accidental Near-threatened
Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
 
CUCULIFORMES: Cuculidae

Malagasy Coucal	Centropus toulou	
Madagascar Cuckoo	Cuculus rochii	Rare/Accidental
Common Cuckoo	Cuculus canorus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Malagasy Turtle Dove	Nesoenas picturatus	Introduced species
European Turtle Dove	Streptopelia turtur	Rare/Accidental Vulnerable
Ring-necked Dove	Streptopelia capicola	Introduced species
Comoro Olive Pigeon	Columba pollenii	Endemic (country/region) Near-threatened
Rock Dove	Columba livia	Introduced species
Tambourine Dove	Turtur tympanistria	Introduced species
Comoro Green Pigeon	Treron griveaudi	Endemic Endangered
Comoro Blue Pigeon	Alectroenas sganzini	Endemic (country/region) Near-threatened
 
GRUIFORMES: Rallidae

Common Moorhen	Gallinula chloropus	
Allen's Gallinule	Porphyrio alleni	Rare/Accidental
Striped Crake	Aenigmatolimnas marginalis	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Vulnerable
Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
Common Ringed Plover	Charadrius hiaticula	
Three-banded Plover	Thinornis tricollaris	Rare/Accidental
Senegal Lapwing	Vanellus lugubris	Rare/Accidental
Tibetan Sand Plover	Anarhynchus atrifrons	Rare/Accidental
Greater Sand Plover	Anarhynchus leschenaultii	
White-fronted Plover	Anarhynchus marginatus	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Slender-billed Curlew	Numenius tenuirostris	Rare/Accidental Critically endangered
