STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
White-backed Duck	Thalassornis leuconotus	
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	
African Pygmy Goose	Nettapus auritus	
Blue-billed Teal	Spatula hottentota	
Cape Shoveler	Spatula smithii	
Northern Shoveler	Spatula clypeata	
African Black Duck	Anas sparsa	
Yellow-billed Duck	Anas undulata	
Cape Teal	Anas capensis	
Red-billed Teal	Anas erythrorhyncha	
Southern Pochard	Netta erythrophthalma	
Maccoa Duck	Oxyura maccoa	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
Crested Guineafowl	Guttera pucherani	
 
GALLIFORMES: Phasianidae

Coqui Francolin	Peliperdix coqui	
Shelley's Francolin	Scleroptila shelleyi	
Crested Francolin	Dendroperdix sephaena	
Hildebrandt's Spurfowl	Pternistis hildebrandti	
Natal Spurfowl	Pternistis natalensis	
Swainson's Spurfowl	Pternistis swainsonii	
Red-necked Spurfowl	Pternistis afer	
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	
Blue Quail	Excalfactoria adansonii	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
Rufous-cheeked Nightjar	Caprimulgus rufigena	
Fiery-necked Nightjar	Caprimulgus pectoralis	
Montane Nightjar	Caprimulgus poliocephalus	Rare/Accidental
Swamp Nightjar	Caprimulgus natalensis	
Freckled Nightjar	Caprimulgus tristigma	
Slender-tailed Nightjar	Caprimulgus clarus	
Square-tailed Nightjar	Caprimulgus fossii	
Pennant-winged Nightjar	Caprimulgus vexillarius	
 
APODIFORMES: Apodidae

Scarce Swift	Schoutedenapus myoptilus	
Mottled Spinetail	Telacanthura ussheri	
Böhm's Spinetail	Neafrapus boehmi	
African Palm Swift	Cypsiurus parvus	
Mottled Swift	Tachymarptis aequatorialis	
Common Swift	Apus apus	
African Black Swift	Apus barbatus	
Forbes-Watson's Swift	Apus berliozi	Rare/Accidental
Little Swift	Apus affinis	
Horus Swift	Apus horus	
White-rumped Swift	Apus caffer	
 
MUSOPHAGIFORMES: Musophagidae

Grey Go-away-bird	Crinifer concolor	
Purple-crested Turaco	Gallirex porphyreolophus	
Livingstone's Turaco	Tauraco livingstonii	
 
OTIDIFORMES: Otididae

Kori Bustard	Ardeotis kori	
Denham's Bustard	Neotis denhami	
Red-crested Korhaan	Lophotis ruficrista	
Black-bellied Bustard	Lissotis melanogaster	
 
CUCULIFORMES: Cuculidae

Senegal Coucal	Centropus senegalensis	
Coppery-tailed Coucal	Centropus cupreicaudus	Rare/Accidental
White-browed Coucal	Centropus superciliosus	
Burchell's Coucal	Centropus burchellii	
Black Coucal	Centropus grillii	
Green Malkoha	Ceuthmochares australis	
Great Spotted Cuckoo	Clamator glandarius	
Levaillant's Cuckoo	Clamator levaillantii	
Jacobin Cuckoo	Clamator jacobinus	
Thick-billed Cuckoo	Pachycoccyx audeberti	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
African Emerald Cuckoo	Chrysococcyx cupreus	
Pallid Cuckoo	Cacomantis pallidus	Rare/Accidental
Barred Long-tailed Cuckoo	Cercococcyx montanus	
Black Cuckoo	Cuculus clamosus	
Red-chested Cuckoo	Cuculus solitarius	
Lesser Cuckoo	Cuculus poliocephalus	
Madagascan Cuckoo	Cuculus rochii	
African Cuckoo	Cuculus gularis	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Double-banded Sandgrouse	Pterocles bicinctus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Speckled Pigeon	Columba guinea	
African Olive Pigeon	Columba arquatrix	
Eastern Bronze-naped Pigeon	Columba delegorguei	
Lemon Dove	Columba larvata	
Dusky Turtle Dove	Streptopelia lugens	
