
 
ANSERIFORMES: Anatidae

White-backed Duck	Thalassornis leuconotus	
White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
African Pygmy Goose	Nettapus auritus	
Maccoa Duck	Oxyura maccoa	Endangered
Spur-winged Goose	Plectropterus gambensis	
Egyptian Goose	Alopochen aegyptiaca	
South African Shelduck	Tadorna cana	
Knob-billed Duck	Sarkidiornis melanotos	
Southern Pochard	Netta erythrophthalma	
Blue-billed Teal	Spatula hottentota	Rare/Accidental
Cape Shoveler	Spatula smithii	
African Black Duck	Anas sparsa	
Yellow-billed Duck	Anas undulata	
Cape Teal	Anas capensis	Rare/Accidental
Red-billed Teal	Anas erythrorhyncha	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
 
GALLIFORMES: Phasianidae

Red-winged Francolin	Scleroptila levaillantii	
Grey-winged Francolin	Scleroptila afra	
Orange River Francolin	Scleroptila gutturalis	
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	Rare/Accidental
Swainson's Spurfowl	Pternistis swainsonii	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Lesser Flamingo	Phoeniconaias minor	Near-threatened
Greater Flamingo	Phoenicopterus roseus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Great Crested Grebe	Podiceps cristatus	Rare/Accidental
Black-necked Grebe	Podiceps nigricollis	
 
OTIDIFORMES: Otididae

Kori Bustard	Ardeotis kori	Near-threatened
Ludwig's Bustard	Neotis ludwigii	Endangered
Denham's Bustard	Neotis denhami	Rare/Accidental Near-threatened
Blue Korhaan	Eupodotis caerulescens	Near-threatened
White-bellied Bustard	Eupodotis senegalensis	
Karoo Korhaan	Heterotetrax vigorsii	
Northern Black Korhaan	Afrotis afraoides	
 
CUCULIFORMES: Cuculidae

Burchell's Coucal	Centropus burchellii	
Great Spotted Cuckoo	Clamator glandarius	
Jacobin Cuckoo	Clamator jacobinus	
