
 
ANSERIFORMES: Anatidae

White-backed Duck	Thalassornis leuconotus	
White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
African Pygmy Goose	Nettapus auritus	
Knob-billed Duck	Sarkidiornis melanotos	
Madagascar Pochard	Aythya innotata	Endemic Critically endangered
Blue-billed Teal	Spatula hottentota	
Meller's Duck	Anas melleri	Endemic Endangered
Mallard	Anas platyrhynchos	Introduced species
Red-billed Teal	Anas erythrorhyncha	
Bernier's Teal	Anas bernieri	Endemic Endangered
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	Introduced species
 
GALLIFORMES: Phasianidae

Madagascar Partridge	Margaroperdix madagarensis	Endemic
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Lesser Flamingo	Phoeniconaias minor	Near-threatened
Greater Flamingo	Phoenicopterus roseus	
 
PODICIPEDIFORMES: Podicipedidae

Alaotra Grebe	Tachybaptus rufolavatus	Endemic Extinct
Little Grebe	Tachybaptus ruficollis	
Madagascar Grebe	Tachybaptus pelzelnii	Endemic Endangered
 
CUCULIFORMES: Cuculidae

Crested Coua	Coua cristata	Endemic
Verreaux's Coua	Coua verreauxi	Endemic
Blue Coua	Coua caerulea	Endemic
Red-capped Coua	Coua ruficeps	Endemic
Olive-capped Coua	Coua olivaceiceps	Endemic
Red-fronted Coua	Coua reynaudii	Endemic
Coquerel's Coua	Coua coquereli	Endemic
Running Coua	Coua cursor	Endemic
Giant Coua	Coua gigas	Endemic
Snail-eating Coua	Coua delalandei	Endemic Extinct
Red-breasted Coua	Coua serriana	Endemic
Malagasy Coucal	Centropus toulou	
Thick-billed Cuckoo	Pachycoccyx audeberti	
Madagascar Cuckoo	Cuculus rochii	Breeding endemic
 
MESITORNITHIFORMES: Mesitornithidae

Subdesert Mesite	Monias benschi	Endemic Vulnerable
White-breasted Mesite	Mesitornis variegatus	Endemic Vulnerable
