
 
ANSERIFORMES: Anatidae

Knob-billed Duck	Sarkidiornis melanotos	Rare/Accidental
 
GALLIFORMES: Phasianidae

Common Pheasant	Phasianus colchicus	Introduced species
Chukar Partridge	Alectoris chukar	Introduced species
 
CUCULIFORMES: Cuculidae

St. Helena Cuckoo	Nannococcyx psix	Endemic Extinct
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Zebra Dove	Geopelia striata	Introduced species
 
GRUIFORMES: Rallidae

St. Helena Rail	Aphanocrex podarces	Endemic Extinct
Common Moorhen	Gallinula chloropus	
Allen's Gallinule	Porphyrio alleni	Rare/Accidental
Purple Gallinule	Porphyrio martinica	Rare/Accidental
Purple Swamphen	Porphyrio porphyrio	Rare/Accidental
St. Helena Crake	Zapornia astrictocarpus	Endemic Extinct
 
CHARADRIIFORMES: Chionidae

Snowy Sheathbill	Chionis albus	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Rare/Accidental Vulnerable
Blacksmith Lapwing	Vanellus armatus	Rare/Accidental
Kittlitz's Plover	Anarhynchus pecuarius	
St. Helena Plover	Anarhynchus sanctaehelenae	Endemic Vulnerable
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	Rare/Accidental
Red Phalarope	Phalaropus fulicarius	Rare/Accidental
Green Sandpiper	Tringa ochropus	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	Rare/Accidental Near-threatened
Sanderling	Calidris alba	
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
Pomarine Jaeger	Stercorarius pomarinus	
Great Skua	Stercorarius skua	Rare/Accidental
Brown Skua	Stercorarius antarcticus	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Atlantic White Tern	Gygis alba	
Brown Noddy	Anous stolidus	
Black Noddy	Anous minutus	
Sooty Tern	Onychoprion fuscatus	
Arctic Tern	Sterna paradisaea	Rare/Accidental
Antarctic Tern	Sterna vittata	Rare/Accidental
Franklin's Gull	Leucophaeus pipixcan	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	
White-tailed Tropicbird	Phaethon lepturus	Rare/Accidental
 
PROCELLARIIFORMES: Diomedeidae

Snowy Albatross	Diomedea exulans	Rare/Accidental Vulnerable
Sooty Albatross	Phoebetria fusca	Rare/Accidental Endangered
Black-browed Albatross	Thalassarche melanophris	Rare/Accidental
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	Rare/Accidental
White-faced Storm Petrel	Pelagodroma marina	Rare/Accidental
White-bellied Storm Petrel	Fregetta grallaria	Rare/Accidental
Black-bellied Storm Petrel	Fregetta tropica	Rare/Accidental
 
PROCELLARIIFORMES: Hydrobatidae

Band-rumped Storm Petrel	Hydrobates castro	
Leach's Storm Petrel	Hydrobates leucorhous	Rare/Accidental Vulnerable
 
PROCELLARIIFORMES: Procellariidae

Pintado Petrel	Daption capense	Rare/Accidental
Southern Fulmar	Fulmarus glacialoides	Rare/Accidental
Olson's Petrel	Bulweria bifax	Endemic Extinct
Bulwer's Petrel	Bulweria bulwerii	Rare/Accidental
White-chinned Petrel	Procellaria aequinoctialis	Vulnerable
Spectacled Petrel	Procellaria conspicillata	Endemic (country/region) Vulnerable
Scopoli's Shearwater	Calonectris diomedea	
Sooty Shearwater	Ardenna grisea	Rare/Accidental Near-threatened
Great Shearwater	Ardenna gravis	
Subantarctic Shearwater	Puffinus elegans	Rare/Accidental
Tropical Shearwater	Puffinus bailloni	Rare/Accidental
Soft-plumaged Petrel	Pterodroma mollis	Rare/Accidental
St. Helena Petrel	Pterodroma rupinarum	Endemic Extinct
Murphy's Petrel	Pterodroma ultima	Rare/Accidental
 
CICONIIFORMES: Ciconiidae

White Stork	Ciconia ciconia	Rare/Accidental
 
SULIFORMES: Fregatidae

Ascension Frigatebird	Fregata aquila	Endemic (country/region) Vulnerable
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	Rare/Accidental
Brown Booby	Sula leucogaster	
Masked Booby	Sula dactylatra	
 
PELECANIFORMES: Ardeidae

Dwarf Bittern	Botaurus sturmii	Rare/Accidental
Black-crowned Night Heron	Nycticorax nycticorax	Rare/Accidental
Squacco Heron	Ardeola ralloides	Rare/Accidental
Western Cattle Egret	Ardea ibis	Rare/Accidental
Purple Heron	Ardea purpurea	Rare/Accidental
Grey Heron	Ardea cinerea	Rare/Accidental
 
BUCEROTIFORMES: Upupidae

St. Helena Hoopoe	Upupa antaios	Endemic Extinct
 
FALCONIFORMES: Falconidae

Amur Falcon	Falco amurensis	Rare/Accidental
 
PASSERIFORMES: Hirundinidae

Barn Swallow	Hirundo rustica	Rare/Accidental
Western House Martin	Delichon urbicum	Rare/Accidental
 
PASSERIFORMES: Sturnidae

Common Myna	Acridotheres tristis	Introduced species
 
PASSERIFORMES: Ploceidae

Red Fody	Foudia madagascariensis	Introduced species
 
PASSERIFORMES: Estrildidae

Java Sparrow	Padda oryzivora	Introduced species Endangered
Common Waxbill	Estrilda astrild	Introduced species
 
PASSERIFORMES: Fringillidae

Yellow Canary	Crithagra flaviventris	Introduced species
