
 
ANSERIFORMES: Anatidae

Yellow-billed Teal	Anas flavirostris	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Yellow-billed Cuckoo	Coccyzus americanus	Rare/Accidental
 
GRUIFORMES: Rallidae

Paint-billed Crake	Mustelirallus erythrops	Rare/Accidental
Tristan Moorhen	Gallinula nesiotis	Endemic Extinct
Gough Moorhen	Gallinula comeri	Endemic Vulnerable
Red-gartered Coot	Fulica armillata	Rare/Accidental
Purple Gallinule	Porphyrio martinica	Rare/Accidental
Inaccessible Island Rail	Laterallus rogersi	Endemic Vulnerable
 
CHARADRIIFORMES: Chionidae

Snowy Sheathbill	Chionis albus	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Rufous-chested Dotterel	Zonibyx modestus	Rare/Accidental
Common Ringed Plover	Charadrius hiaticula	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	Rare/Accidental
Eurasian Whimbrel	Numenius phaeopus	Rare/Accidental
Spotted Sandpiper	Actitis macularius	Rare/Accidental
Red Phalarope	Phalaropus fulicarius	Rare/Accidental
Solitary Sandpiper	Tringa solitaria	Rare/Accidental
Lesser Yellowlegs	Tringa flavipes	Rare/Accidental Vulnerable
Common Greenshank	Tringa nebularia	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	Rare/Accidental Near-threatened
Sharp-tailed Sandpiper	Calidris acuminata	Rare/Accidental Vulnerable
Sanderling	Calidris alba	Rare/Accidental
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
White-rumped Sandpiper	Calidris fuscicollis	Rare/Accidental Vulnerable
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
Chilean Skua	Stercorarius chilensis	Rare/Accidental
Brown Skua	Stercorarius antarcticus	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Arctic Tern	Sterna paradisaea	Rare/Accidental
Antarctic Tern	Sterna vittata	
Franklin's Gull	Leucophaeus pipixcan	Rare/Accidental
