
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	Rare/Accidental
Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Egyptian Goose	Alopochen aegyptiaca	Rare/Accidental
Reunion Sheldgoose	Alopochen kervazoi	Extinct
Knob-billed Duck	Sarkidiornis melanotos	Rare/Accidental
Garganey	Spatula querquedula	Rare/Accidental
Mascarene Teal	Anas theodori	Rare/Accidental Extinct
 
GALLIFORMES: Phasianidae

Common Pheasant	Phasianus colchicus	Introduced species
Red Junglefowl	Gallus gallus	Introduced species
Grey Francolin	Ortygornis pondicerianus	Introduced species
Chinese Francolin	Francolinus pintadeanus	Extirpated
King Quail	Synoicus chinensis	Introduced species
Madagascar Partridge	Margaroperdix madagarensis	Introduced species
Common Quail	Coturnix coturnix	Introduced species
Jungle Bush Quail	Perdicula asiatica	Introduced species
 
PHOENICOPTERIFORMES: Phoenicopteridae

Lesser Flamingo	Phoeniconaias minor	Rare/Accidental Near-threatened
Greater Flamingo	Phoenicopterus roseus	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Madagascar Cuckoo	Cuculus rochii	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Malagasy Turtle Dove	Nesoenas picturatus	Introduced species
Pink Pigeon	Nesoenas mayeri	Endemic (country/region)
Rock Dove	Columba livia	Introduced species
Diamond Dove	Geopelia cuneata	Introduced species
Zebra Dove	Geopelia striata	Introduced species
 
GRUIFORMES: Rallidae

Reunion Rail	Dryolimnas augusti	Extinct
Common Moorhen	Gallinula chloropus	
Mascarene Coot	Fulica newtonii	Rare/Accidental Extinct
Purple Swamphen	Porphyrio porphyrio	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Rare/Accidental Vulnerable
Common Ringed Plover	Charadrius hiaticula	Rare/Accidental
Oriental Plover	Anarhynchus veredus	Rare/Accidental
Tibetan Sand Plover	Anarhynchus atrifrons	Rare/Accidental
Greater Sand Plover	Anarhynchus leschenaultii	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Rare/Accidental Near-threatened
Bar-tailed Godwit	Limosa lapponica	Rare/Accidental Near-threatened
Terek Sandpiper	Xenus cinereus	Rare/Accidental
Common Sandpiper	Actitis hypoleucos	Rare/Accidental
Grey-tailed Tattler	Tringa brevipes	Rare/Accidental
Wood Sandpiper	Tringa glareola	Rare/Accidental
Common Greenshank	Tringa nebularia	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Ruff	Calidris pugnax	Rare/Accidental
Sharp-tailed Sandpiper	Calidris acuminata	Rare/Accidental Vulnerable
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Red-necked Stint	Calidris ruficollis	Rare/Accidental Near-threatened
Sanderling	Calidris alba	
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Little Stint	Calidris minuta	Rare/Accidental
 
CHARADRIIFORMES: Turnicidae

Madagascar Buttonquail	Turnix nigricollis	Introduced species
 
CHARADRIIFORMES: Dromadidae

Crab-plover	Dromas ardeola	Rare/Accidental
 
CHARADRIIFORMES: Glareolidae

Madagascar Pratincole	Glareola ocularis	Rare/Accidental Near-threatened
Oriental Pratincole	Glareola maldivarum	Rare/Accidental
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
South Polar Skua	Stercorarius maccormicki	Rare/Accidental
Brown Skua	Stercorarius antarcticus	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Blue-billed White Tern	Gygis candida	
Brown Noddy	Anous stolidus	
Lesser Noddy	Anous tenuirostris	Rare/Accidental
Sooty Tern	Onychoprion fuscatus	Rare/Accidental
Bridled Tern	Onychoprion anaethetus	Rare/Accidental
Little Tern	Sternula albifrons	Rare/Accidental
Saunders's Tern	Sternula saundersi	Rare/Accidental
Whiskered Tern	Chlidonias hybrida	Rare/Accidental
White-winged Tern	Chlidonias leucopterus	Rare/Accidental
Greater Crested Tern	Thalasseus bergii	Rare/Accidental
Lesser Crested Tern	Thalasseus bengalensis	Rare/Accidental
Common Tern	Sterna hirundo	Rare/Accidental
Roseate Tern	Sterna dougallii	Rare/Accidental
Grey-headed Gull	Chroicocephalus cirrocephalus	Rare/Accidental
Kelp Gull	Larus dominicanus	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	Rare/Accidental
Red-tailed Tropicbird	Phaethon rubricauda	
White-tailed Tropicbird	Phaethon lepturus	
 
SPHENISCIFORMES: Spheniscidae

Western Rockhopper Penguin	Eudyptes chrysocome	Rare/Accidental
 
PROCELLARIIFORMES: Diomedeidae

Snowy Albatross	Diomedea exulans	Rare/Accidental Vulnerable
Light-mantled Albatross	Phoebetria palpebrata	Rare/Accidental Near-threatened
Sooty Albatross	Phoebetria fusca	Rare/Accidental Endangered
Indian Yellow-nosed Albatross	Thalassarche carteri	Rare/Accidental Endangered
Black-browed Albatross	Thalassarche melanophris	Rare/Accidental
Shy Albatross	Thalassarche cauta	Rare/Accidental
Salvin's Albatross	Thalassarche salvini	Rare/Accidental Vulnerable
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	Rare/Accidental
White-faced Storm Petrel	Pelagodroma marina	Rare/Accidental
White-bellied Storm Petrel	Fregetta grallaria	Rare/Accidental
 
PROCELLARIIFORMES: Hydrobatidae

Matsudaira's Storm Petrel	Hydrobates matsudairae	Rare/Accidental Vulnerable
 
PROCELLARIIFORMES: Procellariidae

Pintado Petrel	Daption capense	Rare/Accidental
Southern Giant Petrel	Macronectes giganteus	Rare/Accidental
Northern Giant Petrel	Macronectes halli	Rare/Accidental
Bulwer's Petrel	Bulweria bulwerii	
Jouanin's Petrel	Bulweria fallax	Rare/Accidental Near-threatened
Mascarene Petrel	Pseudobulweria aterrima	Breeding endemic Critically endangered
Grey Petrel	Procellaria cinerea	Rare/Accidental Near-threatened
White-chinned Petrel	Procellaria aequinoctialis	Rare/Accidental Vulnerable
Spectacled Petrel	Procellaria conspicillata	Rare/Accidental Vulnerable
Streaked Shearwater	Calonectris leucomelas	Rare/Accidental Near-threatened
Scopoli's Shearwater	Calonectris diomedea	Rare/Accidental
Wedge-tailed Shearwater	Ardenna pacifica	
Flesh-footed Shearwater	Ardenna carneipes	Rare/Accidental Near-threatened
Tropical Shearwater	Puffinus bailloni	Rare/Accidental
Slender-billed Prion	Pachyptila belcheri	Rare/Accidental
Soft-plumaged Petrel	Pterodroma mollis	Rare/Accidental
Great-winged Petrel	Pterodroma macroptera	
Barau's Petrel	Pterodroma baraui	Near-endemic Endangered
 
SULIFORMES: Fregatidae

Lesser Frigatebird	Fregata ariel	Rare/Accidental
Great Frigatebird	Fregata minor	Rare/Accidental
 
SULIFORMES: Sulidae

Cape Gannet	Morus capensis	Rare/Accidental Endangered
Australasian Gannet	Morus serrator	Rare/Accidental
Red-footed Booby	Sula sula	Rare/Accidental
Brown Booby	Sula leucogaster	
Masked Booby	Sula dactylatra	Rare/Accidental
 
SULIFORMES: Phalacrocoracidae

Reed Cormorant	Microcarbo africanus	Rare/Accidental
 
PELECANIFORMES: Threskiornithidae

Glossy Ibis	Plegadis falcinellus	Rare/Accidental
Reunion Ibis	Threskiornis solitarius	Extinct
 
PELECANIFORMES: Pelecanidae

Pink-backed Pelican	Pelecanus rufescens	Rare/Accidental
 
PELECANIFORMES: Ardeidae

Little Egret	Egretta garzetta	Rare/Accidental
Reunion Night Heron	Nycticorax duboisi	Extinct
Little Heron	Butorides atricapilla	
