
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	Rare/Accidental
 
GALLIFORMES: Phasianidae

Common Pheasant	Phasianus colchicus	Introduced species
Red Junglefowl	Gallus gallus	Rare/Accidental
Common Quail	Coturnix coturnix	Rare/Accidental
Red-necked Spurfowl	Pternistis afer	Introduced species
 
CUCULIFORMES: Cuculidae

St. Helena Cuckoo	Nannococcyx psix	Endemic (country/region) Extinct
Common Cuckoo	Cuculus canorus	Rare/Accidental
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Zebra Dove	Geopelia striata	
 
GRUIFORMES: Rallidae

Ascension Crake	Mundia elpenor	Endemic Extinct
Corn Crake	Crex crex	Rare/Accidental
Common Moorhen	Gallinula chloropus	
Allen's Gallinule	Porphyrio alleni	Rare/Accidental
Purple Gallinule	Porphyrio martinica	Rare/Accidental
Purple Swamphen	Porphyrio porphyrio	Rare/Accidental
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Rare/Accidental Vulnerable
Common Ringed Plover	Charadrius hiaticula	Rare/Accidental
Greater Sand Plover	Anarhynchus leschenaultii	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Upland Sandpiper	Bartramia longicauda	Rare/Accidental
Eurasian Whimbrel	Numenius phaeopus	Rare/Accidental
Bar-tailed Godwit	Limosa lapponica	Rare/Accidental Near-threatened
Common Sandpiper	Actitis hypoleucos	Rare/Accidental
Wood Sandpiper	Tringa glareola	Rare/Accidental
Common Redshank	Tringa totanus	Rare/Accidental
Spotted Redshank	Tringa erythropus	Rare/Accidental
Common Greenshank	Tringa nebularia	Rare/Accidental
Ruddy Turnstone	Arenaria interpres	Rare/Accidental Near-threatened
Sanderling	Calidris alba	Rare/Accidental
Semipalmated Sandpiper	Calidris pusilla	Rare/Accidental Near-threatened
Little Stint	Calidris minuta	Rare/Accidental
 
CHARADRIIFORMES: Stercorariidae

Parasitic Jaeger	Stercorarius parasiticus	Rare/Accidental
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
Pomarine Jaeger	Stercorarius pomarinus	Rare/Accidental
South Polar Skua	Stercorarius maccormicki	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Atlantic White Tern	Gygis alba	
Brown Noddy	Anous stolidus	
Lesser Noddy	Anous tenuirostris	
Black Noddy	Anous minutus	
Sooty Tern	Onychoprion fuscatus	
Arctic Tern	Sterna paradisaea	Rare/Accidental
Antarctic Tern	Sterna vittata	
Kelp Gull	Larus dominicanus	Rare/Accidental
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird	Phaethon aethereus	
White-tailed Tropicbird	Phaethon lepturus	
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	Rare/Accidental
White-faced Storm Petrel	Pelagodroma marina	Rare/Accidental
White-bellied Storm Petrel	Fregetta grallaria	Rare/Accidental
Black-bellied Storm Petrel	Fregetta tropica	Rare/Accidental
 
PROCELLARIIFORMES: Hydrobatidae

Band-rumped Storm Petrel	Hydrobates castro	
Leach's Storm Petrel	Hydrobates leucorhous	Rare/Accidental Vulnerable
 
PROCELLARIIFORMES: Procellariidae

Bulwer's Petrel	Bulweria bulwerii	Rare/Accidental
Scopoli's Shearwater	Calonectris diomedea	
Cory's Shearwater	Calonectris borealis	Rare/Accidental
Sooty Shearwater	Ardenna grisea	Rare/Accidental Near-threatened
Great Shearwater	Ardenna gravis	Rare/Accidental
Subantarctic Shearwater	Puffinus elegans	Rare/Accidental
Tropical Shearwater	Puffinus bailloni	Rare/Accidental
Soft-plumaged Petrel	Pterodroma mollis	Rare/Accidental
Trindade Petrel	Pterodroma arminjoniana	Rare/Accidental Vulnerable
 
CICONIIFORMES: Ciconiidae

White Stork	Ciconia ciconia	Rare/Accidental
 
SULIFORMES: Fregatidae

Ascension Frigatebird	Fregata aquila	Endemic Vulnerable
Great Frigatebird	Fregata minor	
 
SULIFORMES: Sulidae

Red-footed Booby	Sula sula	
Brown Booby	Sula leucogaster	
Masked Booby	Sula dactylatra	
 
PELECANIFORMES: Ardeidae

Ascension Night Heron	Nycticorax olsoni	Endemic
