
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	
Hartlaub's Duck	Pteronetta hartlaubii	
African Pygmy Goose	Nettapus auritus	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	Rare/Accidental
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	Rare/Accidental
Common Pochard	Aythya ferina	Rare/Accidental Vulnerable
 
GALLIFORMES: Numididae

White-breasted Guineafowl	Agelastes meleagrides	Vulnerable
Helmeted Guineafowl	Numida meleagris	
Crested Guineafowl	Guttera pucherani	
 
GALLIFORMES: Phasianidae

Latham's Francolin	Peliperdix lathami	
Blue Quail	Synoicus adansonii	
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	
Ahanta Spurfowl	Pternistis ahantensis	
Double-spurred Spurfowl	Pternistis bicalcaratus	
 
CAPRIMULGIFORMES: Caprimulgidae

Brown Nightjar	Veles binotatus	
European Nightjar	Caprimulgus europaeus	Rare/Accidental
Black-shouldered Nightjar	Caprimulgus nigriscapularis	Rare/Accidental
Swamp Nightjar	Caprimulgus natalensis	
Plain Nightjar	Caprimulgus inornatus	
Freckled Nightjar	Caprimulgus tristigma	
Long-tailed Nightjar	Caprimulgus climacurus	
Standard-winged Nightjar	Caprimulgus longipennis	
 
APODIFORMES: Apodidae

Mottled Spinetail	Telacanthura ussheri	
Black Spinetail	Telacanthura melanopygia	
Sabine's Spinetail	Rhaphidura sabini	
Cassin's Spinetail	Neafrapus cassini	
African Palm Swift	Cypsiurus parvus	
Alpine Swift	Tachymarptis melba	
Common Swift	Apus apus	
Plain Swift	Apus unicolor	Rare/Accidental
Fernando Po Swift	Apus sladeniae	Data deficient
Little Swift	Apus affinis	
White-rumped Swift	Apus caffer	
Bates's Swift	Apus batesi	
 
MUSOPHAGIFORMES: Musophagidae

Great Blue Turaco	Corythaeola cristata	
Western Plantain-eater	Crinifer piscator	
Violet Turaco	Tauraco violaceus	
Yellow-billed Turaco	Tauraco macrorhynchus	
Guinea Turaco	Tauraco persa	
 
OTIDIFORMES: Otididae

Denham's Bustard	Neotis denhami	Near-threatened
Black-bellied Bustard	Lissotis melanogaster	
 
CUCULIFORMES: Cuculidae

Black-throated Coucal	Centropus leucogaster	
Senegal Coucal	Centropus senegalensis	
Blue-headed Coucal	Centropus monachus	
Black Coucal	Centropus grillii	
Blue Malkoha	Ceuthmochares aereus	
Great Spotted Cuckoo	Clamator glandarius	
Levaillant's Cuckoo	Clamator levaillantii	
Thick-billed Cuckoo	Pachycoccyx audeberti	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
Yellow-throated Cuckoo	Chrysococcyx flavigularis	
African Emerald Cuckoo	Chrysococcyx cupreus	
Dusky Long-tailed Cuckoo	Cercococcyx mechowi	
Olive Long-tailed Cuckoo	Cercococcyx olivinus	
Black Cuckoo	Cuculus clamosus	
Red-chested Cuckoo	Cuculus solitarius	
African Cuckoo	Cuculus gularis	
Common Cuckoo	Cuculus canorus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	Introduced species
Afep Pigeon	Columba unicincta	
Western Bronze-naped Pigeon	Columba iriditorques	
Lemon Dove	Columba larvata	
European Turtle Dove	Streptopelia turtur	Vulnerable
Red-eyed Dove	Streptopelia semitorquata	
Vinaceous Dove	Streptopelia vinacea	
Laughing Dove	Spilopelia senegalensis	
Black-billed Wood Dove	Turtur abyssinicus	
Blue-spotted Wood Dove	Turtur afer	
Tambourine Dove	Turtur tympanistria	
Blue-headed Wood Dove	Turtur brehmeri	
Namaqua Dove	Oena capensis	
African Green Pigeon	Treron calvus	
 
GRUIFORMES: Heliornithidae

African Finfoot	Podica senegalensis	
 
GRUIFORMES: Sarothruridae

White-spotted Flufftail	Sarothrura pulchra	
Buff-spotted Flufftail	Sarothrura elegans	
Red-chested Flufftail	Sarothrura rufa	
 
GRUIFORMES: Rallidae

Grey-throated Rail	Canirallus oculeus	
African Rail	Rallus caerulescens	
African Crake	Crecopsis egregia	
Spotted Crake	Porzana porzana	
Lesser Moorhen	Paragallinula angulata	
Common Moorhen	Gallinula chloropus	
Allen's Gallinule	Porphyrio alleni	
Purple Gallinule	Porphyrio martinica	Rare/Accidental
African Swamphen	Porphyrio madagascariensis	
Black Crake	Zapornia flavirostra	
Little Crake	Zapornia parva	Rare/Accidental
Nkulengu Rail	Himantornis haematopus	
Striped Crake	Aenigmatolimnas marginalis	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	
Lesser Flamingo	Phoeniconaias minor	Near-threatened
 
CHARADRIIFORMES: Turnicidae

Common Buttonquail	Turnix sylvaticus	
 
CHARADRIIFORMES: Burhinidae

Senegal Thick-knee	Burhinus senegalensis	
Water Thick-knee	Burhinus vermiculatus	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Avocet	Recurvirostra avosetta	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Spur-winged Lapwing	Vanellus spinosus	Rare/Accidental
White-crowned Lapwing	Vanellus albiceps	
Senegal Lapwing	Vanellus lugubris	
African Wattled Lapwing	Vanellus senegallus	
European Golden Plover	Pluvialis apricaria	
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Charadrius dubius	
Kittlitz's Plover	Charadrius pecuarius	
Forbes's Plover	Charadrius forbesi	
White-fronted Plover	Charadrius marginatus	
Kentish Plover	Charadrius alexandrinus	
Greater Sand Plover	Charadrius leschenaultii	Rare/Accidental
Caspian Plover	Charadrius asiaticus	
 
CHARADRIIFORMES: Pluvianidae

Egyptian Plover	Pluvianus aegyptius	
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	
 
CHARADRIIFORMES: Jacanidae

African Jacana	Actophilornis africanus	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Rare/Accidental Near-threatened
Black-tailed Godwit	Limosa limosa	Rare/Accidental Near-threatened
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Near-threatened
Ruff	Calidris pugnax	
Curlew Sandpiper	Calidris ferruginea	Near-threatened
Temminck's Stint	Calidris temminckii	
Sanderling	Calidris alba	
Dunlin	Calidris alpina	
Little Stint	Calidris minuta	
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Jack Snipe	Lymnocryptes minimus	
Great Snipe	Gallinago media	Near-threatened
Common Snipe	Gallinago gallinago	
Red Phalarope	Phalaropus fulicarius	Rare/Accidental
Common Sandpiper	Actitis hypoleucos	
Green Sandpiper	Tringa ochropus	
Common Redshank	Tringa totanus	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Spotted Redshank	Tringa erythropus	Rare/Accidental
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Glareolidae

Collared Pratincole	Glareola pratincola	
Rock Pratincole	Glareola nuchalis	
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	Rare/Accidental
Lesser Noddy	Anous tenuirostris	Rare/Accidental
Black Noddy	Anous minutus	
African Skimmer	Rynchops flavirostris	
Sabine's Gull	Xema sabini	
Black-headed Gull	Chroicocephalus ridibundus	Rare/Accidental
Grey-headed Gull	Chroicocephalus cirrocephalus	Rare/Accidental
Lesser Black-backed Gull	Larus fuscus	
Gull-billed Tern	Gelochelidon nilotica	
Caspian Tern	Hydroprogne caspia	
West African Crested Tern	Thalasseus albididorsalis	
Sandwich Tern	Thalasseus sandvicensis	
Little Tern	Sternula albifrons	
Bridled Tern	Onychoprion anaethetus	Rare/Accidental
Sooty Tern	Onychoprion fuscatus	
Roseate Tern	Sterna dougallii	
