
 
STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
White-backed Duck	Thalassornis leuconotus	
Brant Goose	Branta bernicla	Rare/Accidental
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	
Common Shelduck	Tadorna tadorna	Rare/Accidental
African Pygmy Goose	Nettapus auritus	
Garganey	Spatula querquedula	
Blue-winged Teal	Spatula discors	Rare/Accidental
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
American Wigeon	Mareca americana	Rare/Accidental
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Marbled Duck	Marmaronetta angustirostris	Vulnerable
Common Pochard	Aythya ferina	Vulnerable
Ferruginous Duck	Aythya nyroca	Near-threatened
Tufted Duck	Aythya fuligula	
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
 
GALLIFORMES: Odontophoridae

Stone Partridge	Ptilopachus petrosus	
 
GALLIFORMES: Phasianidae

White-throated Francolin	Campocolinus albogularis	
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	
Ahanta Spurfowl	Pternistis ahantensis	
Double-spurred Spurfowl	Pternistis bicalcaratus	
 
CAPRIMULGIFORMES: Caprimulgidae

Red-necked Nightjar	Caprimulgus ruficollis	Rare/Accidental
European Nightjar	Caprimulgus europaeus	Rare/Accidental
Egyptian Nightjar	Caprimulgus aegyptius	
Golden Nightjar	Caprimulgus eximius	
Swamp Nightjar	Caprimulgus natalensis	Rare/Accidental
Plain Nightjar	Caprimulgus inornatus	
Freckled Nightjar	Caprimulgus tristigma	Rare/Accidental
Long-tailed Nightjar	Caprimulgus climacurus	
Standard-winged Nightjar	Caprimulgus longipennis	
 
APODIFORMES: Apodidae

Mottled Spinetail	Telacanthura ussheri	
African Palm Swift	Cypsiurus parvus	
Alpine Swift	Tachymarptis melba	Rare/Accidental
Mottled Swift	Tachymarptis aequatorialis	Rare/Accidental
Common Swift	Apus apus	
Plain Swift	Apus unicolor	Rare/Accidental
Pallid Swift	Apus pallidus	Rare/Accidental
Little Swift	Apus affinis	
Horus Swift	Apus horus	Rare/Accidental
White-rumped Swift	Apus caffer	
 
MUSOPHAGIFORMES: Musophagidae

Western Plantain-eater	Crinifer piscator	
Violet Turaco	Tauraco violaceus	
Guinea Turaco	Tauraco persa	
 
OTIDIFORMES: Otididae

Arabian Bustard	Ardeotis arabs	Near-threatened
Denham's Bustard	Neotis denhami	Near-threatened
White-bellied Bustard	Eupodotis senegalensis	
Savile's Bustard	Lophotis savilei	
Black-bellied Bustard	Lissotis melanogaster	
 
CUCULIFORMES: Cuculidae

Black-throated Coucal	Centropus leucogaster	
Senegal Coucal	Centropus senegalensis	
Blue-headed Coucal	Centropus monachus	
Black Coucal	Centropus grillii	
Blue Malkoha	Ceuthmochares aereus	
Great Spotted Cuckoo	Clamator glandarius	
Levaillant's Cuckoo	Clamator levaillantii	
Jacobin Cuckoo	Clamator jacobinus	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
African Emerald Cuckoo	Chrysococcyx cupreus	Rare/Accidental
Black Cuckoo	Cuculus clamosus	Rare/Accidental
Red-chested Cuckoo	Cuculus solitarius	
African Cuckoo	Cuculus gularis	Rare/Accidental
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Chestnut-bellied Sandgrouse	Pterocles exustus	
Lichtenstein's Sandgrouse	Pterocles lichtensteinii	Rare/Accidental
Four-banded Sandgrouse	Pterocles quadricinctus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Speckled Pigeon	Columba guinea	
European Turtle Dove	Streptopelia turtur	Vulnerable
Adamawa Turtle Dove	Streptopelia hypopyrrha	
