ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	Rare/Accidental
Hartlaub's Duck	Pteronetta hartlaubii	Rare/Accidental
African Pygmy Goose	Nettapus auritus	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
African Black Duck	Anas sparsa	
Northern Pintail	Anas acuta	
Ferruginous Duck	Aythya nyroca	Rare/Accidental Near-threatened
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
Crested Guineafowl	Guttera pucherani	
 
GALLIFORMES: Odontophoridae

Stone Partridge	Ptilopachus petrosus	
 
GALLIFORMES: Phasianidae

Latham's Francolin	Peliperdix lathami	
Coqui Francolin	Campocolinus coqui	
White-throated Francolin	Campocolinus albogularis	
Blue Quail	Synoicus adansonii	
Common Quail	Coturnix coturnix	
Ahanta Spurfowl	Pternistis ahantensis	
Double-spurred Spurfowl	Pternistis bicalcaratus	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	Rare/Accidental
Black-shouldered Nightjar	Caprimulgus nigriscapularis	Rare/Accidental
Swamp Nightjar	Caprimulgus natalensis	
Plain Nightjar	Caprimulgus inornatus	
Freckled Nightjar	Caprimulgus tristigma	
Long-tailed Nightjar	Caprimulgus climacurus	
Standard-winged Nightjar	Caprimulgus longipennis	
Pennant-winged Nightjar	Caprimulgus vexillarius	Rare/Accidental
 
APODIFORMES: Apodidae

Mottled Spinetail	Telacanthura ussheri	
Sabine's Spinetail	Rhaphidura sabini	Rare/Accidental
African Palm Swift	Cypsiurus parvus	
Alpine Swift	Tachymarptis melba	
Mottled Swift	Tachymarptis aequatorialis	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	
Little Swift	Apus affinis	
White-rumped Swift	Apus caffer	
 
MUSOPHAGIFORMES: Musophagidae

Great Blue Turaco	Corythaeola cristata	
Western Plantain-eater	Crinifer piscator	
Violet Turaco	Tauraco violaceus	
Guinea Turaco	Tauraco persa	
 
OTIDIFORMES: Otididae

Denham's Bustard	Neotis denhami	Rare/Accidental Near-threatened
White-bellied Bustard	Eupodotis senegalensis	
Black-bellied Bustard	Lissotis melanogaster	
 
CUCULIFORMES: Cuculidae

Black-throated Coucal	Centropus leucogaster	
Senegal Coucal	Centropus senegalensis	
Blue-headed Coucal	Centropus monachus	
Black Coucal	Centropus grillii	
Blue Malkoha	Ceuthmochares aereus	
Great Spotted Cuckoo	Clamator glandarius	
Levaillant's Cuckoo	Clamator levaillantii	
Jacobin Cuckoo	Clamator jacobinus	
Thick-billed Cuckoo	Pachycoccyx audeberti	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
Yellow-throated Cuckoo	Chrysococcyx flavigularis	
African Emerald Cuckoo	Chrysococcyx cupreus	
Dusky Long-tailed Cuckoo	Cercococcyx mechowi	
Olive Long-tailed Cuckoo	Cercococcyx olivinus	Rare/Accidental
Black Cuckoo	Cuculus clamosus	
Red-chested Cuckoo	Cuculus solitarius	
African Cuckoo	Cuculus gularis	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Chestnut-bellied Sandgrouse	Pterocles exustus	
Four-banded Sandgrouse	Pterocles quadricinctus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Speckled Pigeon	Columba guinea	
Western Bronze-naped Pigeon	Columba iriditorques	
European Turtle Dove	Streptopelia turtur	Vulnerable
Mourning Collared Dove	Streptopelia decipiens	
Red-eyed Dove	Streptopelia semitorquata	
Vinaceous Dove	Streptopelia vinacea	
Laughing Dove	Spilopelia senegalensis	
Black-billed Wood Dove	Turtur abyssinicus	
Blue-spotted Wood Dove	Turtur afer	
Tambourine Dove	Turtur tympanistria	
Blue-headed Wood Dove	Turtur brehmeri	
Namaqua Dove	Oena capensis	
Bruce's Green Pigeon	Treron waalia	
African Green Pigeon	Treron calvus	
 
GRUIFORMES: Heliornithidae

African Finfoot	Podica senegalensis	
 
GRUIFORMES: Sarothruridae

White-spotted Flufftail	Sarothrura pulchra	
Red-chested Flufftail	Sarothrura rufa	
Streaky-breasted Flufftail	Sarothrura boehmi	Rare/Accidental
 
GRUIFORMES: Rallidae

African Crake	Crecopsis egregia	
Lesser Moorhen	Paragallinula angulata	
Common Moorhen	Gallinula chloropus	
Allen's Gallinule	Porphyrio alleni	
African Swamphen	Porphyrio madagascariensis	
Black Crake	Zapornia flavirostra	
Baillon's Crake	Zapornia pusilla	
Little Crake	Zapornia parva	
Nkulengu Rail	Himantornis haematopus	
Striped Crake	Aenigmatolimnas marginalis	Rare/Accidental
 
GRUIFORMES: Gruidae

Black Crowned Crane	Balearica pavonina	Vulnerable
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Lesser Flamingo	Phoeniconaias minor	Near-threatened
 
CHARADRIIFORMES: Turnicidae

Common Buttonquail	Turnix sylvaticus	
Quail-plover	Ortyxelos meiffrenii	Rare/Accidental
 
CHARADRIIFORMES: Burhinidae

Senegal Thick-knee	Burhinus senegalensis	
Water Thick-knee	Burhinus vermiculatus	Rare/Accidental
Spotted Thick-knee	Burhinus capensis	
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Avocet	Recurvirostra avosetta	Rare/Accidental
 
CHARADRIIFORMES: Charadriidae

Spur-winged Lapwing	Vanellus spinosus	
Black-headed Lapwing	Vanellus tectus	
White-crowned Lapwing	Vanellus albiceps	
Senegal Lapwing	Vanellus lugubris	
African Wattled Lapwing	Vanellus senegallus	
Brown-chested Lapwing	Vanellus superciliosus	
Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
American Golden Plover	Pluvialis dominica	Rare/Accidental
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Charadrius dubius	
Kittlitz's Plover	Charadrius pecuarius	Rare/Accidental
Forbes's Plover	Charadrius forbesi	
White-fronted Plover	Charadrius marginatus	
Kentish Plover	Charadrius alexandrinus	Rare/Accidental
 
CHARADRIIFORMES: Pluvianidae

Egyptian Plover	Pluvianus aegyptius	
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	
 
CHARADRIIFORMES: Jacanidae

African Jacana	Actophilornis africanus	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Rare/Accidental Near-threatened
Ruddy Turnstone	Arenaria interpres	
Red Knot	Calidris canutus	Near-threatened
Ruff	Calidris pugnax	
Curlew Sandpiper	Calidris ferruginea	Near-threatened
Temminck's Stint	Calidris temminckii	Rare/Accidental
Sanderling	Calidris alba	
