
 
STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
White-backed Duck	Thalassornis leuconotus	
Taiga Bean Goose	Anser fabalis	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	
Hartlaub's Duck	Pteronetta hartlaubii	
African Pygmy Goose	Nettapus auritus	
Garganey	Spatula querquedula	
Blue-billed Teal	Spatula hottentota	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	
African Black Duck	Anas sparsa	
Yellow-billed Duck	Anas undulata	Rare/Accidental
Mallard	Anas platyrhynchos	
Cape Teal	Anas capensis	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Marbled Duck	Marmaronetta angustirostris	Rare/Accidental Vulnerable
Common Pochard	Aythya ferina	Vulnerable
Ferruginous Duck	Aythya nyroca	Near-threatened
Tufted Duck	Aythya fuligula	
 
GALLIFORMES: Numididae

Black Guineafowl	Agelastes niger	
Helmeted Guineafowl	Numida meleagris	
Crested Guineafowl	Guttera pucherani	
 
GALLIFORMES: Odontophoridae

Stone Partridge	Ptilopachus petrosus	
 
GALLIFORMES: Phasianidae

Latham's Francolin	Peliperdix lathami	
Coqui Francolin	Campocolinus coqui	
White-throated Francolin	Campocolinus albogularis	
Blue Quail	Synoicus adansonii	
Common Quail	Coturnix coturnix	
Harlequin Quail	Coturnix delegorguei	
Ahanta Spurfowl	Pternistis ahantensis	
Double-spurred Spurfowl	Pternistis bicalcaratus	
Scaly Spurfowl	Pternistis squamatus	
Clapperton's Spurfowl	Pternistis clappertoni	
 
CAPRIMULGIFORMES: Caprimulgidae

Brown Nightjar	Veles binotatus	Rare/Accidental
Red-necked Nightjar	Caprimulgus ruficollis	Rare/Accidental
European Nightjar	Caprimulgus europaeus	
Rufous-cheeked Nightjar	Caprimulgus rufigena	
Egyptian Nightjar	Caprimulgus aegyptius	
Golden Nightjar	Caprimulgus eximius	Rare/Accidental
Black-shouldered Nightjar	Caprimulgus nigriscapularis	
Swamp Nightjar	Caprimulgus natalensis	
Plain Nightjar	Caprimulgus inornatus	
Freckled Nightjar	Caprimulgus tristigma	
Long-tailed Nightjar	Caprimulgus climacurus	
Standard-winged Nightjar	Caprimulgus longipennis	
Pennant-winged Nightjar	Caprimulgus vexillarius	
 
APODIFORMES: Apodidae

Mottled Spinetail	Telacanthura ussheri	
Black Spinetail	Telacanthura melanopygia	Rare/Accidental
Sabine's Spinetail	Rhaphidura sabini	
Cassin's Spinetail	Neafrapus cassini	
African Palm Swift	Cypsiurus parvus	
Mottled Swift	Tachymarptis aequatorialis	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	
African Black Swift	Apus barbatus	Rare/Accidental
Fernando Po Swift	Apus sladeniae	Rare/Accidental Data deficient
Little Swift	Apus affinis	
Horus Swift	Apus horus	
White-rumped Swift	Apus caffer	
Bates's Swift	Apus batesi	
 
MUSOPHAGIFORMES: Musophagidae

Great Blue Turaco	Corythaeola cristata	
Western Plantain-eater	Crinifer piscator	
Violet Turaco	Tauraco violaceus	
Yellow-billed Turaco	Tauraco macrorhynchus	
White-crested Turaco	Tauraco leucolophus	
Guinea Turaco	Tauraco persa	
 
OTIDIFORMES: Otididae

Arabian Bustard	Ardeotis arabs	Near-threatened
Denham's Bustard	Neotis denhami	Near-threatened
Nubian Bustard	Neotis nuba	Rare/Accidental Near-threatened
White-bellied Bustard	Eupodotis senegalensis	
Savile's Bustard	Lophotis savilei	
Black-bellied Bustard	Lissotis melanogaster	
 
CUCULIFORMES: Cuculidae

Black-throated Coucal	Centropus leucogaster	
Senegal Coucal	Centropus senegalensis	
Blue-headed Coucal	Centropus monachus	
Black Coucal	Centropus grillii	
Blue Malkoha	Ceuthmochares aereus	
