
 
STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	Extirpated
 
ANSERIFORMES: Anatidae

White-backed Duck	Thalassornis leuconotus	Rare/Accidental
White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
African Pygmy Goose	Nettapus auritus	
Spur-winged Goose	Plectropterus gambensis	
Egyptian Goose	Alopochen aegyptiaca	
Knob-billed Duck	Sarkidiornis melanotos	
Ferruginous Duck	Aythya nyroca	Rare/Accidental Near-threatened
Common Pochard	Aythya ferina	Rare/Accidental Vulnerable
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Northern Pintail	Anas acuta	
Green-winged Teal	Anas crecca	Rare/Accidental
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
 
GALLIFORMES: Odontophoridae

Stone Partridge	Ptilopachus petrosus	
 
GALLIFORMES: Phasianidae

Coqui Francolin	Campocolinus coqui	
White-throated Francolin	Campocolinus albogularis	
Blue Quail	Synoicus adansonii	
Common Quail	Coturnix coturnix	
Double-spurred Spurfowl	Pternistis bicalcaratus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
 
MUSOPHAGIFORMES: Musophagidae

Western Plantain-eater	Crinifer piscator	
Violet Turaco	Tauraco violaceus	
Guinea Turaco	Tauraco persa	Rare/Accidental
 
OTIDIFORMES: Otididae

Arabian Bustard	Ardeotis arabs	Near-threatened
Denham's Bustard	Neotis denhami	Near-threatened
Nubian Bustard	Neotis nuba	Near-threatened
White-bellied Bustard	Eupodotis senegalensis	
Savile's Bustard	Lophotis savilei	
Black-bellied Bustard	Lissotis melanogaster	
 
CUCULIFORMES: Cuculidae

Senegal Coucal	Centropus senegalensis	
Black Coucal	Centropus grillii	
Great Spotted Cuckoo	Clamator glandarius	
Levaillant's Cuckoo	Clamator levaillantii	
Jacobin Cuckoo	Clamator jacobinus	
Thick-billed Cuckoo	Pachycoccyx audeberti	Rare/Accidental
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
Black Cuckoo	Cuculus clamosus	Rare/Accidental
Red-chested Cuckoo	Cuculus solitarius	
African Cuckoo	Cuculus gularis	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Chestnut-bellied Sandgrouse	Pterocles exustus	
Four-banded Sandgrouse	Pterocles quadricinctus	
 
COLUMBIFORMES: Columbidae

Laughing Dove	Spilopelia senegalensis	
European Turtle Dove	Streptopelia turtur	Vulnerable
Vinaceous Dove	Streptopelia vinacea	
Red-eyed Dove	Streptopelia semitorquata	
Mourning Collared Dove	Streptopelia decipiens	
African Collared Dove	Streptopelia roseogrisea	
Speckled Pigeon	Columba guinea	
Rock Dove	Columba livia	
Namaqua Dove	Oena capensis	
Blue-spotted Wood Dove	Turtur afer	
Black-billed Wood Dove	Turtur abyssinicus	
Bruce's Green Pigeon	Treron waalia	
African Green Pigeon	Treron calvus	
 
GRUIFORMES: Gruidae

Black Crowned Crane	Balearica pavonina	Vulnerable
 
GRUIFORMES: Heliornithidae

African Finfoot	Podica senegalensis	
 
GRUIFORMES: Sarothruridae

Red-chested Flufftail	Sarothrura rufa	Rare/Accidental
 
GRUIFORMES: Rallidae

African Crake	Crecopsis egregia	
Lesser Moorhen	Paragallinula angulata	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
Allen's Gallinule	Porphyrio alleni	
Purple Swamphen	Porphyrio porphyrio	
Black Crake	Zapornia flavirostra	
Little Crake	Zapornia parva	Rare/Accidental
 
CHARADRIIFORMES: Burhinidae

Spotted Thick-knee	Burhinus capensis	
Water Thick-knee	Burhinus vermiculatus	
Senegal Thick-knee	Burhinus senegalensis	
 
CHARADRIIFORMES: Pluvianidae

Egyptian Plover	Pluvianus aegyptius	
 
CHARADRIIFORMES: Recurvirostridae

Pied Avocet	Recurvirostra avosetta	
Black-winged Stilt	Himantopus himantopus	
 
CHARADRIIFORMES: Charadriidae

Grey Plover	Pluvialis squatarola	Rare/Accidental Vulnerable
Common Ringed Plover	Charadrius hiaticula	
Forbes's Plover	Thinornis forbesi	
Little Ringed Plover	Thinornis dubius	
Spur-winged Lapwing	Vanellus spinosus	
Black-headed Lapwing	Vanellus tectus	
White-crowned Lapwing	Vanellus albiceps	
African Wattled Lapwing	Vanellus senegallus	
Kittlitz's Plover	Anarhynchus pecuarius	
White-fronted Plover	Anarhynchus marginatus	
Kentish Plover	Anarhynchus alexandrinus	
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	
 
CHARADRIIFORMES: Jacanidae

Lesser Jacana	Microparra capensis	
African Jacana	Actophilornis africanus	
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Eurasian Curlew	Numenius arquata	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Jack Snipe	Lymnocryptes minimus	Rare/Accidental
Great Snipe	Gallinago media	Near-threatened
Common Snipe	Gallinago gallinago	
Common Sandpiper	Actitis hypoleucos	
Green Sandpiper	Tringa ochropus	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Common Redshank	Tringa totanus	Rare/Accidental
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
Ruddy Turnstone	Arenaria interpres	Near-threatened
Ruff	Calidris pugnax	
Curlew Sandpiper	Calidris ferruginea	Vulnerable
Temminck's Stint	Calidris temminckii	Rare/Accidental
Dunlin	Calidris alpina	Rare/Accidental Near-threatened
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Little Stint	Calidris minuta	
 
CHARADRIIFORMES: Turnicidae

Quail-plover	Ortyxelos meiffrenii	
Common Buttonquail	Turnix sylvaticus	
 
CHARADRIIFORMES: Glareolidae

Bronze-winged Courser	Rhinoptilus chalcopterus	
Temminck's Courser	Cursorius temminckii	
Cream-colored Courser	Cursorius cursor	
Collared Pratincole	Glareola pratincola	
 
CHARADRIIFORMES: Laridae

African Skimmer	Rynchops flavirostris	
Little Tern	Sternula albifrons	Rare/Accidental
Caspian Tern	Hydroprogne caspia	
Gull-billed Tern	Gelochelidon nilotica	
Whiskered Tern	Chlidonias hybrida	Rare/Accidental
White-winged Tern	Chlidonias leucopterus	
Black-headed Gull	Chroicocephalus ridibundus	
Grey-headed Gull	Chroicocephalus cirrocephalus	Rare/Accidental
Lesser Black-backed Gull	Larus fuscus	
 
CICONIIFORMES: Ciconiidae

African Openbill	Anastomus lamelligerus	
Marabou Stork	Leptoptilos crumenifer	
Yellow-billed Stork	Mycteria ibis	
Saddle-billed Stork	Ephippiorhynchus senegalensis	
Black Stork	Ciconia nigra	Rare/Accidental
White Stork	Ciconia ciconia	
Abdim's Stork	Ciconia abdimii	
African Woolly-necked Stork	Ciconia microscelis	
 
SULIFORMES: Anhingidae

African Darter	Anhinga rufa	
 
SULIFORMES: Phalacrocoracidae

Reed Cormorant	Microcarbo africanus	
Great Cormorant	Phalacrocorax carbo	Rare/Accidental
 
PELECANIFORMES: Threskiornithidae

Glossy Ibis	Plegadis falcinellus	
Hadada Ibis	Bostrychia hagedash	
African Spoonbill	Platalea alba	
Eurasian Spoonbill	Platalea leucorodia	Rare/Accidental
African Sacred Ibis	Threskiornis aethiopicus	
 
PELECANIFORMES: Scopidae

Hamerkop	Scopus umbretta	
 
PELECANIFORMES: Pelecanidae

Great White Pelican	Pelecanus onocrotalus	
 
PELECANIFORMES: Ardeidae

Eurasian Bittern	Botaurus stellaris	Rare/Accidental
Dwarf Bittern	Botaurus sturmii	
Little Bittern	Botaurus minutus	
White-backed Night Heron	Calherodius leuconotus	
Black Heron	Egretta ardesiaca	Rare/Accidental
Western Reef Heron	Egretta gularis	Rare/Accidental
Little Egret	Egretta garzetta	
Black-crowned Night Heron	Nycticorax nycticorax	
Little Heron	Butorides atricapilla	
Squacco Heron	Ardeola ralloides	
Great Egret	Ardea alba	
Yellow-billed Egret	Ardea brachyrhyncha	
Western Cattle Egret	Ardea ibis	
Purple Heron	Ardea purpurea	
Black-headed Heron	Ardea melanocephala	
Goliath Heron	Ardea goliath	
Grey Heron	Ardea cinerea	
 
CAPRIMULGIFORMES: Caprimulgidae

Pennant-winged Nightjar	Caprimulgus vexillarius	
Standard-winged Nightjar	Caprimulgus longipennis	
Red-necked Nightjar	Caprimulgus ruficollis	Rare/Accidental Near-threatened
Egyptian Nightjar	Caprimulgus aegyptius	
Golden Nightjar	Caprimulgus eximius	Rare/Accidental
Plain Nightjar	Caprimulgus inornatus	
Freckled Nightjar	Caprimulgus tristigma	
Long-tailed Nightjar	Caprimulgus climacurus	
 
APODIFORMES: Apodidae

Mottled Spinetail	Telacanthura ussheri	
African Palm Swift	Cypsiurus parvus	
Mottled Swift	Tachymarptis aequatorialis	
Alpine Swift	Tachymarptis melba	
White-rumped Swift	Apus caffer	
Little Swift	Apus affinis	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	
 
STRIGIFORMES: Tytonidae

Western Barn Owl	Tyto alba	
 
STRIGIFORMES: Strigidae

Pearl-spotted Owlet	Glaucidium perlatum	
Eurasian Scops Owl	Otus scops	
African Scops Owl	Otus senegalensis	
Northern White-faced Owl	Ptilopsis leucotis	
Marsh Owl	Asio capensis	
Pharaoh Eagle-Owl	Bubo ascalaphus	Rare/Accidental
Greyish Eagle-Owl	Bubo cinerascens	
Pel's Fishing Owl	Scotopelia peli	
Verreaux's Eagle-Owl	Ketupa lactea	
 
ACCIPITRIFORMES: Sagittariidae

Secretarybird	Sagittarius serpentarius	Endangered
 
ACCIPITRIFORMES: Pandionidae

Osprey	Pandion haliaetus	
 
ACCIPITRIFORMES: Accipitridae

Scissor-tailed Kite	Chelictinia riocourii	Vulnerable
Black-winged Kite	Elanus caeruleus	
African Harrier-Hawk	Polyboroides typus	
Palm-nut Vulture	Gypohierax angolensis	
Egyptian Vulture	Neophron percnopterus	Endangered
African Cuckoo-Hawk	Aviceda cuculoides	
European Honey Buzzard	Pernis apivorus	Rare/Accidental
