STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	
 
ANSERIFORMES: Anatidae

White-faced Whistling Duck	Dendrocygna viduata	
Fulvous Whistling Duck	Dendrocygna bicolor	
White-backed Duck	Thalassornis leuconotus	Rare/Accidental
Brant Goose	Branta bernicla	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	Rare/Accidental
Spur-winged Goose	Plectropterus gambensis	
Knob-billed Duck	Sarkidiornis melanotos	
Egyptian Goose	Alopochen aegyptiaca	
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	Rare/Accidental
African Pygmy Goose	Nettapus auritus	
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	Rare/Accidental
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Marbled Duck	Marmaronetta angustirostris	Rare/Accidental Vulnerable
Common Pochard	Aythya ferina	Vulnerable
Ferruginous Duck	Aythya nyroca	Near-threatened
Tufted Duck	Aythya fuligula	
Common Scoter	Melanitta nigra	Rare/Accidental
 
GALLIFORMES: Numididae

Helmeted Guineafowl	Numida meleagris	
 
GALLIFORMES: Odontophoridae

Stone Partridge	Ptilopachus petrosus	
 
GALLIFORMES: Phasianidae

Coqui Francolin	Campocolinus coqui	Rare/Accidental
Common Quail	Coturnix coturnix	
Barbary Partridge	Alectoris barbara	
Double-spurred Spurfowl	Pternistis bicalcaratus	
 
CAPRIMULGIFORMES: Caprimulgidae

Red-necked Nightjar	Caprimulgus ruficollis	
European Nightjar	Caprimulgus europaeus	
Egyptian Nightjar	Caprimulgus aegyptius	
Golden Nightjar	Caprimulgus eximius	Rare/Accidental
Plain Nightjar	Caprimulgus inornatus	
Long-tailed Nightjar	Caprimulgus climacurus	
Standard-winged Nightjar	Caprimulgus longipennis	
 
APODIFORMES: Apodidae

African Palm Swift	Cypsiurus parvus	
Alpine Swift	Tachymarptis melba	
Common Swift	Apus apus	
Plain Swift	Apus unicolor	Rare/Accidental
Pallid Swift	Apus pallidus	
Little Swift	Apus affinis	
White-rumped Swift	Apus caffer	Rare/Accidental
 
MUSOPHAGIFORMES: Musophagidae

Western Plantain-eater	Crinifer piscator	
 
OTIDIFORMES: Otididae

Arabian Bustard	Ardeotis arabs	Near-threatened
Houbara Bustard	Chlamydotis undulata	Vulnerable
Denham's Bustard	Neotis denhami	Near-threatened
Nubian Bustard	Neotis nuba	Near-threatened
White-bellied Bustard	Eupodotis senegalensis	
Savile's Bustard	Lophotis savilei	
Black-bellied Bustard	Lissotis melanogaster	Rare/Accidental
 
CUCULIFORMES: Cuculidae

Senegal Coucal	Centropus senegalensis	
Great Spotted Cuckoo	Clamator glandarius	
Levaillant's Cuckoo	Clamator levaillantii	
Jacobin Cuckoo	Clamator jacobinus	
Diederik Cuckoo	Chrysococcyx caprius	
Klaas's Cuckoo	Chrysococcyx klaas	
African Cuckoo	Cuculus gularis	
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Chestnut-bellied Sandgrouse	Pterocles exustus	
Spotted Sandgrouse	Pterocles senegallus	
Crowned Sandgrouse	Pterocles coronatus	
Lichtenstein's Sandgrouse	Pterocles lichtensteinii	
Four-banded Sandgrouse	Pterocles quadricinctus	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Speckled Pigeon	Columba guinea	
Common Wood Pigeon	Columba palumbus	Rare/Accidental
European Turtle Dove	Streptopelia turtur	Vulnerable
Eurasian Collared Dove	Streptopelia decaocto	
African Collared Dove	Streptopelia roseogrisea	
Mourning Collared Dove	Streptopelia decipiens	
Red-eyed Dove	Streptopelia semitorquata	
Vinaceous Dove	Streptopelia vinacea	
Laughing Dove	Spilopelia senegalensis	
Black-billed Wood Dove	Turtur abyssinicus	
Namaqua Dove	Oena capensis	
Bruce's Green Pigeon	Treron waalia	
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	Rare/Accidental
